Well,Tier,Control,N_pre,N_post,Pre_mean_gap_m,Post_mean_gap_m,Shift_m,Shift_mm,t_stat,p_value,Sig
WMC3,Impact,Forest,6,8,0.0763,0.0741,-0.0023,-2.3,-0.036,0.9722508653130708,ns
WMC3,Impact,Climate,6,8,-0.5078,-0.4759,0.0319,31.9,1.127,0.288114887640681,ns
CEH31,Edge,Forest,7,8,-0.1817,-0.3259,-0.1442,-144.2,-1.239,0.2393956128593173,ns
CEH31,Edge,Climate,7,8,-0.8364,-0.8759,-0.0395,-39.5,-0.717,0.48694201694888767,ns
CEH20,Edge,Forest,7,8,0.084,0.0412,-0.0428,-42.8,-1.009,0.33673293578683017,ns
CEH20,Edge,Climate,7,8,-0.5707,-0.5088,0.0619,61.9,1.083,0.2991942129310441,ns
CEH30,Edge,Forest,7,8,-0.3536,-0.4313,-0.0777,-77.7,-1.273,0.22805941203134825,ns
CEH30,Edge,Climate,7,8,-1.0083,-0.9813,0.027,27.0,0.615,0.5499612518437188,ns
CEH16,Edge,Forest,7,8,0.4745,0.3099,-0.1646,-164.6,-1.686,0.11846999999634567,ns
CEH16,Edge,Climate,7,8,-0.1802,-0.2401,-0.0598,-59.8,-1.399,0.18823128194335173,ns
CEH32,Forest Ctrl,Forest,7,8,-0.3989,-0.4197,-0.0208,-20.8,-1.023,0.334408434138587,ns
CEH32,Forest Ctrl,Climate,7,8,-1.0536,-0.9697,0.0839,83.9,0.858,0.4073138935095759,ns
CEH34,Forest Ctrl,Forest,7,8,0.5007,0.4599,-0.0408,-40.8,-1.921,0.0980115797951193,ns
CEH34,Forest Ctrl,Climate,7,8,-0.154,-0.0901,0.064,64.0,0.838,0.41761779529942394,ns
CEH33,Forest Ctrl,Forest,7,8,-0.3855,-0.4484,-0.0629,-62.9,-1.464,0.16823034211901294,ns
CEH33,Forest Ctrl,Climate,7,8,-1.0402,-0.9984,0.0418,41.8,0.678,0.5102401875328324,ns
NW10,Forest Ctrl,Forest,6,8,0.2658,0.2957,0.03,30.0,0.865,0.40863122938419094,ns
NW10,Forest Ctrl,Climate,6,8,-0.3183,-0.2542,0.0641,64.1,0.841,0.41801062516711956,ns
CEH2,Forest Ctrl,Forest,6,8,0.0652,0.1124,0.0472,47.2,1.632,0.14136729811137727,ns
CEH2,Forest Ctrl,Climate,6,8,-0.5189,-0.4376,0.0813,81.3,1.128,0.2909489886626783,ns
CEH19,Coastal Ctrl,Forest,7,8,0.4359,0.2257,-0.2102,-210.2,-1.441,0.17671242773911816,ns
CEH19,Coastal Ctrl,Climate,7,8,-0.2188,-0.3242,-0.1054,-105.4,-1.284,0.22466911457915167,ns
CEH17,Coastal Ctrl,Forest,7,8,-0.737,-0.9192,-0.1823,-182.3,-1.427,0.18040185251316362,ns
CEH17,Coastal Ctrl,Climate,7,8,-1.3917,-1.4692,-0.0776,-77.6,-1.188,0.2582250848600422,ns
CEH9,Climate Ctrl,Forest,6,8,0.7082,0.5912,-0.1171,-117.1,-1.36,0.1993360923388746,ns
CEH9,Climate Ctrl,Climate,6,8,0.0297,0.0412,0.0114,11.4,0.293,0.7752081729686826,ns
NW7,Climate Ctrl,Forest,6,8,0.0063,-0.003,-0.0093,-9.3,-0.215,0.8336669816706664,ns
NW7,Climate Ctrl,Climate,6,8,-0.5778,-0.553,0.0248,24.8,1.039,0.3211197628882544,ns
NW6,Climate Ctrl,Forest,6,8,0.8108,0.7728,-0.0379,-37.9,-0.531,0.607827114312282,ns
NW6,Climate Ctrl,Climate,6,8,0.2267,0.2228,-0.0038,-3.8,-0.151,0.8834476819822693,ns
NW5,Climate Ctrl,Forest,7,8,0.7773,0.6645,-0.1128,-112.8,-1.26,0.231498228963799,ns
NW5,Climate Ctrl,Climate,7,8,0.1226,0.1145,-0.0081,-8.1,-0.388,0.7044189422615077,ns
WMC2,Climate Ctrl,Forest,6,8,0.7624,0.7245,-0.0379,-37.9,-0.518,0.6155888411251185,ns
WMC2,Climate Ctrl,Climate,6,8,0.1783,0.1745,-0.0038,-3.8,-0.132,0.8975508763534442,ns
NW4B,Far-field Ctrl,Forest,7,8,1.0245,0.9216,-0.1029,-102.9,-0.628,0.5412412449828977,ns
NW4B,Far-field Ctrl,Climate,7,8,0.3698,0.3716,0.0018,1.8,0.017,0.9866542252001512,ns
WMC1,Far-field Ctrl,Forest,7,8,0.8888,0.7958,-0.093,-93.0,-0.659,0.5211752137293253,ns
WMC1,Far-field Ctrl,Climate,7,8,0.234,0.2458,0.0117,11.7,0.157,0.8779352491966016,ns
CEH5,Far-field Ctrl,Forest,6,8,1.0896,0.947,-0.1426,-142.6,-0.761,0.46321189474374264,ns
CEH5,Far-field Ctrl,Climate,6,8,0.4213,0.397,-0.0243,-24.3,-0.227,0.8246612538925742,ns
L7,Far-field Ctrl,Forest,7,8,-0.0803,-0.1284,-0.0481,-48.1,-0.373,0.7152348299182938,ns
L7,Far-field Ctrl,Climate,7,8,-0.735,-0.6784,0.0566,56.6,1.224,0.2427254849340352,ns
CEH6,Far-field Ctrl,Forest,7,8,1.1088,0.9882,-0.1205,-120.5,-0.588,0.5686479496920255,ns
CEH6,Far-field Ctrl,Climate,7,8,0.454,0.4382,-0.0158,-15.8,-0.118,0.9086606642344898,ns
