Control,Tier,Model,Clearfell_coef_m,Clearfell_SE_m,Clearfell_p,Scraping_coef_m,Scraping_p,N,N_wells
Forest,Impact,OLS (single well),-0.0086,0.089,0.9248882140853042,-0.0127,0.9081696333438464,14,1
Forest,Edge,Mixed-effects (random intercept),-0.1527,0.0477,0.0013560682961797905,-0.1059,0.07487756841834825,60,4
Forest,Forest Ctrl,Mixed-effects (random intercept),-0.0203,0.0175,0.24499854254292186,-0.0203,0.3449903745646653,73,5
Forest,Coastal Ctrl,Mixed-effects (random intercept),-0.285,0.1079,0.008281124020303681,-0.2071,0.12388814342097704,30,2
Forest,Climate Ctrl,Mixed-effects (random intercept),-0.0923,0.0428,0.030994938684282637,-0.0586,0.2600063895687984,71,5
Forest,Far-field Ctrl,Mixed-effects (random intercept),-0.15,0.0861,0.08168648353405653,-0.1119,0.2944453127544707,74,5
Climate,Impact,OLS (single well),0.0259,0.0356,0.4825898370038237,-0.012,0.7849782737087951,14,1
Climate,Edge,Mixed-effects (random intercept),0.0052,0.0299,0.8616474084181887,0.0182,0.6244000928706779,60,4
Climate,Forest Ctrl,Mixed-effects (random intercept),0.0947,0.0422,0.024995420882240358,0.0609,0.24150236704927663,73,5
Climate,Coastal Ctrl,Mixed-effects (random intercept),-0.1271,0.0598,0.03351157785648181,-0.083,0.2656045057387142,30,2
Climate,Climate Ctrl,Mixed-effects (random intercept),0.0075,0.0156,0.6308239378580126,0.0075,0.6923356951566282,71,5
Climate,Far-field Ctrl,Mixed-effects (random intercept),0.0152,0.0513,0.7673054742651735,0.0195,0.7595727575242999,74,5
