Well,Tier,N_before,N_after,b1_before,b1_after,db1,b1_SE_before,b1_SE_after,b2_before,b2_after,db2,b2_SE_before,b2_SE_after,b3_before,b3_after,db3,b3_SE_before,b3_SE_after,mean_P_m,mean_PET_m,mean_h_disp_m,dh_predicted_m
WMC3,Impact,101,97,2.2493,2.0424,-0.207,0.2272,0.2788,1.9756,2.0558,0.0802,0.2919,0.356,0.0779,0.1114,0.0335,0.0289,0.0352,0.0715,0.0531,2.4301,-0.1005
CEH31,Edge,89,97,2.6144,1.6629,-0.9515,0.211,0.2708,1.5995,1.8057,0.2062,0.2703,0.3508,0.0964,0.1366,0.0401,0.0282,0.0404,0.0715,0.0531,2.0975,-0.1631
CEH20,Edge,108,97,2.545,2.5591,0.0141,0.2107,0.2543,2.0459,2.1182,0.0723,0.2642,0.3072,0.0368,0.0203,-0.0165,0.0202,0.0263,0.0715,0.0531,2.3935,0.0368
CEH30,Edge,89,97,2.5625,2.1219,-0.4406,0.25,0.2502,2.0275,2.2777,0.2502,0.312,0.3041,0.0471,0.0444,-0.0027,0.0259,0.0281,0.0715,0.0531,1.9115,-0.0395
CEH16,Edge,124,97,2.7116,2.3193,-0.3923,0.1773,0.2097,1.4211,1.6094,0.1882,0.2289,0.2648,0.0607,0.0702,0.0095,0.021,0.0289,0.0715,0.0531,2.8087,-0.0647
CEH32,Forest Ctrl,88,97,2.5503,2.2953,-0.255,0.2504,0.294,2.2389,2.6191,0.3802,0.314,0.3518,0.0171,0.0155,-0.0015,0.0205,0.0269,0.0715,0.0531,1.8702,-0.0356
CEH34,Forest Ctrl,87,97,2.517,2.2863,-0.2307,0.2735,0.2349,2.3896,2.694,0.3044,0.3451,0.2824,0.0338,0.0161,-0.0177,0.024,0.0222,0.0715,0.0531,2.7392,0.0159
CEH33,Forest Ctrl,88,97,2.4789,2.1268,-0.3521,0.2464,0.2594,1.9626,2.2645,0.302,0.3104,0.3132,0.0346,0.0294,-0.0052,0.0235,0.0277,0.0715,0.0531,1.8858,-0.0314
NW10,Forest Ctrl,118,97,3.3317,3.4293,0.0976,0.2292,0.3068,2.5301,2.326,-0.2041,0.2804,0.3776,0.038,0.0358,-0.0022,0.0227,0.0266,0.0715,0.0531,2.5903,0.0235
CEH19,Forest Ctrl,116,97,2.3087,1.9652,-0.3435,0.1689,0.1725,1.1401,1.1764,0.0364,0.2242,0.2309,0.1106,0.1209,0.0102,0.0279,0.0323,0.0715,0.0531,2.7556,-0.0546
CEH2,Forest Ctrl,132,97,2.8873,2.5475,-0.3397,0.2077,0.3218,2.5198,3.0342,0.5144,0.2533,0.3901,0.0254,0.0412,0.0158,0.0211,0.0276,0.0715,0.0531,2.4331,-0.09
CEH17,Forest Ctrl,124,97,2.326,1.751,-0.575,0.1664,0.214,1.407,1.4558,0.0488,0.2154,0.2782,0.0705,0.1217,0.0512,0.021,0.0365,0.0715,0.0531,1.6206,-0.1266
CEH9,Climate Ctrl,137,97,2.8247,2.7801,-0.0447,0.2186,0.256,2.1651,2.5127,0.3476,0.2717,0.3194,0.0654,0.0758,0.0103,0.0235,0.0279,0.0715,0.0531,2.9764,-0.0524
NW7,Climate Ctrl,142,97,2.9562,2.5466,-0.4096,0.224,0.2925,2.0859,1.9756,-0.1103,0.2862,0.3701,0.0789,0.0826,0.0037,0.0254,0.0333,0.0715,0.0531,2.4482,-0.0326
NW6,Climate Ctrl,146,97,3.2683,2.6652,-0.6031,0.2482,0.3065,1.7692,1.773,0.0038,0.3234,0.4184,0.119,0.1763,0.0573,0.0301,0.0413,0.0715,0.0531,3.2378,-0.2288
NW5,Climate Ctrl,151,97,3.3939,3.2689,-0.1249,0.2287,0.3233,2.3714,2.1636,-0.2078,0.2918,0.413,0.0853,0.0932,0.0079,0.0236,0.0341,0.0715,0.0531,3.0752,-0.0221
WMC2,Climate Ctrl,105,97,3.1959,3.0167,-0.1791,0.1939,0.2636,2.3288,2.2214,-0.1074,0.2559,0.3442,0.111,0.1023,-0.0087,0.022,0.0292,0.0715,0.0531,3.0579,0.0196
