Well,Zone,Cal_months,R2_cal,Norm_scrape_m,Norm_fell_m,Step_m,P_value
WMC3,Impact,64,0.5820,0.1269,0.1830,0.0561,0.0013
CEH31,Edge,56,0.6690,0.0417,0.0327,-0.0090,0.5265
CEH20,Edge,76,0.6550,0.0984,0.1873,0.0890,0.0000
CEH30,Edge,57,0.5880,0.0834,0.1183,0.0349,0.0014
CEH16,Edge,92,0.7600,0.0334,-0.0625,-0.0959,0.0000
CEH32,Forest Ctrl,55,0.6140,0.0606,0.1270,0.0664,0.0039
CEH34,Forest Ctrl,54,0.5670,0.0693,0.1806,0.1113,0.0000
CEH33,Forest Ctrl,56,0.5940,0.0769,0.1042,0.0273,0.0516
NW10,Forest Ctrl,81,0.7740,-0.0169,0.1389,0.1558,0.0000
CEH2,Forest Ctrl,95,0.7410,-0.0071,0.0221,0.0292,0.0252
CEH19,Coastal Ctrl,84,0.6490,0.0419,-0.0694,-0.1113,0.0000
CEH17,Coastal Ctrl,92,0.6600,0.0372,-0.1071,-0.1443,0.0000
CEH9,Climate Ctrl,98,0.6150,-0.1229,-0.1925,-0.0696,0.0000
NW7,Climate Ctrl,105,0.6940,-0.0709,-0.1458,-0.0750,0.0000
NW6,Climate Ctrl,109,0.6540,-0.0759,-0.0609,0.0151,0.5667
NW5,Climate Ctrl,119,0.7170,-0.0441,-0.0637,-0.0196,0.0736
WMC2,Climate Ctrl,70,0.7730,0.0517,0.0665,0.0147,0.3276
