date,Impact_beta1,Impact_beta2,Impact_beta3,Impact_R2,C3_beta1,C3_beta2,C3_beta3,C4_beta1,C4_beta2,C4_beta3
2013-11-01,2.0269,1.5398,0.0298,0.5204,3.2943,1.3917,0.0592,2.1913,2.0450,0.0235
2013-12-01,1.9677,1.4232,0.0309,0.5070,3.3275,1.4350,0.0588,2.1149,2.0104,0.0225
2014-01-01,2.2267,1.4566,0.0350,0.5565,3.4889,1.4627,0.0620,2.3568,2.2109,0.0227
2014-02-01,2.2801,1.5563,0.0343,0.5696,3.4256,1.5503,0.0577,2.3312,2.3092,0.0180
2014-03-01,2.2989,1.5371,0.0345,0.5783,3.4275,1.4760,0.0604,2.3166,2.3716,0.0146
2014-04-01,2.1886,1.5167,0.0326,0.5149,3.3865,1.4829,0.0589,2.4142,2.3443,0.0202
2014-05-01,2.1765,1.5589,0.0324,0.5074,3.3818,1.5088,0.0594,2.3936,2.3386,0.0202
2014-06-01,2.1672,1.6271,0.0304,0.5219,3.4707,1.6233,0.0608,2.4187,2.3662,0.0209
2014-07-01,2.1517,1.6553,0.0291,0.5334,3.4016,1.6189,0.0590,2.4234,2.3172,0.0216
2014-08-01,2.0764,1.8028,0.0241,0.5299,3.3045,1.7062,0.0560,2.4128,2.4269,0.0208
2014-09-01,2.1083,1.7575,0.0264,0.5417,3.2256,1.6358,0.0540,2.3986,2.3743,0.0203
2014-10-01,2.1336,1.7430,0.0267,0.5540,3.2648,1.6338,0.0548,2.3558,2.3637,0.0190
2014-11-01,2.1550,1.8257,0.0257,0.5526,3.2399,1.6655,0.0530,2.3388,2.3841,0.0175
2014-12-01,2.0934,1.9022,0.0234,0.5537,3.2395,1.6734,0.0527,2.3330,2.4217,0.0162
2015-01-01,2.1822,2.0608,0.0245,0.5931,3.2567,1.6668,0.0533,2.3414,2.3814,0.0181
2015-02-01,2.3095,1.8551,0.0305,0.6427,3.2923,1.6252,0.0555,2.3823,2.3242,0.0215
2015-03-01,2.3453,1.8101,0.0327,0.6420,3.2745,1.6213,0.0551,2.3756,2.3041,0.0221
2015-04-01,2.3146,1.7623,0.0337,0.6430,3.2958,1.6242,0.0559,2.3829,2.2951,0.0227
2015-05-01,2.2424,1.9034,0.0284,0.6499,3.2646,1.5927,0.0557,2.3610,2.2655,0.0228
2015-06-01,2.2323,1.7418,0.0318,0.6549,3.2425,1.5732,0.0552,2.3311,2.2424,0.0220
2015-07-01,2.2339,1.7362,0.0318,0.6566,3.2477,1.6100,0.0549,2.3429,2.3164,0.0212
2015-08-01,2.1785,1.8112,0.0281,0.6597,3.2465,1.6479,0.0545,2.3428,2.3506,0.0207
2015-09-01,2.1930,1.8204,0.0286,0.6611,3.2701,1.6277,0.0553,2.3898,2.2931,0.0230
2015-10-01,2.2059,1.7786,0.0291,0.6606,3.2707,1.6263,0.0553,2.4439,2.2338,0.0250
2015-11-01,2.0790,1.7959,0.0263,0.6362,3.3031,1.6414,0.0553,2.3778,2.2224,0.0240
2015-12-01,2.5712,1.8562,0.0386,0.7254,3.5776,1.6651,0.0614,2.5319,2.2568,0.0275
2016-01-01,2.5903,1.9217,0.0365,0.7269,3.5719,1.6385,0.0620,2.5685,2.3714,0.0242
2016-02-01,2.5926,1.9310,0.0358,0.7284,3.5760,1.6518,0.0618,2.5562,2.4690,0.0201
2016-03-01,2.6255,1.8704,0.0387,0.7264,3.6045,1.6174,0.0637,2.5645,2.4570,0.0209
2016-04-01,2.6366,1.8481,0.0402,0.7212,3.6166,1.5919,0.0647,2.5863,2.4217,0.0222
2016-05-01,2.6425,1.8580,0.0403,0.7253,3.6454,1.6389,0.0654,2.6007,2.4524,0.0226
2016-06-01,2.6388,1.8989,0.0396,0.7280,3.6776,1.5284,0.0673,2.6363,2.3651,0.0251
2016-07-01,2.6504,1.9026,0.0401,0.7303,3.6592,1.7478,0.0644,2.5823,2.6547,0.0183
2016-08-01,2.6518,1.9098,0.0400,0.7333,3.6487,1.7544,0.0640,2.6109,2.5762,0.0205
2016-09-01,2.6689,1.9127,0.0407,0.7328,3.6572,1.7721,0.0642,2.5810,2.6403,0.0192
2016-10-01,2.5898,1.9380,0.0384,0.7327,3.6130,1.7840,0.0627,2.4846,2.6999,0.0160
2016-11-01,2.5656,1.9152,0.0387,0.7186,3.5664,1.7781,0.0619,2.4301,2.6659,0.0159
2016-12-01,2.5041,1.8155,0.0404,0.7069,3.5115,1.6651,0.0639,2.3146,2.4937,0.0188
2017-01-01,2.5061,1.7895,0.0412,0.7071,3.4826,1.6993,0.0622,2.3350,2.3801,0.0230
2017-02-01,2.5014,1.6397,0.0460,0.7032,3.4605,1.6712,0.0625,2.3422,2.1470,0.0308
2017-03-01,2.4933,1.8769,0.0377,0.7309,3.4507,1.8904,0.0559,2.3425,2.2874,0.0258
2017-04-01,2.4706,1.8929,0.0363,0.7301,3.4490,1.8977,0.0557,2.2989,2.3362,0.0227
2017-05-01,2.4653,1.8799,0.0363,0.7303,3.4448,1.8772,0.0559,2.3027,2.3280,0.0230
2017-06-01,2.4397,2.0268,0.0336,0.7275,3.3989,2.0317,0.0530,2.3041,2.4403,0.0217
2017-07-01,2.4587,2.1333,0.0325,0.7296,3.4139,2.1645,0.0516,2.3296,2.5300,0.0211
2017-08-01,2.4578,2.2261,0.0312,0.7387,3.4103,2.2612,0.0504,2.3314,2.6255,0.0198
2017-09-01,2.4572,2.2159,0.0312,0.7384,3.4219,2.2307,0.0509,2.3212,2.6363,0.0193
2017-10-01,2.6085,2.1856,0.0355,0.7546,3.5418,2.2044,0.0538,2.4218,2.6258,0.0219
2017-11-01,2.7097,2.1478,0.0396,0.7699,3.6181,2.2317,0.0547,2.4822,2.6420,0.0229
2017-12-01,2.8107,2.2668,0.0383,0.7935,3.6296,2.3054,0.0529,2.5586,2.7262,0.0221
2018-01-01,2.6727,2.1831,0.0372,0.7818,3.5551,2.2499,0.0527,2.3918,2.5966,0.0216
2018-02-01,2.6431,2.2183,0.0354,0.7726,3.5579,2.2625,0.0524,2.3757,2.6472,0.0196
2018-03-01,2.6234,2.1455,0.0373,0.7628,3.5384,2.1949,0.0539,2.3890,2.5957,0.0219
2018-04-01,2.6255,2.1434,0.0375,0.7596,3.5151,2.2012,0.0530,2.3614,2.6184,0.0198
2018-05-01,2.6176,2.1145,0.0368,0.7684,3.5169,2.1646,0.0528,2.3512,2.6016,0.0190
2018-06-01,2.5403,1.9864,0.0363,0.7510,3.4185,2.0010,0.0520,2.2826,2.4807,0.0186
2018-07-01,2.5448,1.9742,0.0367,0.7501,3.4290,2.0172,0.0522,2.2898,2.4703,0.0191
2018-08-01,2.6059,1.8754,0.0394,0.7689,3.5031,1.8533,0.0555,2.3342,2.3559,0.0216
2018-09-01,2.6371,1.9418,0.0402,0.7682,3.5753,1.9124,0.0573,2.3307,2.4201,0.0212
2018-10-01,2.6747,1.9336,0.0410,0.7584,3.5429,1.9178,0.0568,2.3673,2.4202,0.0222
2018-11-01,2.6344,1.8874,0.0418,0.7634,3.5040,1.8581,0.0580,2.3165,2.3638,0.0233
2018-12-01,2.6322,1.9217,0.0405,0.7703,3.5069,1.8392,0.0587,2.3004,2.4389,0.0201
2019-01-01,2.6911,1.8198,0.0457,0.7618,3.5247,1.7711,0.0611,2.3247,2.3668,0.0234
2019-02-01,2.6595,1.8722,0.0430,0.7615,3.4931,1.8185,0.0590,2.2824,2.4378,0.0198
2019-03-01,2.6612,1.9433,0.0401,0.7653,3.4877,1.8530,0.0577,2.2853,2.5011,0.0171
2019-04-01,2.6812,1.9211,0.0425,0.7545,3.4901,1.8493,0.0582,2.2709,2.5111,0.0166
2019-05-01,2.7302,1.8925,0.0439,0.7650,3.5418,1.8230,0.0595,2.3076,2.5007,0.0178
2019-06-01,2.7825,1.8697,0.0462,0.7654,3.5742,1.8507,0.0602,2.3450,2.5309,0.0189
2019-10-01,2.5809,1.9079,0.0410,0.7253,3.5036,1.6992,0.0605,2.2204,2.4328,0.0166
2019-11-01,2.5877,1.8950,0.0411,0.7265,3.4942,1.7162,0.0598,2.2787,2.4491,0.0174
2019-12-01,2.5818,1.9142,0.0403,0.7247,2.9015,1.7622,0.0451,1.8400,2.4713,0.0042
2020-01-01,2.5796,1.9367,0.0398,0.7269,2.9084,1.8394,0.0429,1.7708,2.3821,0.0055
2020-02-01,2.7487,1.9695,0.0425,0.7596,3.0218,1.8920,0.0438,1.9165,2.3178,0.0119
2020-03-01,2.0413,2.0613,0.0205,0.6646,3.0357,1.9085,0.0437,1.8331,2.4008,0.0060
2020-04-01,2.0546,1.9555,0.0251,0.6749,3.0411,1.9555,0.0421,1.8703,2.4160,0.0068
2020-05-01,2.0297,1.8922,0.0260,0.6831,2.9421,1.9351,0.0389,1.7975,2.4137,0.0034
2020-06-01,1.9472,2.0410,0.0196,0.6942,2.9215,2.0252,0.0376,1.7913,2.4437,0.0028
2020-07-01,1.8709,2.1782,0.0140,0.6987,2.9185,1.9712,0.0379,1.7651,2.4825,0.0013
2020-08-01,2.2175,1.7757,0.0308,0.5986,3.1258,1.7595,0.0457,1.9589,2.2537,0.0117
2020-09-01,2.2148,1.7563,0.0309,0.5937,3.1766,1.7291,0.0471,1.9790,2.2273,0.0118
2020-10-01,2.1867,1.7406,0.0306,0.5878,3.2557,1.7267,0.0489,1.9025,2.2355,0.0093
2020-11-01,2.2126,1.8061,0.0281,0.5733,3.2612,1.7608,0.0478,1.9406,2.3384,0.0058
2020-12-01,2.2950,1.8018,0.0294,0.6127,3.2676,1.8285,0.0457,1.9856,2.5080,0.0003
2021-01-01,2.3249,1.9213,0.0264,0.6235,3.3309,1.7276,0.0504,2.0042,2.7802,-0.0096
2021-02-01,2.3126,1.9978,0.0233,0.6290,3.3603,1.7867,0.0492,1.9878,3.0828,-0.0223
2021-03-01,2.3308,2.0190,0.0230,0.6356,3.3170,1.8076,0.0476,2.0201,3.0325,-0.0189
2021-04-01,2.4573,1.9453,0.0298,0.6430,3.3331,1.7888,0.0485,2.2243,2.8776,-0.0057
2021-05-01,2.5154,2.0095,0.0290,0.6607,3.3313,1.8045,0.0488,2.2225,2.8729,-0.0053
2021-06-01,2.5151,1.9947,0.0302,0.6772,3.4944,1.7075,0.0543,2.3019,2.8497,-0.0019
2021-07-01,2.5008,1.9532,0.0304,0.6847,3.4925,1.5985,0.0554,2.2684,2.8231,-0.0028
2021-08-01,2.5053,1.9576,0.0305,0.6856,3.4952,1.5624,0.0558,2.2740,2.8142,-0.0024
2021-09-01,2.5539,1.9161,0.0331,0.6842,3.4675,1.5957,0.0549,2.2695,2.8272,-0.0020
2021-10-01,2.6773,1.8622,0.0371,0.7196,3.5917,1.5601,0.0578,2.3618,2.8059,0.0002
2021-11-01,2.6485,1.8770,0.0350,0.7141,3.5392,1.5157,0.0583,2.3294,2.7721,0.0009
2021-12-01,2.6595,1.8082,0.0370,0.7141,3.5500,1.5223,0.0584,2.3293,2.7563,0.0015
2022-01-01,2.6419,1.8241,0.0355,0.7151,3.5812,1.4825,0.0603,2.3544,2.7360,0.0029
2022-02-01,2.5889,1.7719,0.0363,0.7060,3.5841,1.4815,0.0603,2.3629,2.6310,0.0070
2022-03-01,2.5970,1.7388,0.0378,0.7054,3.6500,1.4909,0.0617,2.4176,2.6114,0.0096
2022-04-01,2.6188,1.7084,0.0400,0.7016,3.6558,1.4911,0.0618,2.4544,2.5747,0.0126
2022-05-01,2.6319,1.6112,0.0433,0.7106,3.6450,1.4779,0.0614,2.4461,2.5670,0.0123
2022-06-01,2.6384,1.6494,0.0415,0.7237,3.6922,1.5577,0.0617,2.4970,2.6614,0.0125
2022-07-01,2.6060,1.5569,0.0417,0.7217,3.6434,1.4453,0.0619,2.4642,2.6185,0.0120
2022-08-01,2.6004,1.5082,0.0422,0.7160,3.6430,1.4336,0.0620,2.4658,2.6282,0.0119
2022-09-01,2.5643,1.6954,0.0394,0.6943,3.5833,1.5042,0.0601,2.4529,2.6414,0.0116
2022-10-01,2.4737,1.7536,0.0367,0.6720,3.5412,1.5292,0.0588,2.3801,2.6696,0.0097
2022-11-01,2.6085,1.7672,0.0388,0.6729,3.6116,1.5464,0.0597,2.4397,2.6855,0.0106
2023-01-01,2.6626,1.8463,0.0363,0.6652,3.6708,1.7008,0.0562,2.5081,2.8077,0.0078
2023-02-01,2.7044,1.7701,0.0406,0.6601,3.6822,1.6975,0.0566,2.5383,2.7877,0.0094
2023-03-01,2.7376,1.7519,0.0421,0.6518,3.6970,1.7313,0.0558,2.5199,2.7906,0.0088
2023-04-01,2.7038,1.7646,0.0400,0.6366,3.7125,1.7231,0.0565,2.4935,2.7903,0.0079
2023-05-01,2.6682,1.8606,0.0361,0.6509,3.7106,1.7244,0.0558,2.5048,2.7971,0.0075
2023-06-01,2.6444,1.7696,0.0367,0.6512,3.6864,1.6713,0.0557,2.4643,2.6554,0.0084
2023-07-01,2.5236,1.9355,0.0316,0.6331,3.6222,1.7649,0.0530,2.4126,2.7567,0.0054
2023-08-01,2.5952,1.8333,0.0338,0.6393,3.6171,1.9615,0.0505,2.4669,2.8744,0.0048
2023-09-01,2.5705,1.8387,0.0329,0.6378,3.6111,1.9341,0.0507,2.4350,2.8760,0.0041
2023-10-01,2.6161,1.9058,0.0328,0.6548,3.6285,1.9139,0.0512,2.4887,2.8464,0.0056
2023-11-01,2.7997,1.9228,0.0359,0.6938,3.6720,1.9340,0.0513,2.5831,2.8445,0.0075
2023-12-01,2.7934,1.9150,0.0360,0.6973,3.6476,1.9018,0.0517,2.5909,2.8557,0.0074
2024-01-01,2.7784,1.8722,0.0371,0.6976,3.6338,1.8654,0.0524,2.5777,2.8287,0.0079
2024-02-01,2.7717,1.9331,0.0347,0.6951,3.6278,1.8630,0.0524,2.5717,2.9357,0.0037
2024-03-01,2.7446,1.8848,0.0358,0.6855,3.5695,1.7633,0.0543,2.5358,2.9033,0.0040
2024-04-01,2.7606,1.8533,0.0377,0.6839,3.5468,1.7651,0.0539,2.5572,2.8789,0.0058
2024-05-01,2.7701,1.8742,0.0380,0.6825,3.5714,1.7828,0.0547,2.5864,2.8962,0.0071
2024-06-01,2.8085,1.9035,0.0390,0.6875,3.6256,1.8205,0.0560,2.6568,2.9603,0.0090
2024-07-01,2.8212,1.8628,0.0400,0.6906,3.6369,1.8092,0.0565,2.6591,2.9166,0.0095
2024-08-01,2.8854,1.7356,0.0436,0.7058,3.6558,1.7609,0.0575,2.6945,2.8752,0.0113
2024-09-01,2.6624,2.0687,0.0329,0.7277,3.5250,1.9514,0.0523,2.5581,3.1007,0.0045
2024-10-01,2.6591,2.0604,0.0331,0.7262,3.5195,1.9377,0.0523,2.5486,3.1081,0.0051
2024-11-01,2.6956,2.0616,0.0335,0.7288,3.4776,1.9583,0.0511,2.6246,3.0632,0.0079
2024-12-01,2.7353,2.0682,0.0345,0.7411,3.5293,1.9719,0.0519,2.6104,3.0539,0.0082
2025-01-01,2.6922,2.0083,0.0353,0.7229,3.5109,1.9407,0.0523,2.5720,2.9934,0.0092
2025-02-01,2.6519,1.9354,0.0365,0.7162,3.5109,1.9748,0.0514,2.4901,2.8377,0.0119
2025-03-01,2.6885,1.8504,0.0405,0.7189,3.5531,1.9346,0.0537,2.5066,2.6332,0.0192
2025-04-01,2.6987,1.8417,0.0421,0.7125,3.5869,1.8957,0.0568,2.5377,2.5828,0.0228
2025-05-01,2.6633,1.9121,0.0394,0.7128,3.5327,1.8559,0.0553,2.4470,2.6440,0.0176
2025-06-01,2.6409,1.9729,0.0380,0.7127,3.5211,1.9313,0.0539,2.4394,2.6654,0.0172
2025-07-01,2.5934,1.7196,0.0408,0.6631,3.4685,1.7839,0.0544,2.4004,2.5027,0.0187
2025-08-01,2.5562,1.5760,0.0419,0.6250,3.4696,1.7601,0.0548,2.4195,2.5070,0.0194
2025-09-01,2.3857,1.6484,0.0367,0.5940,3.3796,1.8230,0.0521,2.3228,2.5660,0.0161
2025-10-01,2.4454,1.5896,0.0374,0.5891,3.3815,1.8066,0.0527,2.3222,2.5355,0.0167
2025-11-01,2.1795,1.5880,0.0314,0.5501,3.4551,1.8521,0.0533,2.3381,2.5543,0.0168
2025-12-01,2.2562,1.5808,0.0338,0.5758,3.4540,1.8692,0.0527,2.4364,2.6028,0.0177
2026-01-01,2.2602,1.5074,0.0364,0.5639,3.4419,1.6937,0.0575,2.4269,2.5110,0.0206
2026-02-01,2.2641,1.5799,0.0339,0.5595,3.3867,1.8165,0.0526,2.4266,2.5826,0.0180
