Variant,Control,Coefficient,Value,SE,p,Sig
A (WMC3+FE1+FE2),Forest,intercept,0.121634,0.017181,4.6361368213187136e-11,***
A (WMC3+FE1+FE2),Forest,cwb,-0.000273,8.1e-05,0.0009148682224944987,***
A (WMC3+FE1+FE2),Forest,scraping,0.347907,0.096284,0.00040726161712363704,***
A (WMC3+FE1+FE2),Forest,clearfell,0.08515,0.023365,0.0003644895578070749,***
A (WMC3+FE1+FE2),Forest,cwb_x_fell,-0.000158,0.000106,0.13936793070199616,ns
A (WMC3+FE1+FE2),Forest,easting_x_time,3.5e-05,9e-06,0.00014998117347846582,***
A (WMC3+FE1+FE2),Climate,intercept,-0.523853,0.025079,7.421123074347552e-45,***
A (WMC3+FE1+FE2),Climate,cwb,-0.000207,0.000122,0.09296205178062797,ns
A (WMC3+FE1+FE2),Climate,scraping,-0.119953,0.242614,0.6217858814354874,ns
A (WMC3+FE1+FE2),Climate,clearfell,-0.060996,0.030981,0.05094781926334505,ns
A (WMC3+FE1+FE2),Climate,cwb_x_fell,0.000108,0.000154,0.48592890876027467,ns
A (WMC3+FE1+FE2),Climate,easting_x_time,-3e-06,1e-06,0.00040142750356342874,***
A (WMC3+FE1+FE2),Combined,intercept,-0.102178,0.010417,1.4706981519815165e-17,***
A (WMC3+FE1+FE2),Combined,cwb,-4.3e-05,5.1e-05,0.3959741455037486,ns
A (WMC3+FE1+FE2),Combined,scraping,0.021542,0.080743,0.7900273549453781,ns
A (WMC3+FE1+FE2),Combined,clearfell,0.031405,0.012979,0.016836380197448996,*
A (WMC3+FE1+FE2),Combined,cwb_x_fell,-7.5e-05,6.4e-05,0.2418194578870011,ns
A (WMC3+FE1+FE2),Combined,easting_x_time,-0.0,1e-06,0.7239793334883114,ns
B (WMC3+FE2),Forest,intercept,-0.099101,0.021948,1.2397429681205997e-05,***
B (WMC3+FE2),Forest,cwb,-0.000429,0.000103,5.3366248017427746e-05,***
B (WMC3+FE2),Forest,scraping,0.3768,0.096518,0.00014051345064327523,***
B (WMC3+FE2),Forest,clearfell,0.103055,0.029846,0.0007141444056078582,***
B (WMC3+FE2),Forest,cwb_x_fell,-0.000146,0.000136,0.28433923349231427,ns
B (WMC3+FE2),Forest,easting_x_time,1.5e-05,4e-06,0.000333309237529594,***
B (WMC3+FE2),Climate,intercept,-0.740246,0.022468,7.975207971987896e-68,***
B (WMC3+FE2),Climate,cwb,-0.000346,0.000109,0.0019354603152230297,**
B (WMC3+FE2),Climate,scraping,0.045278,0.147347,0.7590798442197845,ns
B (WMC3+FE2),Climate,clearfell,-0.038095,0.027756,0.17209419114740424,ns
B (WMC3+FE2),Climate,cwb_x_fell,8.9e-05,0.000138,0.5196163020287943,ns
B (WMC3+FE2),Climate,easting_x_time,-2e-06,1e-06,0.0014538542933802776,**
B (WMC3+FE2),Combined,intercept,-0.319736,0.011647,9.000087530319352e-58,***
B (WMC3+FE2),Combined,cwb,-0.000184,5.7e-05,0.0014395137870542249,**
B (WMC3+FE2),Combined,scraping,0.120234,0.065326,0.06783806235185208,ns
B (WMC3+FE2),Combined,clearfell,0.050895,0.014511,0.0006114689197678036,***
B (WMC3+FE2),Combined,cwb_x_fell,-8.5e-05,7.2e-05,0.23888962837591973,ns
B (WMC3+FE2),Combined,easting_x_time,1e-06,1e-06,0.31161441951357416,ns
C (WMC3 only),Forest,intercept,0.10593,0.026205,8.291905894702338e-05,***
C (WMC3 only),Forest,cwb,-0.000424,0.000123,0.0007493970395680503,***
C (WMC3 only),Forest,scraping,0.34356,0.108507,0.0018574792056684512,**
C (WMC3 only),Forest,clearfell,0.119552,0.035637,0.0009973615835969002,***
C (WMC3 only),Forest,cwb_x_fell,-0.000138,0.000162,0.39732901499834183,ns
C (WMC3 only),Forest,easting_x_time,3.4e-05,1e-05,0.00045238421373798864,***
C (WMC3 only),Climate,intercept,-0.528457,0.020254,1.2666249406843312e-55,***
C (WMC3 only),Climate,cwb,-0.000337,9.9e-05,0.0008327326272590007,***
C (WMC3 only),Climate,scraping,0.006766,0.12154,0.9556823722456783,ns
C (WMC3 only),Climate,clearfell,-0.015476,0.025021,0.5372418043669995,ns
C (WMC3 only),Climate,cwb_x_fell,7.5e-05,0.000125,0.5502946077328648,ns
C (WMC3 only),Climate,easting_x_time,-2e-06,1e-06,0.00870005472861488,**
C (WMC3 only),Combined,intercept,-0.108369,0.014477,7.610993463430092e-12,***
C (WMC3 only),Combined,cwb,-0.000176,7e-05,0.013599231514895166,*
C (WMC3 only),Combined,scraping,0.079775,0.075207,0.29066035922592276,ns
C (WMC3 only),Combined,clearfell,0.072158,0.018038,0.00010268173095996357,***
C (WMC3 only),Combined,cwb_x_fell,-9.6e-05,8.9e-05,0.28192578098829313,ns
C (WMC3 only),Combined,easting_x_time,3e-06,2e-06,0.0410239801377449,*
