Parameter,Well,Era,Value,Unit,Note
synth_FE1_R2_cal,,,0.9978373633624881,m,
synth_FE1_RMSE_mm,,,18.16889836779735,mm,
synth_FE1_hindcast_months,,,48.0,m,
synth_FE1_pre_scraping_months,,,45.0,m,
synth_FE1_postfell_divergence_mm,,,9.261634336167573,mm,
synth_FE1_postfell_divergence_p,,,0.14499196268068237,m,
synth_FE2_R2_cal,,,0.9943780185237052,m,
synth_FE2_RMSE_mm,,,24.63422626136565,mm,
synth_FE2_hindcast_months,,,48.0,m,
synth_FE2_pre_scraping_months,,,45.0,m,
synth_FE2_postfell_divergence_mm,,,28.264109172223712,mm,
synth_FE2_postfell_divergence_p,,,0.0007710692589448787,m,
ANCOVA_A_WMC3+FE1+FE2_Forest_clearfell_step,,,0.08033040820909332,m,
ANCOVA_A_WMC3+FE1+FE2_Forest_clearfell_p,,,0.0008794614817101815,m,
ANCOVA_A_WMC3+FE1+FE2_Forest_R2,,,0.28630042365100183,m,
ANCOVA_A_WMC3+FE1+FE2_Forest_N,,,163.0,m,
ANCOVA_A_WMC3+FE1+FE2_Forest_net_clearfell,,,0.13863704704950847,m,Forest/Combined step minus Climate background
ANCOVA_A_WMC3+FE1+FE2_Climate_clearfell_step,,,-0.05830663884041515,m,
ANCOVA_A_WMC3+FE1+FE2_Climate_clearfell_p,,,0.06049518324456976,m,
ANCOVA_A_WMC3+FE1+FE2_Climate_R2,,,0.11543874944695154,m,
ANCOVA_A_WMC3+FE1+FE2_Climate_N,,,147.0,m,
ANCOVA_A_WMC3+FE1+FE2_Climate_net_clearfell,,,0.0,m,Forest/Combined step minus Climate background
ANCOVA_A_WMC3+FE1+FE2_Combined_clearfell_step,,,0.030845356783792164,m,
ANCOVA_A_WMC3+FE1+FE2_Combined_clearfell_p,,,0.0175219977478905,m,
ANCOVA_A_WMC3+FE1+FE2_Combined_R2,,,0.20383302493860112,m,
ANCOVA_A_WMC3+FE1+FE2_Combined_N,,,145.0,m,
ANCOVA_A_WMC3+FE1+FE2_Combined_net_clearfell,,,0.08915199562420731,m,Forest/Combined step minus Climate background
ANCOVA_B_WMC3+FE2_Forest_clearfell_step,,,0.09716286126153666,m,
ANCOVA_B_WMC3+FE2_Forest_clearfell_p,,,0.0016172245760863668,m,
ANCOVA_B_WMC3+FE2_Forest_R2,,,0.3106312200478686,m,
ANCOVA_B_WMC3+FE2_Forest_N,,,163.0,m,
ANCOVA_B_WMC3+FE2_Forest_net_clearfell,,,0.13379648381532144,m,Forest/Combined step minus Climate background
ANCOVA_B_WMC3+FE2_Climate_clearfell_step,,,-0.03663362255378479,m,
ANCOVA_B_WMC3+FE2_Climate_clearfell_p,,,0.18374551178213258,m,
ANCOVA_B_WMC3+FE2_Climate_R2,,,0.1970403557975079,m,
ANCOVA_B_WMC3+FE2_Climate_N,,,147.0,m,
ANCOVA_B_WMC3+FE2_Climate_net_clearfell,,,0.0,m,Forest/Combined step minus Climate background
ANCOVA_B_WMC3+FE2_Combined_clearfell_step,,,0.049061537721757954,m,
ANCOVA_B_WMC3+FE2_Combined_clearfell_p,,,0.000828791442498679,m,
ANCOVA_B_WMC3+FE2_Combined_R2,,,0.3490402208319845,m,
ANCOVA_B_WMC3+FE2_Combined_N,,,145.0,m,
ANCOVA_B_WMC3+FE2_Combined_net_clearfell,,,0.08569516027554275,m,Forest/Combined step minus Climate background
ANCOVA_C_WMC3_only_Forest_clearfell_step,,,0.11309466679610324,m,
ANCOVA_C_WMC3_only_Forest_clearfell_p,,,0.0020862163007106817,m,
ANCOVA_C_WMC3_only_Forest_R2,,,0.24059871123707477,m,
ANCOVA_C_WMC3_only_Forest_N,,,163.0,m,
ANCOVA_C_WMC3_only_Forest_net_clearfell,,,0.1277017394356739,m,Forest/Combined step minus Climate background
ANCOVA_C_WMC3_only_Climate_clearfell_step,,,-0.014607072639570664,m,
ANCOVA_C_WMC3_only_Climate_clearfell_p,,,0.5551450733791037,m,
ANCOVA_C_WMC3_only_Climate_R2,,,0.2061576155827327,m,
ANCOVA_C_WMC3_only_Climate_N,,,147.0,m,
ANCOVA_C_WMC3_only_Climate_net_clearfell,,,0.0,m,Forest/Combined step minus Climate background
ANCOVA_C_WMC3_only_Combined_clearfell_step,,,0.06969273748144755,m,
ANCOVA_C_WMC3_only_Combined_clearfell_p,,,0.00016744041664083396,m,
ANCOVA_C_WMC3_only_Combined_R2,,,0.2562629185572002,m,
ANCOVA_C_WMC3_only_Combined_N,,,145.0,m,
ANCOVA_C_WMC3_only_Combined_net_clearfell,,,0.08429981012101821,m,Forest/Combined step minus Climate background
