Well,Tier,Year,Summer_min_m,n_interpolated
CEH1,C3/Warren,2011,-1.48,1
CEH1,C3/Warren,2012,-1.57,0
CEH1,C3/Warren,2013,-0.96,0
CEH1,C3/Warren,2014,-1.05,0
CEH1,C3/Warren,2015,-1.32,0
CEH1,C3/Warren,2016,-0.86,0
CEH1,C3/Warren,2017,-1.26,0
CEH1,C3/Warren,2018,-1.32,0
CEH1,C3/Warren,2019,-1.48,0
CEH1,C3/Warren,2020,-1.17,0
CEH1,C3/Warren,2021,-0.8,0
CEH1,C3/Warren,2022,-1.29,0
CEH1,C3/Warren,2023,-1.1,0
CEH1,C3/Warren,2024,-0.79,0
CEH1,C3/Warren,2025,-1.35,0
NW1,C3/Warren,2011,-2.38,1
NW1,C3/Warren,2012,-2.37,0
NW1,C3/Warren,2013,-1.87,0
NW1,C3/Warren,2014,-2.01,0
NW1,C3/Warren,2015,-2.22,0
NW1,C3/Warren,2016,-1.78,0
NW1,C3/Warren,2017,-2.12,0
NW1,C3/Warren,2018,-2.25,0
NW1,C3/Warren,2019,-2.39,0
NW1,C3/Warren,2020,-2.07,0
NW1,C3/Warren,2021,-1.8,0
NW1,C3/Warren,2022,-2.23,0
NW1,C3/Warren,2023,-2.0,0
NW1,C3/Warren,2024,-1.79,0
NW1,C3/Warren,2025,-2.23,0
NW2,C3/Warren,2011,-1.56,1
NW2,C3/Warren,2012,-1.57,0
NW2,C3/Warren,2013,-1.06,0
NW2,C3/Warren,2014,-1.2,0
NW2,C3/Warren,2015,-1.4,0
NW2,C3/Warren,2016,-0.95,0
NW2,C3/Warren,2017,-1.31,0
NW2,C3/Warren,2018,-1.39,0
NW2,C3/Warren,2019,-1.58,0
NW2,C3/Warren,2020,-1.25,0
NW2,C3/Warren,2021,-0.99,0
NW2,C3/Warren,2022,-1.43,0
NW2,C3/Warren,2023,-1.19,0
NW2,C3/Warren,2024,-0.95,0
NW2,C3/Warren,2025,-1.45,0
NW11,C3/Warren,2011,-1.62,1
NW11,C3/Warren,2012,-1.67,0
NW11,C3/Warren,2013,-1.11,0
NW11,C3/Warren,2014,-1.24,0
NW11,C3/Warren,2015,-1.47,0
NW11,C3/Warren,2016,-1.0,0
NW11,C3/Warren,2017,-1.37,0
NW11,C3/Warren,2018,-1.47,0
NW11,C3/Warren,2019,-1.61,0
NW11,C3/Warren,2020,-1.32,0
NW11,C3/Warren,2021,-1.03,0
NW11,C3/Warren,2022,-1.46,0
NW11,C3/Warren,2023,-1.24,0
NW11,C3/Warren,2024,-1.04,0
NW11,C3/Warren,2025,-1.52,0
