Well,Tier,Year,Spring_mean_m,n_interpolated
CEH1,C3/Warren,2011,-0.8433,0
CEH1,C3/Warren,2012,-1.37,0
CEH1,C3/Warren,2013,-0.11,0
CEH1,C3/Warren,2014,0.1667,0
CEH1,C3/Warren,2015,-0.6567,0
CEH1,C3/Warren,2016,0.14,0
CEH1,C3/Warren,2017,-0.69,0
CEH1,C3/Warren,2018,-0.5333,0
CEH1,C3/Warren,2019,-0.8467,0
CEH1,C3/Warren,2020,-0.5867,0
CEH1,C3/Warren,2021,0.29,0
CEH1,C3/Warren,2022,-0.3,0
CEH1,C3/Warren,2023,-0.6067,0
CEH1,C3/Warren,2024,0.2767,0
CEH1,C3/Warren,2025,-0.4833,0
NW1,C3/Warren,2011,-1.6833,0
NW1,C3/Warren,2012,-2.2033,0
NW1,C3/Warren,2013,-1.1,0
NW1,C3/Warren,2014,-1.0033,0
NW1,C3/Warren,2015,-1.4933,0
NW1,C3/Warren,2016,-0.98,0
NW1,C3/Warren,2017,-1.5267,0
NW1,C3/Warren,2018,-1.35,0
NW1,C3/Warren,2019,-1.66,0
NW1,C3/Warren,2020,-1.3933,0
NW1,C3/Warren,2021,-0.9667,0
NW1,C3/Warren,2022,-1.21,0
NW1,C3/Warren,2023,-1.4333,0
NW1,C3/Warren,2024,-0.8467,0
NW1,C3/Warren,2025,-1.37,0
NW2,C3/Warren,2011,-0.8667,0
NW2,C3/Warren,2012,-1.3933,0
NW2,C3/Warren,2013,-0.3367,0
NW2,C3/Warren,2014,-0.1867,0
NW2,C3/Warren,2015,-0.6833,0
NW2,C3/Warren,2016,-0.1533,0
NW2,C3/Warren,2017,-0.72,0
NW2,C3/Warren,2018,-0.54,0
NW2,C3/Warren,2019,-0.87,0
NW2,C3/Warren,2020,-0.59,0
NW2,C3/Warren,2021,-0.14,0
NW2,C3/Warren,2022,-0.39,0
NW2,C3/Warren,2023,-0.6267,0
NW2,C3/Warren,2024,-0.0267,0
NW2,C3/Warren,2025,-0.5567,0
NW11,C3/Warren,2011,-0.9333,0
NW11,C3/Warren,2012,-1.47,0
NW11,C3/Warren,2013,-0.3433,0
NW11,C3/Warren,2014,-0.2133,0
NW11,C3/Warren,2015,-0.7433,0
NW11,C3/Warren,2016,-0.1933,0
NW11,C3/Warren,2017,-0.78,0
NW11,C3/Warren,2018,-0.5767,0
NW11,C3/Warren,2019,-0.9133,0
NW11,C3/Warren,2020,-0.65,0
NW11,C3/Warren,2021,-0.14,0
NW11,C3/Warren,2022,-0.4167,0
NW11,C3/Warren,2023,-0.7,0
NW11,C3/Warren,2024,-0.03,0
NW11,C3/Warren,2025,-0.6233,0
