Parameter,Well,Era,Value,Unit,Note
FourZoneSummer_C3Warren_clearfell_step,C3/Warren,Post_felling_Jun-Sep,0.011999999999999861,m,"vs Forest; p=0.2572, CI=[-0.0088,0.0328]"
FourZoneSummer_C3Warren_clearfell_step_se,C3/Warren,Post_felling_Jun-Sep,0.01059133754211584,m,
FourZoneSummer_C3Warren_N,C3/Warren,Jun-Sep,52.0,well-years,"n_pre=24, n_post=28, n_wells=4"
FourZoneSummer_Edge_clearfell_step,Edge,Post_felling_Jun-Sep,-0.028588744588743692,m,"vs Forest; p=0.1622, CI=[-0.0687,0.0115]"
FourZoneSummer_Edge_clearfell_step_se,Edge,Post_felling_Jun-Sep,0.020456242766800383,m,
FourZoneSummer_Edge_N,Edge,Jun-Sep,51.0,well-years,"n_pre=24, n_post=27, n_wells=4"
FourZoneSummer_Impact_clearfell_step,Impact,Post_felling_Jun-Sep,-0.007285714285714241,m,"vs Forest; p=0.3576, CI=[-0.0228,0.0082]"
FourZoneSummer_Impact_clearfell_step_se,Impact,Post_felling_Jun-Sep,0.007919435227641965,m,
FourZoneSummer_Impact_N,Impact,Jun-Sep,13.0,well-years,"n_pre=6, n_post=7, n_wells=1"
FourZoneSummer_R2,all_zones,,0.7241872391214368,,Joint model R²
FourZoneSummer_N,all_zones,,181.0,well-years,Pooled-panel sample size
FourZoneSummer_contrast_C3Warren_vs_Forest,C3/Warren - Forest,Post_felling_Jun-Sep,0.012,m,"primary; p=0.2572, CI=[-0.0088,0.0328]"
FourZoneSummer_contrast_Edge_vs_Forest,Edge - Forest,Post_felling_Jun-Sep,-0.0286,m,"primary; p=0.1622, CI=[-0.0687,0.0115]"
FourZoneSummer_contrast_Impact_vs_Forest,Impact - Forest,Post_felling_Jun-Sep,-0.0073,m,"primary; p=0.3576, CI=[-0.0228,0.0082]"
FourZoneSummer_contrast_Impact_vs_Edge,Impact - Edge,Post_felling_Jun-Sep,0.0213,m,"DERIVED contrast — point estimate exact, but SE/p are covariance-dependent and not comparable to primary contrasts; do not cite as significance (p_derived=0.2587)"
FourZoneSummer_contrast_Impact_vs_C3Warren,Impact - C3/Warren,Post_felling_Jun-Sep,-0.0193,m,"DERIVED contrast — point estimate exact, but SE/p are covariance-dependent and not comparable to primary contrasts; do not cite as significance (p_derived=0.0061)"
FourZoneSummer_contrast_Edge_vs_C3Warren,Edge - C3/Warren,Post_felling_Jun-Sep,-0.0406,m,"DERIVED contrast — point estimate exact, but SE/p are covariance-dependent and not comparable to primary contrasts; do not cite as significance (p_derived=0.0438)"
FourZoneSpring_C3Warren_clearfell_step,C3/Warren,Post_felling_Mar-May,-0.01064229166666758,m,"vs Forest; p=0.5633, CI=[-0.0467,0.0255]"
FourZoneSpring_C3Warren_clearfell_step_se,C3/Warren,Post_felling_Mar-May,0.018415482186671606,m,
FourZoneSpring_C3Warren_N,C3/Warren,Mar-May,56.0,well-years,"n_pre=24, n_post=32, n_wells=4"
FourZoneSpring_Edge_clearfell_step,Edge,Post_felling_Mar-May,-0.05316104166666583,m,"vs Forest; p=0.0268, CI=[-0.1002,-0.0061]"
FourZoneSpring_Edge_clearfell_step_se,Edge,Post_felling_Mar-May,0.024011117795002094,m,
FourZoneSpring_Edge_N,Edge,Mar-May,56.0,well-years,"n_pre=24, n_post=32, n_wells=4"
FourZoneSpring_Impact_clearfell_step,Impact,Post_felling_Mar-May,-0.0022766666666663993,m,"vs Forest; p=0.8848, CI=[-0.0331,0.0285]"
FourZoneSpring_Impact_clearfell_step_se,Impact,Post_felling_Mar-May,0.015715844707159452,m,
FourZoneSpring_Impact_N,Impact,Mar-May,14.0,well-years,"n_pre=6, n_post=8, n_wells=1"
FourZoneSpring_R2,all_zones,,0.588482274976319,,Joint model R²
FourZoneSpring_N,all_zones,,196.0,well-years,Pooled-panel sample size
FourZoneSpring_contrast_C3Warren_vs_Forest,C3/Warren - Forest,Post_felling_Mar-May,-0.0106,m,"primary; p=0.5633, CI=[-0.0467,0.0255]"
FourZoneSpring_contrast_Edge_vs_Forest,Edge - Forest,Post_felling_Mar-May,-0.0532,m,"primary; p=0.0268, CI=[-0.1002,-0.0061]"
FourZoneSpring_contrast_Impact_vs_Forest,Impact - Forest,Post_felling_Mar-May,-0.0023,m,"primary; p=0.8848, CI=[-0.0331,0.0285]"
FourZoneSpring_contrast_Impact_vs_Edge,Impact - Edge,Post_felling_Mar-May,0.0509,m,"DERIVED contrast — point estimate exact, but SE/p are covariance-dependent and not comparable to primary contrasts; do not cite as significance (p_derived=0.0051)"
FourZoneSpring_contrast_Impact_vs_C3Warren,Impact - C3/Warren,Post_felling_Mar-May,0.0084,m,"DERIVED contrast — point estimate exact, but SE/p are covariance-dependent and not comparable to primary contrasts; do not cite as significance (p_derived=0.3835)"
FourZoneSpring_contrast_Edge_vs_C3Warren,Edge - C3/Warren,Post_felling_Mar-May,-0.0425,m,"DERIVED contrast — point estimate exact, but SE/p are covariance-dependent and not comparable to primary contrasts; do not cite as significance (p_derived=0.0384)"
