well,E,N,cluster,network,dem,depth_bg,h_0_m,coeff_source,horizon_n,alpha,S_P_mm,S_E_mm,lambda,pflood_mm,exceeds_mean,unreachable
nw1,241725.0,364139.0,3,Reference,12.363,1.9938095238095226,-1.9938095238095226,per-well,5,0.898737736986983,368.91960062570297,105.24700051135405,1.7874333746145705,829.3707881386603,True,False
nw2,241703.008,364112.082,3,Reference,11.474,1.179999999999998,-1.179999999999998,per-well,5,0.9210991889294716,388.18763132585104,111.29299639061855,1.262884232282786,585.9794865261005,True,False
nw3,242091.94,363939.361,2,Reference,10.656,0.8607900072660151,-0.8607900072660151,per-well,4,0.938487597664975,362.8604383235549,102.70654644579648,1.1639785468418242,466.42394053547076,True,False
nw4,242431.164,363744.512,2,Reference,9.16,0.6937630662020897,-0.6937630662020897,per-well,4,0.9459636146527955,367.2912870358815,104.20845662408588,1.1486889556188602,460.29716834818186,True,False
nw4b,242414.677,363751.66,2,Reference,9.256,0.7509999999999994,-0.7509999999999994,per-well,4,0.9407223556981128,364.1800743485711,103.15356645670072,1.1644962554559313,466.63139426603664,True,False
nw5,241711.757,363023.697,3,Reference,5.725,1.0181219512195119,-1.0181219512195119,per-well,5,0.9502359428226999,414.72498779992884,119.68839630927664,1.2655846469827765,587.2324815187196,True,False
nw6,241444.307,363316.599,3,Reference,6.361,0.7822923812930966,-0.7822923812930966,per-well,5,0.9482723497955569,412.88432211685847,119.10365552887076,1.229949144002002,570.697574197066,True,False
nw7,241423.695,363584.862,3,Reference,8.474,1.5536366894466047,-1.5536366894466047,per-well,5,0.9591412697941716,423.1695118776389,122.37549064469509,1.8836487913284279,874.0148331276202,True,False
nw9,240937.259,363567.162,5,Reference,5.149,1.0074999999999994,-1.0074999999999994,per-well,5,0.9510984054080085,415.53588221895643,119.94611145987297,1.531907814713428,710.806684986854,True,False
nw10,241435.0,364325.025,4,Reference,11.66,1.4577575134857437,-1.4577575134857437,per-well,5,0.9586687279527563,422.71741877417725,122.2314491939844,1.4921584541928423,692.3629438487684,True,False
nw11,241689.0,364237.0,3,Reference,11.95,1.2605263157894733,-1.2605263157894733,per-well,5,0.9252806545248203,391.89510165901163,112.46126825602805,1.2912796773294457,599.1550000710316,True,False
nw13,241761.0,364180.0,3,Reference,12.09,1.195887021475258,-1.195887021475258,per-well,5,0.9132331169247777,381.30311324869484,109.12774858947157,1.2534298498282297,581.5926440630126,True,False
ceh1,241595.864,363948.335,3,Reference,10.652,1.0854999999999997,-1.0854999999999997,per-well,5,0.9346540354745296,400.3278500840669,115.1242322593296,1.183994806366358,549.3747177680913,True,False
ceh2,241421.0,363979.0,4,Reference,11.32,1.6205263157894745,-1.6205263157894745,per-well,5,0.9823914925682823,445.97700120634977,129.66812338904478,1.7634258651567232,818.2312808859243,True,False
ceh4,241131.693,363211.05,3,Reference,4.479,0.9690000000000007,-0.9690000000000007,per-well,5,0.9333265350761272,399.1232519079015,114.74335610677532,1.3707879431099228,636.0469111153309,True,False
