well,E,N,cluster,network,depth_bg,lambda,pflood_mm,category
nw1,241725.0,364139.0,3,Reference,1.9938095238095224,1.7988964030027308,829.9439841933483,Marginal
nw2,241703.008,364112.082,3,Reference,1.179999999999998,1.2800361527558088,590.5611366815706,Achievable
nw3,242091.94,363939.361,2,Reference,0.8607900072660151,1.1671773540342127,467.2388803795759,Achievable
nw4,242431.164,363744.512,2,Reference,0.6937630662020897,1.157876575199149,463.5156368857462,Achievable
nw4b,242414.677,363751.66,2,Reference,0.7509999999999994,1.1719728143083616,469.158576200998,Achievable
nw5,241711.757,363023.697,3,Reference,1.018121951219512,1.2742912967624234,587.9106735065881,Achievable
nw6,241444.307,363316.599,3,Reference,0.7822923812930966,1.2329537594317634,568.8390691764653,Achievable
nw7,241423.695,363584.862,3,Reference,1.5536366894466047,1.8812446095935536,867.9363880666807,Marginal
nw9,240937.259,363567.162,5,Reference,1.0074999999999994,1.5361001155751433,708.6995381792211,Marginal
nw10,241435.0,364325.025,4,Reference,1.4577575134857437,1.4954570630046304,689.948343322282,Achievable
nw11,241689.0,364237.0,3,Reference,1.2605263157894733,1.2951953522900364,597.5550282906805,Achievable
nw13,241761.0,364180.0,3,Reference,1.195887021475258,1.2624250038555076,582.4360067073593,Achievable
ceh1,241595.864,363948.335,3,Reference,1.0854999999999997,1.1833000575696109,545.9306954176229,Achievable
ceh2,241421.0,363979.0,4,Reference,1.6205263157894745,1.7812161270170044,821.7869615494993,Marginal
ceh4,241131.693,363211.05,3,Reference,0.9690000000000007,1.3802750533751589,636.8076422681729,Achievable
ceh5,242521.077,364465.817,1,Reference,0.8614999999999995,1.07114079857427,428.7939838147824,Achievable
ceh6,242621.679,364724.912,1,Reference,0.6419999999999995,1.0535384347575034,421.7474893524344,Achievable
ceh9,241711.211,363459.012,3,Reference,1.0829999999999993,1.3557159657608655,625.4769914376208,Achievable
ceh10,242538.185,363173.915,2,Reference,1.7189393336868148,1.640767321551396,656.8241609857331,Marginal
ceh11,242618.62,362688.287,1,Reference,0.9149999999999991,1.2152391049410185,486.4787316371078,Achievable
ceh13,240964.108,364066.298,4,Reference,1.3594117647058823,1.8270278847296213,842.9228049785287,Marginal
ceh14,241292.0,364488.0,4,Reference,1.4847368421052636,2.2262613754624594,1027.1143089301472,Marginal
ceh16,240988.214,363614.897,5,Reference,1.1334253666954277,1.6554091053893347,763.7442746027244,Marginal
ceh17,240804.597413,363576.069469,5,Reference,2.280555555555555,3.3208220954195857,1532.1039700059096,Unreachable
ceh18,241267.167,363202.889,3,Reference,0.6526315789473678,1.2048443965422375,555.8704532012882,Achievable
ceh19,240845.741,363532.891,5,Reference,1.1577777777777776,1.8847938562251807,869.5738786333527,Marginal
ceh20,241153.0,363829.0,4,Reference,1.664754098360656,2.019215146152461,931.5908690150312,Marginal
ceh21,241470.51,362937.659,3,Reference,0.6081249999999994,1.3789350581183348,636.1894182279267,Achievable
ceh23,242325.311,364428.124,1,Reference,0.7992857142857144,1.153854458778064,461.9055223929927,Achievable
ceh24,242938.911,363392.114,2,Reference,0.8412500000000005,1.0873203680638943,435.2709120272997,Achievable
ceh25,242512.557,364638.544,1,Reference,0.861946721311476,1.061263942209433,424.8401277074601,Achievable
ceh26,242172.261,364362.239,1,Reference,0.7850000000000001,1.1619196951772013,465.1341594224077,Achievable
ceh27,242005.373,364330.297,1,Reference,0.7900000000000009,1.0713370137562872,428.8725317420895,Achievable
ceh28,242331.051,364122.039,2,Reference,0.8767391935565314,1.170591847834165,468.6057542780785,Achievable
ceh30,241072.0,363760.0,4,Reference,2.094118852459017,2.5575482936025544,1179.9577880173133,Unreachable
ceh31,241075.0,363538.0,5,Reference,1.8607723577235775,2.6167345917900007,1207.2641476527824,Unreachable
Ceh32,241167.0,364003.0,4,Reference,2.1408763586956514,2.4632084926631754,1136.432907913633,Marginal
ceh33,240936.0,363808.0,4,Reference,2.1163114754098364,2.597685525955055,1198.4756162132696,Unreachable
ceh34,241334.0,363887.0,4,Reference,1.2879551630434776,1.633106300445453,753.4545887915153,Marginal
ceh36,241161.0,363306.0,3,Reference,0.9746666666666668,1.4900957009215765,687.4748099934667,Achievable
ceh39,241719.0,363435.0,3,Reference,0.9209794031105504,1.2419438822052395,572.9867779053012,Achievable
ceh40,242060.283,363398.508,3,Reference,0.961666666666666,1.367002862663025,630.6843464406779,Achievable
ceh41,242284.022,363324.592,3,Reference,0.9008333333333328,1.2041430528965025,555.5468792930527,Achievable
