Cluster,HydroYear,Season,Value_m
C1,2006,Summer_Min,-0.8933
C1,2007,Summer_Min,-0.7367
C1,2008,Summer_Min,-0.7567
C1,2009,Summer_Min,-0.87
C1,2010,Summer_Min,-0.8029
C1,2011,Summer_Min,-1.0857
C1,2012,Summer_Min,-0.8371
C1,2013,Summer_Min,-0.8086
C1,2014,Summer_Min,-0.9929
C1,2015,Summer_Min,-1.0314
C1,2016,Summer_Min,-0.7052
C1,2017,Summer_Min,-0.9117
C1,2018,Summer_Min,-1.1229
C1,2019,Summer_Min,-1.0086
C1,2020,Summer_Min,-0.8714
C1,2021,Summer_Min,-0.9057
C1,2022,Summer_Min,-1.1014
C1,2023,Summer_Min,-0.92
C1,2024,Summer_Min,-0.8486
C1,2025,Summer_Min,-1.1114
C1,2007,Winter_Max,0.0267
C1,2008,Winter_Max,-0.12
C1,2009,Winter_Max,0.0267
C1,2010,Winter_Max,-0.05
C1,2011,Winter_Max,-0.23
C1,2012,Winter_Max,-0.3243
C1,2013,Winter_Max,0.1429
C1,2014,Winter_Max,0.1129
C1,2015,Winter_Max,-0.1329
C1,2016,Winter_Max,0.1114
C1,2017,Winter_Max,-0.1367
C1,2018,Winter_Max,0.0117
C1,2019,Winter_Max,-0.2543
C1,2020,Winter_Max,0.1057
C1,2021,Winter_Max,0.1714
C1,2022,Winter_Max,0.0814
C1,2023,Winter_Max,-0.0271
C1,2024,Winter_Max,0.1471
C1,2025,Winter_Max,0.0614
C1,2026,Winter_Max,0.0543
C2,2005,Summer_Min,-0.6825
C2,2006,Summer_Min,-0.9287
C2,2007,Summer_Min,-0.8875
C2,2008,Summer_Min,-0.8225
C2,2009,Summer_Min,-1.0633
C2,2010,Summer_Min,-0.9804
C2,2011,Summer_Min,-1.3046
C2,2012,Summer_Min,-1.1617
C2,2013,Summer_Min,-0.9808
C2,2014,Summer_Min,-1.1267
C2,2015,Summer_Min,-1.2359
C2,2016,Summer_Min,-0.8512
C2,2017,Summer_Min,-1.1699
C2,2018,Summer_Min,-1.2809
C2,2019,Summer_Min,-1.2169
C2,2020,Summer_Min,-0.98
C2,2021,Summer_Min,-0.9779
C2,2022,Summer_Min,-1.3509
C2,2023,Summer_Min,-1.0212
C2,2024,Summer_Min,-0.8992
C2,2025,Summer_Min,-1.2211
C2,2006,Winter_Max,-0.0413
C2,2007,Winter_Max,-0.0925
C2,2008,Winter_Max,-0.265
C2,2009,Winter_Max,-0.1
C2,2010,Winter_Max,-0.2113
C2,2011,Winter_Max,-0.4617
C2,2012,Winter_Max,-0.855
C2,2013,Winter_Max,0.0554
C2,2014,Winter_Max,0.0262
C2,2015,Winter_Max,-0.3113
C2,2016,Winter_Max,0.0338
C2,2017,Winter_Max,-0.3954
C2,2018,Winter_Max,-0.2696
C2,2019,Winter_Max,-0.5761
C2,2020,Winter_Max,-0.0648
C2,2021,Winter_Max,0.0654
C2,2022,Winter_Max,-0.0737
C2,2023,Winter_Max,-0.2567
C2,2024,Winter_Max,0.0437
C2,2025,Winter_Max,-0.1321
C2,2026,Winter_Max,-0.0813
C3,2005,Summer_Min,-1.323
C3,2006,Summer_Min,-1.0263
C3,2007,Summer_Min,-0.955
C3,2008,Summer_Min,-1.031
