Cluster,Threshold,Threshold_m,n_years_obs,slope_pt_m_per_yr,intercept_pt,current_depth_2025,year_crossing_pt,year_crossing_5,year_crossing_50,year_crossing_95,n_boot_resolved
C1,SD15b,-0.61,20,-0.01088,21.071,-0.956,2080.0,2080.0,2080.0,2080.0,1000
C1,SD16,-0.98,20,-0.01088,21.071,-0.956,2027.2,2021.5,2027.7,2049.0,1000
C2,SD15b,-0.61,21,-0.01764,34.62,-1.099,2080.0,2080.0,2080.0,2080.0,1000
C2,SD16,-0.98,21,-0.01764,34.62,-1.099,2018.3,2013.8,2018.1,2025.6,1000
C3,SD15b,-0.61,21,-0.00669,12.33,-1.225,2080.0,2080.0,2080.0,2080.0,1000
C3,SD16,-0.98,21,-0.00669,12.33,-1.225,2080.0,2080.0,2080.0,2080.0,1000
C4,SD15b,-0.61,20,-0.01717,32.942,-1.836,2080.0,2080.0,2080.0,2080.0,1000
C4,SD16,-0.98,20,-0.01717,32.942,-1.836,2080.0,2080.0,2080.0,2080.0,1000
C5,SD15b,-0.61,20,-0.03561,70.341,-1.772,2080.0,2080.0,2080.0,2080.0,1000
C5,SD16,-0.98,20,-0.03561,70.341,-1.772,2080.0,2006.4,2080.0,2080.0,1000
