Well,Cluster,Easting,Northing,Sy_median,Sy_Q25,Sy_Q75,n_events,Corrected,Confidence
ceh11,1,242618.62,362688.287,0.2096,0.1462,0.3154,51,False,High
ceh23,1,242325.311,364428.124,0.1863,0.1426,0.3131,35,False,High
ceh25,1,242512.557,364638.544,0.2,0.1314,0.2934,49,False,High
ceh26,1,242172.261,364362.239,0.2037,0.1521,0.2861,39,False,High
ceh27,1,242005.373,364330.297,0.2124,0.1494,0.28,45,False,High
ceh5,1,242521.077,364465.817,0.1835,0.1417,0.3336,51,False,High
ceh6,1,242621.679,364724.912,0.207,0.1099,0.3042,52,False,High
D10,2,242613.907,364118.797,0.2255,0.1453,0.3481,39,False,High
D15,2,241980.565,363895.719,0.2204,0.1443,0.3322,40,False,High
D17,2,242446.951,363534.961,0.2691,0.1385,0.3384,42,False,High
D38,2,242711.571,363069.196,0.2248,0.1546,0.2686,45,False,High
D41,2,242771.66,363342.853,0.2441,0.1508,0.3519,37,False,High
D43,2,242664.714,363428.693,0.263,0.1488,0.3415,46,False,High
D44,2,242819.407,363279.547,0.2265,0.1531,0.3357,41,False,High
D5,2,242083.407,363901.712,0.2444,0.1374,0.3646,38,False,High
D6,2,242114.898,364021.851,0.2706,0.1505,0.3506,46,False,High
D7,2,242610.75,364204.554,0.2371,0.1508,0.3668,45,False,High
D8,2,242676.867,364024.231,0.2255,0.1405,0.3116,37,False,High
D9,2,242710.726,363910.68,0.2108,0.1472,0.3534,38,False,High
L7,2,242812.0,364395.0,0.2125,0.1425,0.3327,50,False,High
T41a,2,242709.928,363275.666,0.229,0.1631,0.3475,46,False,High
T41b,2,242715.085,363309.565,0.2192,0.1571,0.3393,40,False,High
T41c,2,242721.13,363323.682,0.2791,0.1626,0.3666,41,False,High
T41d,2,242731.987,363353.284,0.2791,0.153,0.3556,37,False,High
WMC1,2,242765.629,363643.556,0.2441,0.1301,0.3663,40,False,High
ceh10,2,242538.185,363173.915,0.1975,0.1145,0.3506,49,False,High
ceh24,2,242938.911,363392.114,0.2255,0.1626,0.3021,45,False,High
ceh28,2,242331.051,364122.039,0.2446,0.1617,0.3335,32,False,High
ceh40,2,242060.283,363398.508,0.1904,0.1457,0.3023,23,False,High
ceh41,2,242284.022,363324.592,0.1942,0.1052,0.343,28,False,High
nw 4b,2,242414.677,363751.66,0.2137,0.1562,0.2908,42,False,High
nw3,2,242091.94,363939.361,0.2725,0.1297,0.3739,42,False,High
nw4,2,242431.164,363744.512,0.2377,0.165,0.315,43,False,High
D25,3,242215.187,363143.807,0.2167,0.1698,0.3928,35,False,High
WMC2,3,241885.149,362855.856,0.2357,0.1356,0.3293,43,False,High
ceh 1,3,241595.864,363948.335,0.1903,0.1127,0.2883,52,False,High
ceh18,3,241267.167,363202.889,0.2281,0.1439,0.3447,42,False,High
ceh21,3,241470.51,362937.659,0.285,0.1808,0.3921,28,False,High
ceh36,3,241161.0,363306.0,0.2221,0.1416,0.3715,32,False,High
ceh39,3,241719.0,363435.0,0.2263,0.1125,0.3318,28,False,High
ceh4,3,241131.693,363211.05,0.2158,0.1363,0.3352,41,False,High
ceh42,3,242120.528,362743.198,0.2174,0.1371,0.2953,26,False,High
ceh9,3,241711.211,363459.012,0.2304,0.1161,0.3232,41,False,High
nw1,3,241725.0,364139.0,0.2699,0.137,0.3866,58,False,High
nw11,3,241689.0,364237.0,0.2068,0.1286,0.3758,53,False,High
nw13,3,241761.0,364180.0,0.1956,0.1369,0.33,42,False,High
nw2,3,241703.008,364112.082,0.2035,0.1216,0.3482,55,False,High
nw5,3,241711.757,363023.697,0.191,0.1296,0.3386,48,False,High
nw6,3,241444.307,363316.599,0.2314,0.1343,0.3884,43,False,High
nw7,3,241423.695,363584.862,0.2018,0.1214,0.3201,42,False,High
wmc3,3,241217.327,363562.323,0.2463,0.1657,0.3748,35,False,High
wmc4,3,241761.0,364180.0,0.2187,0.1411,0.3027,42,False,High
Ceh32,4,241167.0,364003.0,0.2069,0.1326,0.2824,34,True,High
ceh13,4,240964.108,364066.298,0.209,0.1177,0.3188,38,True,High
ceh14,4,241292.0,364488.0,0.1548,0.084,0.2512,39,True,High
ceh2,4,241421.0,363979.0,0.1816,0.1119,0.2752,43,True,High
ceh20,4,241153.0,363829.0,0.2074,0.1367,0.3011,39,True,High
ceh30,4,241072.0,363760.0,0.2319,0.1482,0.3003,36,True,High
ceh33,4,240936.0,363808.0,0.2307,0.1381,0.3095,37,True,High
ceh34,4,241334.0,363887.0,0.2033,0.1247,0.3307,37,True,High
nw10,4,241435.0,364325.025,0.1737,0.1098,0.327,40,True,High
ceh16,5,240988.214,363614.897,0.2273,0.1402,0.3242,35,True,High
ceh17,5,240804.597413,363576.069469,0.2348,0.1592,0.3727,33,True,High
ceh19,5,240845.741,363532.891,0.2545,0.1434,0.3996,31,True,High
ceh31,5,241075.0,363538.0,0.2201,0.1443,0.341,32,True,High
nw9,5,240937.259,363567.162,0.2129,0.1335,0.3385,39,True,High
