Well,Cluster,Easting,Northing,Sy_median,Sy_Q25,Sy_Q75,n_events,Corrected,Confidence
ceh11,1,242618.62,362688.287,0.2232,0.1669,0.3224,50,False,High
ceh22,1,241375.022,362906.94,0.3128,0.1783,0.3664,26,False,High
ceh23,1,242325.311,364428.124,0.1915,0.1207,0.2754,34,False,High
ceh25,1,242512.557,364638.544,0.1725,0.1418,0.2857,49,False,High
ceh26,1,242172.261,364362.239,0.2226,0.1297,0.3151,39,False,High
ceh27,1,242005.373,364330.297,0.2124,0.1503,0.3137,43,False,High
ceh5,1,242521.077,364465.817,0.1923,0.1392,0.3228,52,False,High
ceh6,1,242621.679,364724.912,0.2115,0.1423,0.3095,55,False,High
D10,2,242613.907,364118.797,0.2346,0.156,0.3686,37,False,High
D15,2,241980.565,363895.719,0.1982,0.1433,0.3076,36,False,High
D17,2,242446.951,363534.961,0.2505,0.1752,0.3384,42,False,High
D38,2,242711.571,363069.196,0.2157,0.1444,0.3072,47,False,High
D41,2,242771.66,363342.853,0.2265,0.1543,0.377,37,False,High
D43,2,242664.714,363428.693,0.2264,0.1577,0.34,45,False,High
D44,2,242819.407,363279.547,0.2373,0.1791,0.3546,45,False,High
D5,2,242083.407,363901.712,0.2589,0.1403,0.3816,40,False,High
D6,2,242114.898,364021.851,0.2665,0.1582,0.4149,48,False,High
D7,2,242610.75,364204.554,0.2131,0.1282,0.3331,42,False,High
D8,2,242676.867,364024.231,0.2193,0.14,0.3671,36,False,High
D9,2,242710.726,363910.68,0.2109,0.1529,0.3538,38,False,High
L7,2,242812.0,364395.0,0.2124,0.1385,0.2986,47,False,High
T41a,2,242709.928,363275.666,0.2012,0.1363,0.3383,43,False,High
T41b,2,242715.085,363309.565,0.2124,0.1631,0.3967,41,False,High
T41c,2,242721.13,363323.682,0.2527,0.1665,0.3649,40,False,High
T41d,2,242731.987,363353.284,0.2145,0.1574,0.3198,36,False,High
WMC1,2,242765.629,363643.556,0.2323,0.1351,0.3504,35,False,High
ceh10,2,242538.185,363173.915,0.2452,0.1186,0.3281,50,False,High
ceh24,2,242938.911,363392.114,0.2159,0.1438,0.3234,43,False,High
ceh28,2,242331.051,364122.039,0.2265,0.1457,0.3739,35,False,High
ceh40,2,242060.283,363398.508,0.2714,0.1675,0.3214,22,False,High
ceh41,2,242284.022,363324.592,0.2217,0.132,0.2892,24,False,High
nw 4b,2,242414.677,363751.66,0.2125,0.1473,0.32,42,False,High
nw13,2,241761.0,364180.0,0.2067,0.1273,0.2658,36,False,High
nw3,2,242091.94,363939.361,0.2539,0.1603,0.3588,47,False,High
nw4,2,242431.164,363744.512,0.2329,0.1578,0.3334,42,False,High
wmc4,2,241761.0,364180.0,0.1993,0.1173,0.2777,36,False,High
D25,3,242215.187,363143.807,0.2636,0.1889,0.3546,35,False,High
WMC2,3,241885.149,362855.856,0.234,0.1763,0.3484,38,False,High
ceh 1,3,241595.864,363948.335,0.2323,0.1405,0.3062,49,False,High
ceh16,3,240988.214,363614.897,0.2498,0.161,0.3423,31,False,High
ceh17,3,240804.597413,363576.069469,0.2823,0.1614,0.3889,25,False,High
ceh18,3,241267.167,363202.889,0.2599,0.1501,0.3543,38,False,High
ceh19,3,240845.741,363532.891,0.3602,0.18,0.3911,24,False,High
ceh21,3,241470.51,362937.659,0.3074,0.1657,0.3783,24,False,High
ceh31,3,241075.0,363538.0,0.2752,0.2053,0.3918,26,False,High
ceh36,3,241161.0,363306.0,0.2899,0.1621,0.3612,28,False,High
ceh39,3,241719.0,363435.0,0.263,0.1517,0.3778,27,False,High
ceh4,3,241131.693,363211.05,0.243,0.1659,0.3389,39,False,High
ceh42,3,242120.528,362743.198,0.2538,0.1418,0.3588,27,False,High
ceh9,3,241711.211,363459.012,0.275,0.1655,0.3888,40,False,High
nw1,3,241725.0,364139.0,0.173,0.118,0.2822,47,False,High
nw11,3,241689.0,364237.0,0.2025,0.1288,0.2696,47,False,High
nw2,3,241703.008,364112.082,0.2036,0.1148,0.296,47,False,High
nw5,3,241711.757,363023.697,0.2543,0.1442,0.3374,48,False,High
nw6,3,241444.307,363316.599,0.2375,0.1877,0.3093,41,False,High
nw7,3,241423.695,363584.862,0.2649,0.1801,0.3582,42,False,High
nw9,3,240937.259,363567.162,0.2821,0.166,0.3389,34,False,High
wmc3,3,241217.327,363562.323,0.2577,0.2262,0.3819,34,False,High
Ceh32,4,241167.0,364003.0,0.1972,0.1428,0.2739,35,True,High
ceh13,4,240964.108,364066.298,0.2375,0.1432,0.3326,38,True,High
ceh14,4,241292.0,364488.0,0.1541,0.0936,0.2904,40,True,High
ceh2,4,241421.0,363979.0,0.1818,0.1161,0.252,42,True,High
ceh20,4,241153.0,363829.0,0.1967,0.1332,0.2711,37,True,High
ceh30,4,241072.0,363760.0,0.2228,0.1384,0.2931,34,True,High
ceh33,4,240936.0,363808.0,0.2213,0.1476,0.2865,35,True,High
ceh34,4,241251.0,363920.0,0.1958,0.1237,0.2784,35,True,High
nw10,4,241435.0,364325.025,0.2098,0.1106,0.2844,42,True,High
