Parameter,Well,Era,Value,Unit,Note
recip_b3_ceh13,CEH13,excluded,,months,near-zero β₃ outlier (excluded from half-life map)
recip_b3_ceh14,CEH14,excluded,,months,negative β₃ (excluded from half-life map)
C1_halflife_min,,,5.1686,months,"min t½, C1, reference network, n=7"
C1_halflife_max,,,7.9599,months,"max t½, C1, reference network, n=7"
C1_halflife_mean,,,6.8675,months,"mean t½, C1, reference network, n=7"
C1_recip_b3_mean,,,9.9078,months,"mean 1/β₃, C1, reference network, n=7"
C2_halflife_min,,,6.1999,months,"min t½, C2, reference network, n=24"
C2_halflife_max,,,12.5714,months,"max t½, C2, reference network, n=24"
C2_halflife_mean,,,9.8699,months,"mean t½, C2, reference network, n=24"
C2_recip_b3_mean,,,14.2393,months,"mean 1/β₃, C2, reference network, n=24"
C3_halflife_min,,,6.2331,months,"min t½, C3, reference network, n=21"
C3_halflife_max,,,22.3271,months,"max t½, C3, reference network, n=21"
C3_halflife_mean,,,13.7878,months,"mean t½, C3, reference network, n=21"
C3_recip_b3_mean,,,19.8917,months,"mean 1/β₃, C3, reference network, n=21"
C4_halflife_min,,,16.1299,months,"min t½, C4, reference network, n=7"
C4_halflife_max,,,88.1196,months,"max t½, C4, reference network, n=7"
C4_halflife_mean,,,39.9654,months,"mean t½, C4, reference network, n=7"
C4_recip_b3_mean,,,57.658,months,"mean 1/β₃, C4, reference network, n=7"
C5_halflife_min,,,12.0753,months,"min t½, C5, reference network, n=5"
C5_halflife_max,,,18.6346,months,"max t½, C5, reference network, n=5"
C5_halflife_mean,,,15.3968,months,"mean t½, C5, reference network, n=5"
C5_recip_b3_mean,,,22.2128,months,"mean 1/β₃, C5, reference network, n=5"
C1_tau_min,,,1.3273,months,"min τ, C1, reference network, n=7"
C1_tau_max,,,2.5523,months,"max τ, C1, reference network, n=7"
C2_tau_min,,,2.0295,months,"min τ, C2, reference network, n=24"
C2_tau_max,,,4.8674,months,"max τ, C2, reference network, n=24"
C3_tau_min,,,2.3291,months,"min τ, C3, reference network, n=21"
C3_tau_max,,,11.2449,months,"max τ, C3, reference network, n=21"
C4_tau_min,,,5.9526,months,"min τ, C4, reference network, n=7"
C4_tau_max,,,33.5877,months,"max τ, C4, reference network, n=7"
C5_tau_min,,,5.6043,months,"min τ, C5, reference network, n=5"
C5_tau_max,,,7.6377,months,"max τ, C5, reference network, n=5"
