Well,Cluster,Easting,Northing,Sy_median,Sy_Q25,Sy_Q75,n_events,Corrected,Confidence
ceh11,1,242618.62,362688.287,0.2347,0.1577,0.307,59,False,High
ceh23,1,242325.311,364428.124,0.2073,0.1233,0.2515,44,False,High
ceh25,1,242512.557,364638.544,0.178,0.1317,0.2464,54,False,High
ceh26,1,242172.261,364362.239,0.2113,0.1171,0.2743,49,False,High
ceh27,1,242005.373,364330.297,0.2161,0.14,0.2977,52,False,High
ceh5,1,242521.077,364465.817,0.1937,0.1589,0.275,65,False,High
ceh6,1,242621.679,364724.912,0.2159,0.1228,0.3474,70,False,High
D10,2,242613.907,364118.797,0.2786,0.2216,0.3927,50,False,High
D15,2,241980.565,363895.719,0.2877,0.2318,0.3696,54,False,High
D17,2,242446.951,363534.961,0.2705,0.1981,0.3515,54,False,High
D38,2,242711.571,363069.196,0.2269,0.1722,0.2872,54,False,High
D41,2,242771.66,363342.853,0.2405,0.1748,0.3122,46,False,High
D43,2,242664.714,363428.693,0.2705,0.2117,0.3473,59,False,High
D44,2,242819.407,363279.547,0.2198,0.164,0.3163,50,False,High
D5,2,242083.407,363901.712,0.2743,0.2018,0.3481,49,False,High
D6,2,242114.898,364021.851,0.2668,0.2016,0.36,57,False,High
D7,2,242610.75,364204.554,0.2859,0.2203,0.3232,50,False,High
D8,2,242676.867,364024.231,0.2467,0.1794,0.371,47,False,High
D9,2,242710.726,363910.68,0.2593,0.2029,0.3621,49,False,High
L7,2,242812.0,364395.0,0.2857,0.2232,0.3374,63,False,High
T41a,2,242709.928,363275.666,0.2266,0.1725,0.3234,55,False,High
T41b,2,242715.085,363309.565,0.2152,0.1588,0.3129,45,False,High
T41c,2,242721.13,363323.682,0.2152,0.1884,0.3041,46,False,High
T41d,2,242731.987,363353.284,0.2538,0.1971,0.3342,47,False,High
WMC1,2,242765.629,363643.556,0.2743,0.2073,0.4062,51,False,High
ceh10,2,242538.185,363173.915,0.2625,0.1607,0.3533,64,False,High
ceh24,2,242938.911,363392.114,0.2386,0.1678,0.3165,52,False,High
ceh28,2,242331.051,364122.039,0.2363,0.1832,0.3142,41,False,High
nw 4b,2,242414.677,363751.66,0.24,0.1585,0.3175,54,False,High
nw3,2,242091.94,363939.361,0.267,0.1899,0.3536,54,False,High
nw4,2,242431.164,363744.512,0.2645,0.1732,0.3385,58,False,High
D25,3,242215.187,363143.807,0.289,0.2423,0.3925,45,False,High
WMC2,3,241885.149,362855.856,0.3434,0.2951,0.4125,53,False,High
ceh 1,3,241595.864,363948.335,0.2731,0.226,0.3464,67,False,High
ceh18,3,241267.167,363202.889,0.3643,0.2844,0.4333,53,False,High
ceh21,3,241470.51,362937.659,0.4131,0.3558,0.4445,31,False,High
ceh36,3,241161.0,363306.0,0.3493,0.2968,0.4222,38,False,High
ceh39,3,241719.0,363435.0,0.3491,0.2868,0.4073,38,False,High
ceh4,3,241131.693,363211.05,0.3487,0.2548,0.3999,53,False,High
ceh40,3,242060.283,363398.508,0.285,0.2433,0.3232,27,False,High
ceh41,3,242284.022,363324.592,0.3057,0.2556,0.3453,36,False,High
ceh42,3,242120.528,362743.198,0.3515,0.2845,0.3891,34,False,High
ceh9,3,241711.211,363459.012,0.347,0.2754,0.395,53,False,High
nw1,3,241725.0,364139.0,0.259,0.2151,0.3686,72,False,High
nw11,3,241689.0,364237.0,0.285,0.2285,0.3356,68,False,High
nw13,3,241761.0,364180.0,0.2488,0.2064,0.334,50,False,High
nw2,3,241703.008,364112.082,0.2523,0.2121,0.3416,68,False,High
nw5,3,241711.757,363023.697,0.311,0.2497,0.3663,57,False,High
nw6,3,241444.307,363316.599,0.281,0.2065,0.3458,45,False,High
nw7,3,241423.695,363584.862,0.3326,0.2798,0.398,47,False,High
wmc3,3,241217.327,363562.323,0.3283,0.2786,0.423,36,False,High
wmc4,3,241761.0,364180.0,0.2499,0.2084,0.353,51,False,High
Ceh32,4,241167.0,364003.0,0.2399,0.181,0.3664,49,True,High
ceh13,4,240964.108,364066.298,0.2311,0.1718,0.3249,50,True,High
ceh14,4,241292.0,364488.0,0.1937,0.1255,0.2653,55,True,High
ceh2,4,241421.0,363979.0,0.2415,0.1876,0.3365,60,True,High
ceh20,4,241153.0,363829.0,0.2541,0.2078,0.3124,50,True,High
ceh30,4,241072.0,363760.0,0.2783,0.211,0.3546,48,True,High
ceh33,4,240936.0,363808.0,0.2547,0.201,0.3208,48,True,High
ceh34,4,241334.0,363887.0,0.2642,0.1961,0.342,50,True,High
nw10,4,241435.0,364325.025,0.2558,0.1991,0.3305,68,True,High
ceh16,5,240988.214,363614.897,0.2841,0.2372,0.3984,51,True,High
ceh17,5,240804.597413,363576.069469,0.3217,0.2477,0.4065,40,True,High
ceh19,5,240845.741,363532.891,0.3374,0.2778,0.4218,40,True,High
ceh31,5,241075.0,363538.0,0.2949,0.235,0.3867,42,True,High
nw9,5,240937.259,363567.162,0.3084,0.2411,0.3818,60,True,High
