Well,Cluster,Easting,Northing,Sy_median,beta_3,tau_months,n_events,Corrected,Confidence,Excluded,Exclude_Reason
ceh11,1,242618.62,362688.287,0.2347,0.0919549632431785,2.552336401672269,59,False,High,False,
ceh23,1,242325.311,364428.124,0.2073,0.089885553265995,2.306266051303537,44,False,High,False,
ceh25,1,242512.557,364638.544,0.178,0.1351526074018555,1.31702971494101,54,False,High,False,
ceh26,1,242172.261,364362.239,0.2113,0.087681868170956,2.4098482891356965,49,False,High,False,
ceh27,1,242005.373,364330.297,0.2161,0.0992274658229883,2.1778244380996323,52,False,High,False,
ceh5,1,242521.077,364465.817,0.1937,0.0984496225247558,1.9675037347278086,65,False,High,False,
ceh6,1,242621.679,364724.912,0.2159,0.1222723065718425,1.7657309823720835,70,False,High,False,
D10,2,242613.907,364118.797,0.2786,0.0583486860351783,4.774743339242167,50,False,High,False,
D15,2,241980.565,363895.719,0.2877,0.0635228429470697,4.529079409114695,54,False,High,False,
D17,2,242446.951,363534.961,0.2705,0.0717983615165974,3.7674954453865834,54,False,High,False,
D38,2,242711.571,363069.196,0.2269,0.1117989416182612,2.029536207728627,54,False,High,False,
D41,2,242771.66,363342.853,0.2405,0.0668818964722908,3.59589085664817,46,False,High,False,
D43,2,242664.714,363428.693,0.2705,0.0753671909105831,3.5890948930407367,59,False,High,False,
D44,2,242819.407,363279.547,0.2198,0.0897947660593767,2.4478041387697083,50,False,High,False,
D5,2,242083.407,363901.712,0.2743,0.0698194021115176,3.9287073750915247,49,False,High,False,
D6,2,242114.898,364021.851,0.2668,0.0659584213071962,4.044972494981343,57,False,High,False,
D7,2,242610.75,364204.554,0.2859,0.0787152094928572,3.632080786445004,50,False,High,False,
D8,2,242676.867,364024.231,0.2467,0.0560601978743024,4.400626636266041,47,False,High,False,
D9,2,242710.726,363910.68,0.2593,0.0623998760669295,4.1554569711304765,49,False,High,False,
L7,2,242812.0,364395.0,0.2857,0.0858757287055092,3.3269004444753136,63,False,High,False,
T41a,2,242709.928,363275.666,0.2266,0.1042886886899596,2.17281473999218,55,False,High,False,
T41b,2,242715.085,363309.565,0.2152,0.0649445340148257,3.3135967986293293,45,False,High,False,
T41c,2,242721.13,363323.682,0.2152,0.0715324434654534,3.0084251225659706,46,False,High,False,
T41d,2,242731.987,363353.284,0.2538,0.0691189980771781,3.6719282261095216,47,False,High,False,
WMC1,2,242765.629,363643.556,0.2743,0.0563547936398573,4.8673765314970385,51,False,High,False,
ceh10,2,242538.185,363173.915,0.2625,0.1052694063832384,2.4936019781887624,64,False,High,False,
ceh24,2,242938.911,363392.114,0.2386,0.0766700651046743,3.112035964417792,52,False,High,False,
ceh28,2,242331.051,364122.039,0.2363,0.0683883452621088,3.4552671086622158,41,False,High,False,
nw 4b,2,242414.677,363751.66,0.24,0.0606689049201585,3.9558980060023305,54,False,High,False,
