Well,Cluster,Easting,Northing,basis,Sy_median,beta_3,half_life_months,storage_drainage_index_months,n_events,Corrected,Confidence,Excluded,Exclude_Reason
ceh11,1,242618.62,362688.287,full_record,0.23463008367562208,0.0786756792772937,8.810183616171102,2.982244142419979,59,False,High,False,
ceh23,1,242325.311,364428.124,full_record,0.20608498090647395,0.0841110744232126,8.240855146758815,2.4501527571689126,44,False,High,False,
ceh25,1,242512.557,364638.544,full_record,0.17787692104727712,0.1172645638902675,5.9109688175583095,1.5168855376781067,54,False,High,False,
ceh26,1,242172.261,364362.239,full_record,0.21166630362719138,0.0778502478309411,8.903596325925351,2.718890556223328,49,False,High,False,
ceh27,1,242005.373,364330.297,full_record,0.21751998051158505,0.0872790170672759,7.941739078313149,2.492236826451856,54,False,High,False,
ceh5,1,242521.077,364465.817,full_record,0.19417719365867628,0.0861004938504024,8.050443726423595,2.2552390233214528,65,False,High,False,
ceh6,1,242621.679,364724.912,full_record,0.21054040524305367,0.102980373900272,6.730866807991989,2.0444711673599545,68,False,High,False,
D10,2,242613.907,364118.797,full_record,0.2766435649577123,0.0576298532351855,12.027571504151414,4.800351717515906,49,False,High,False,
D15,2,241980.565,363895.719,full_record,0.2897441038471909,0.0608428002883915,11.392427325410173,4.762175680176124,54,False,High,False,
D17,2,242446.951,363534.961,full_record,0.2711772217223672,0.0663440993114807,10.447759299672905,4.087435424350399,54,False,High,False,
D38,2,242711.571,363069.196,full_record,0.2222669979848741,0.105627093085203,6.562210132970575,2.1042612410585297,55,False,High,False,
D41,2,242771.66,363342.853,full_record,0.24045115892856928,0.0632041620748534,10.966796454623404,3.804356406842326,46,False,High,False,
D43,2,242664.714,363428.693,full_record,0.2881481536812995,0.0748961280383991,9.254779902701648,3.8473037422384038,60,False,High,False,
D44,2,242819.407,363279.547,full_record,0.21836632723371704,0.0803263067370926,8.629142913648586,2.7184908170672952,49,False,High,False,
D5,2,242083.407,363901.712,full_record,0.2742918413149137,0.0646212568867654,10.72630298377721,4.244607030710499,49,False,High,False,
D6,2,242114.898,364021.851,full_record,0.27090284120713215,0.0633032250787438,10.949634551758296,4.2794477038121235,57,False,High,False,
D7,2,242610.75,364204.554,full_record,0.28863975978230716,0.0745723994873076,9.29495611413068,3.870597724717633,52,False,High,False,
D8,2,242676.867,364024.231,full_record,0.2475378052094781,0.0528083492349462,13.125711948997102,4.68747477994765,48,False,High,False,
D9,2,242710.726,363910.68,full_record,0.25820703088503283,0.0644269596063566,10.758651111196576,4.007748192102444,50,False,High,False,
L7,2,242812.0,364395.0,full_record,0.28758593421783096,0.0857618848274796,8.082228859058947,3.353307064045349,65,False,High,False,
T41a,2,242709.928,363275.666,full_record,0.23403903281475974,0.0911583961590677,7.60376673751951,2.5673886627664126,55,False,High,False,
T41b,2,242715.085,363309.565,full_record,0.21774569563929208,0.0630381278313001,10.995681572506653,3.4541903944548236,45,False,High,False,
T41c,2,242721.13,363323.682,full_record,0.21514888550203523,0.0656362310153935,10.560435446047828,3.277898230499812,47,False,High,False,
T41d,2,242731.987,363353.284,full_record,0.2571535807912199,0.0646289068168521,10.725033343426535,3.978925119682926,47,False,High,False,
WMC1,2,242765.629,363643.556,full_record,0.2815671265823567,0.0554332193706393,12.504184105299807,5.079393363386202,52,False,High,False,
ceh10,2,242538.185,363173.915,full_record,0.26136074784720964,0.1106220012557944,6.265907077175013,2.3626470763519976,65,False,High,False,
ceh24,2,242938.911,363392.114,full_record,0.23966851992374566,0.0718407284105838,9.648387424449176,3.336109268742283,53,False,High,False,
ceh28,2,242331.051,364122.039,full_record,0.23349750799909305,0.0710703938832339,9.752966638946186,3.2854399031855803,41,False,High,False,
nw3,2,242091.94,363939.361,full_record,0.26592721327849783,0.0596723203032937,11.615891204446529,4.456458403609615,53,False,High,False,
nw4,2,242431.164,363744.512,full_record,0.25662063459943374,0.054579372333155,12.699801242288808,4.7017879398284315,57,False,High,False,
nw4b,2,242414.677,363751.66,full_record,0.23501110077641482,0.0600492471596462,11.54297869409008,3.9136394191856754,55,False,High,False,
D25,3,242215.187,363143.807,full_record,0.2878427217432273,0.061475501164014,11.275177386690324,4.682234651089305,46,False,High,False,
WMC2,3,241885.149,362855.856,full_record,0.3434156306561556,0.0475312242437666,14.582986059965558,7.225053343775218,53,False,High,False,
ceh1,3,241595.864,363948.335,full_record,0.27324925757523905,0.0645458582105411,10.738832820209465,4.233412726250098,68,False,High,False,
