scenario,season,cluster,n_wells,dh_mean_m,dh_median_m,we_mean_mm,we_median_mm,sy_mean
baseline,annual,C1,7,0.0,0.0,0.0,0.0,0.2098951779920077
baseline,annual,C2,19,0.0,0.0,0.0,0.0,0.26353666867841014
baseline,annual,C3,26,0.0,0.0,0.0,0.0,0.30462007979112854
baseline,annual,C4,9,0.0,0.0,0.0,0.0,0.24619287974820014
baseline,annual,C5,5,0.0,0.0,0.0,0.0,0.3098746019448432
baseline,annual,SITE,66,0.0,0.0,0.0,0.0,0.27517718110395767
baseline,winter,C1,7,0.0,0.0,0.0,0.0,0.2098951779920077
baseline,winter,C2,19,0.0,0.0,0.0,0.0,0.26353666867841014
baseline,winter,C3,26,0.0,0.0,0.0,0.0,0.30462007979112854
baseline,winter,C4,9,0.0,0.0,0.0,0.0,0.24619287974820014
baseline,winter,C5,5,0.0,0.0,0.0,0.0,0.3098746019448432
baseline,winter,SITE,66,0.0,0.0,0.0,0.0,0.27517718110395767
baseline,summer,C1,7,0.0,0.0,0.0,0.0,0.2098951779920077
baseline,summer,C2,19,0.0,0.0,0.0,0.0,0.26353666867841014
baseline,summer,C3,26,0.0,0.0,0.0,0.0,0.30462007979112854
baseline,summer,C4,9,0.0,0.0,0.0,0.0,0.24619287974820014
baseline,summer,C5,5,0.0,0.0,0.0,0.0,0.3098746019448432
baseline,summer,SITE,66,0.0,0.0,0.0,0.0,0.27517718110395767
baseline,msl5,C1,7,0.0,0.0,,,
baseline,msl5,C2,19,0.0,0.0,,,
baseline,msl5,C3,26,0.0,0.0,,,
baseline,msl5,C4,9,0.0,0.0,,,
baseline,msl5,C5,5,0.0,0.0,,,
baseline,msl5,SITE,66,0.0,0.0,,,
ukcp18_2050s,annual,C1,7,-0.0082,-0.0075,-1.7333859668673675,-1.5947027151111433,0.2098951779920077
ukcp18_2050s,annual,C2,19,-0.0178,-0.0174,-4.726916004888354,-4.393849970227985,0.26353666867841014
ukcp18_2050s,annual,C3,26,-0.0187,-0.0192,-5.613000737621239,-5.661469205262769,0.30462007979112854
ukcp18_2050s,annual,C4,9,-0.0258,-0.0255,-6.256828354107841,-6.143383531135702,0.24619287974820014
ukcp18_2050s,annual,C5,5,-0.012,-0.0123,-3.6737325126249525,-3.960200330953213,0.3098746019448432
ukcp18_2050s,annual,SITE,66,-0.0178,-0.0184,-4.88732186044239,-4.983826217636328,0.27517718110395767
ukcp18_2050s,winter,C1,7,0.0407,0.0408,8.479297670397655,8.488563927198161,0.2098951779920077
ukcp18_2050s,winter,C2,19,0.0325,0.0333,8.579615715303559,8.565614829532574,0.26353666867841014
ukcp18_2050s,winter,C3,26,0.0289,0.0273,8.523158724663308,8.862542094596467,0.30462007979112854
ukcp18_2050s,winter,C4,9,0.0124,0.0118,3.077934859058966,3.0383896543724704,0.24619287974820014
ukcp18_2050s,winter,C5,5,0.0134,0.0131,4.158998158935397,4.014902569561708,0.3098746019448432
ukcp18_2050s,winter,SITE,66,0.0278,0.03,7.461610812894013,8.170985390280077,0.27517718110395767
ukcp18_2050s,summer,C1,7,-0.0572,-0.0548,-11.946069604132392,-11.788156697368176,0.2098951779920077
ukcp18_2050s,summer,C2,19,-0.0681,-0.0676,-18.033447725080265,-17.731298487988187,0.26353666867841014
ukcp18_2050s,summer,C3,26,-0.0662,-0.0681,-19.749160199905784,-19.81662912401265,0.30462007979112854
ukcp18_2050s,summer,C4,9,-0.0639,-0.0627,-15.59159156727465,-14.7719648313245,0.24619287974820014
ukcp18_2050s,summer,C5,5,-0.0374,-0.0385,-11.5064631841853,-11.760806031324513,0.3098746019448432
ukcp18_2050s,summer,SITE,66,-0.0633,-0.0651,-17.236254533778798,-17.058164552984465,0.27517718110395767
ukcp18_2050s,msl5,C1,7,-0.0085,-0.0085,,,
ukcp18_2050s,msl5,C2,19,-0.0157,-0.0157,,,
ukcp18_2050s,msl5,C3,26,-0.0163,-0.0163,,,
ukcp18_2050s,msl5,C4,9,-0.0217,-0.0217,,,
ukcp18_2050s,msl5,C5,5,-0.0107,-0.0107,,,
ukcp18_2050s,msl5,SITE,66,-0.0157,-0.0157,,,
ukcp18_2080s,annual,C1,7,-0.0154,-0.0141,-3.230613388034674,-2.9626032468276127,0.2098951779920077
ukcp18_2080s,annual,C2,19,-0.032,-0.0315,-8.52374488467209,-7.942392641525112,0.26353666867841014
ukcp18_2080s,annual,C3,26,-0.0335,-0.0347,-10.088816816713715,-10.18728544441522,0.30462007979112854
ukcp18_2080s,annual,C4,9,-0.0458,-0.0453,-11.119687282238823,-10.903409262236353,0.24619287974820014
ukcp18_2080s,annual,C5,5,-0.0214,-0.022,-6.575250472554346,-7.075324157411516,0.3098746019448432
ukcp18_2080s,annual,SITE,66,-0.0319,-0.0329,-8.78527457064379,-8.962554455812551,0.27517718110395767
ukcp18_2080s,winter,C1,7,0.0814,0.0815,16.958595340795277,16.977127854396294,0.2098951779920077
ukcp18_2080s,winter,C2,19,0.0651,0.0667,17.159231430607086,17.13122965906512,0.26353666867841014
ukcp18_2080s,winter,C3,26,0.0578,0.0546,17.04631744932659,17.725084189192867,0.30462007979112854
ukcp18_2080s,winter,C4,9,0.0248,0.0236,6.155869718117916,6.076779308744923,0.24619287974820014
ukcp18_2080s,winter,C5,5,0.0269,0.0262,8.317996317870774,8.029805139123386,0.3098746019448432
ukcp18_2080s,winter,SITE,66,0.0555,0.06,14.923221625788,16.341970780560132,0.27517718110395767
ukcp18_2080s,summer,C1,7,-0.1121,-0.1067,-23.41982211686463,-23.317401806648753,0.2098951779920077
