well,E,N,cluster,beta1,beta2,beta3,sy,mean_head,winter_head,summer_head,head_swing,P_eff,recharge_m_mon,et_draw_m_mon,drainage_m_mon,lateral_inflow_m_mon,storage_change_mm
nw1,241725.0,364139.0,3.0,1.366909001764484,5.599817043443622,0.1383438349761755,0.173,11.352407475373587,11.581746527777778,11.142523809523809,0.4392227182539692,0.07445697211155378,0.10177590542341,0.3068431207568493,1.5705355863553847,1.775602801688824,75.98553025793667
nw2,241703.008,364112.082,3.0,1.7195218338684828,4.974298454761459,0.1936939184900407,0.2036,11.920481957244741,12.140155555555555,11.721251984126985,0.4189035714285705,0.07445697211155378,0.12803038922955343,0.2725677016934037,2.3089248605885637,2.453462173052414,85.28876714285695
nw3,242091.94,363939.361,2.0,1.2046937621866596,4.518423061478502,0.3233068729447891,0.2539,10.283270611087119,10.506714211245324,10.075472779959778,0.43124143128554593,0.07445697211155378,0.08969784985409492,0.24758791623505996,3.324652064915627,3.4825421312965923,109.49219940340012
nw4,242431.164,363744.512,2.0,1.55380694350642,3.798096044032728,0.264648234350326,0.2329,8.980420610970649,9.15019889571949,8.817573672911788,0.33262522280770135,0.07445697211155378,0.11569176025939612,0.20811744991735803,2.376652458416658,2.46907814807462,77.46841439191364
nw4b,242414.677,363751.66,2.0,1.4946469798385962,4.035833362580791,0.2904107338213733,0.2125,9.05527184369308,9.24200432900433,8.87409375,0.3679105790043291,0.07445697211155378,0.11128688849446043,0.22114431493414677,2.629748141078927,2.739605567518613,78.18099803841993
nw5,241711.757,363023.697,3.0,1.4329320196623043,3.882078452900557,0.1584767029208025,0.2543,5.116031087238237,5.286598291112298,4.965065866510538,0.32153242460176035,0.07445697211155378,0.10669177942574862,0.21271928319615305,0.8107717387458442,0.9167992425162487,81.76569557622766
nw6,241444.307,363316.599,3.0,1.3015127538300195,3.4058165154023388,0.1939027021183182,0.2375,6.07478151334015,6.251234709576936,5.918170321480512,0.3330643880964237,0.07445697211155378,0.09690669881475332,0.18662241287594183,1.1779165502150613,1.2676322642762496,79.10279217290064
nw7,241423.695,363584.862,3.0,0.912139683649589,3.8954568425164178,0.1140693557288842,0.2649,7.302190992448348,7.458930686095931,7.162069166314853,0.29686151978107755,0.07445697211155378,0.06791515898733894,0.21345235479270425,0.8329562219178446,0.97849341772321,78.63861659000746
nw9,240937.259,363567.162,3.0,1.0907304610889903,3.1460500113433585,0.1139637371297851,0.2821,4.476593207948842,4.604878767431399,4.35579375,0.24908501743139855,0.07445697211155378,0.08121248752252515,0.17238845413136508,0.5101692915876632,0.6013452581965031,70.26688341739754
nw10,241435.0,364325.025,4.0,1.3785385081597303,4.118611036530953,0.0993855017137578,0.2098,10.989171666394839,11.121687042886316,10.867659153911786,0.2540278889745302,0.07445697211155378,0.10264180325675198,0.22568013451660957,1.092164339483263,1.2152026707431205,53.295051106856434
nw11,241689.0,364237.0,3.0,1.974388624508236,4.938791364211898,0.1561335849987214,0.2025,11.414824921716706,11.622521126760562,11.224733333333333,0.3977877934272289,0.07445697211155378,0.14700699875237874,0.2706220834011098,1.7822375371603787,1.9058526218091099,80.55202816901385
ceh2,241421.0,363979.0,4.0,0.8452845990704884,4.221990070289667,0.1212965855529801,0.1818,11.562177467876287,11.677190456581048,11.46066831485758,0.21652214172346795,0.07445697211155378,0.06293733181931727,0.23134480982533082,1.402452648410995,1.5708601264170086,39.363725365326474
ceh1,241595.864,363948.335,3.0,2.3588225394481936,4.633988915647418,0.1181412169425118,0.2323,10.086930812154856,10.298253333333333,9.901104166666666,0.3971491666666669,0.07445697211155378,0.1756307840357986,0.25392037086188374,1.1916822813628936,1.2699718681889787,92.25775141666671
ceh5,242521.077,364465.817,1.0,2.438035992389964,5.4760061179120925,0.2993058392945577,0.1923,9.289179701429246,9.579854814814816,9.02425,0.5556048148148154,0.07445697211155378,0.1815287778923439,0.3000588757575652,2.780305726894249,2.89883582475947,106.842805888889
ceh6,242621.679,364724.912,1.0,2.44502613588011,5.1392746435374175,0.4306930002285112,0.2115,8.497228881757117,8.77814814814815,8.239062500000003,0.5390856481481467,0.07445697211155378,0.18204924281124546,0.28160760571559945,3.6596970007123297,3.759255363616684,114.01661458333304
ceh3,240743.0,363388.0,5.0,1.047027992782343,1.2578092201347122,0.0028365453249737,0.1,3.377901475506212,3.473685925925926,3.284,0.18968592592592604,0.07445697211155378,0.07795853405861104,0.06892191359622223,0.009581570638568909,0.0005449501761800868,18.968592592592607
ceh4,241131.693,363211.05,3.0,1.393033686223867,3.803166631591136,0.1533497056274576,0.243,3.9676244831873255,4.128111111111111,3.8229791666666677,0.30513194444444336,0.07445697211155378,0.10372107032562543,0.2083952938001889,0.6084340465370699,0.7131082700116335,74.14706249999973
ceh7,243385.803,363612.9,,,,,0.12,5.059323190978142,5.238630907870769,4.910489361702128,0.32814154616864144,0.07445697211155378,,,,,39.37698554023697
ceh8,243149.932,363382.305,,,,,0.12,5.239967320261438,5.343006128043863,5.149847457627119,0.19315867041674473,0.07445697211155378,,,,,23.179040450009367
ceh10,242538.185,363173.915,2.0,1.5300050983670184,5.780447214781857,0.170918871983196,0.2452,4.568747098578966,4.847001481481481,4.321041295438346,0.5259601860431351,0.07445697211155378,0.11391954693964818,0.31674078795673777,0.7808851004656165,0.9837063414827061,128.96543761777673
ceh9,241711.211,363459.012,3.0,1.28692396854905,3.6887454997664295,0.1390870849701465,0.275,7.269079214554141,7.408849493444128,7.149437499999998,0.2594119934441306,0.07445697211155378,0.09582046203594671,0.20212556446845464,1.0110350383694175,1.1173401408019257,71.33829819713591
ceh25,242512.557,364638.544,1.0,2.660436633523919,6.24756970710761,0.3948060631289581,0.1725,8.695515459465168,9.045156648451732,8.36013394109397,0.6850227073577617,0.07445697211155378,0.19808805622684644,0.34233686050856676,3.4330422254284363,3.5772910297101563,118.1664170192139
ceh26,242172.261,364362.239,1.0,1.814396255108053,4.855882225501871,0.3669842366023448,0.2226,10.08636524003374,10.32081111111111,9.843548387096776,0.47726272401433434,0.07445697211155378,0.1350944513658879,0.2660790601802292,3.701537047706208,3.8325216565205493,106.23868236559082
ceh11,242618.62,362688.287,1.0,1.856510771796173,4.901900337298079,0.268759587255583,0.2232,3.1240052910052905,3.3758792673992675,2.8893125,0.4865667673992675,0.07445697211155378,0.13823017076042685,0.26860063203254864,0.8396063725948394,0.9699768338669611,108.60170248351652
ceh13,240964.108,364066.298,4.0,0.721880655301909,3.048808636625762,0.0867355687301244,0.2375,10.388876647378037,10.445826156253638,10.349796797897282,0.09602935835635584,0.07445697211155378,0.053749047819684405,0.16706009310571904,0.9010851244774422,1.0143961697634767,22.80697260963451
