region,smoothing_m,r,slope,intercept_m,n_cells,sd_dem_m,sd_head_m
reference_hull,0,0.7478777720276099,0.6468215260982338,1.243097386452326,1269,2.726837488385618,2.3583762636474597
all_wells_hull,0,0.8810892501493447,0.8492277645019684,-0.6350867907406568,1781,4.791574598158267,4.618304199885135
figure_mask,0,0.8939340175908922,0.7281127037972692,0.25272314938625834,3997,6.448397670152478,5.252244763464711
reference_hull,50,0.8135590703932761,0.7578561981022974,0.12964145543198247,1269,2.531718293648643,2.3583762636474597
all_wells_hull,50,0.9114322464654079,0.9060754148932196,-1.2650929537795403,1781,4.645608193947077,4.618304199885135
figure_mask,50,0.9082785819930498,0.7503501462113842,0.08962771468427548,3997,6.357700401775128,5.252244763464711
reference_hull,100,0.8566998781134579,0.8432914254750838,-0.7311846196592369,1269,2.395874778964117,2.3583762636474597
all_wells_hull,100,0.9305198141348495,0.9446150989788415,-1.7077070855016558,1781,4.549391143907143,4.618304199885135
figure_mask,100,0.918713649495957,0.7670168950575702,-0.04203937522667591,3997,6.291007389513266,5.252244763464711
reference_hull,200,0.899393058342774,0.9411506465087102,-1.7309154675707183,1269,2.2537382812765907,2.3583762636474597
all_wells_hull,200,0.9510320984824637,0.9916013089940052,-2.2534335364077207,1781,4.429356329816716,4.618304199885135
figure_mask,200,0.9307475554148553,0.7892955097089052,-0.21499923427379403,3997,6.193515500725651,5.252244763464711
reference_hull,300,0.9179784029911403,0.993744844183655,-2.2884861437111903,1269,2.1785657443423214,2.3583762636474597
all_wells_hull,300,0.9622338821010901,1.0170684932031684,-2.5682067313471855,1781,4.369311220116164,4.618304199885135
figure_mask,300,0.9383167869922978,0.8042684085653076,-0.3397305493375908,3997,6.127642685534068,5.252244763464711
reference_hull,400,0.9269233761675666,1.0235723191869457,-2.6201581547815658,1269,2.135690900971206,2.3583762636474597
all_wells_hull,400,0.9684941768313764,1.0281428009662439,-2.7302022049968047,1781,4.350369151270747,4.618304199885135
figure_mask,400,0.9437706210549969,0.8153281901866405,-0.4416774696625531,3997,6.07965523823386,5.252244763464711
reference_hull,600,0.9329310441684867,1.0370316752104503,-2.8154594908654227,1269,2.121634741523493,2.3583762636474597
all_wells_hull,600,0.9710415852322568,1.0207677107666338,-2.7413096555812655,1781,4.39332610547916,4.618304199885135
figure_mask,600,0.9510531659963513,0.8313910718754809,-0.6176003220846382,3997,6.0082002078908605,5.252244763464711
reference_hull,800,0.9226595374216106,0.98734342514975,-2.375557883608614,1269,2.2038718211477852,2.3583762636474597
all_wells_hull,800,0.9633280828001911,0.9875748207003284,-2.4700731179229227,1781,4.504916526231906,4.618304199885135
figure_mask,800,0.954187553886652,0.8412961851646941,-0.7648948961383208,3997,5.957029963571369,5.252244763464711
