well,cluster_id,MSL5_bg_2017_m,MSL5_bg_2023_m,raw_change_mm,E,N,significant_25mm
ceh22,2.0,-0.3333333333333333,-0.5619999999999999,-228.66666666666663,241375.022,362906.94,True
ceh21,3.0,-0.7953333333333333,-0.9893333333333334,-194.00000000000006,241470.51,362937.659,True
ceh3,5.0,-1.036,-1.2193333333333336,-183.33333333333357,240743.0,363388.0,True
ceh14,4.0,-0.7093333333333334,-0.882,-172.66666666666663,241292.0,364488.0,True
ceh18,3.0,-0.58,-0.7380000000000001,-158.00000000000014,241267.167,363202.889,True
ceh19,5.0,-0.6679999999999999,-0.8206666666666667,-152.66666666666674,240845.741,363532.891,True
ceh17,5.0,-1.8726666666666667,-2.022666666666667,-150.00000000000014,240804.597413,363576.069469,True
nw9,5.0,-0.6326666666666666,-0.7826666666666666,-150.00000000000003,240937.259,363567.162,True
ceh13,4.0,-0.7813333333333332,-0.93,-148.66666666666683,240964.108,364066.298,True
ceh32,4.0,-1.411333333333333,-1.5566666666666666,-145.33333333333354,241167.0,364003.0,True
ceh16,5.0,-0.6626666666666666,-0.8073333333333335,-144.66666666666683,240988.214,363614.897,True
ceh34,4.0,-0.55,-0.694,-143.99999999999991,241334.0,363887.0,True
nw10,4.0,-0.6766666666666666,-0.82,-143.33333333333331,241435.0,364325.025,True
ceh4,3.0,-0.4973333333333333,-0.6373333333333333,-140.0,241131.693,363211.05,True
nw5,3.0,-0.4093333333333334,-0.5473333333333333,-137.99999999999994,241711.757,363023.697,True
ceh33,4.0,-1.4366666666666663,-1.5719999999999998,-135.33333333333354,240936.0,363808.0,True
ceh24,2.0,0.0586666666666666,-0.0673333333333333,-125.99999999999989,242938.911,363392.114,True
ceh1,3.0,-0.354,-0.4786666666666667,-124.6666666666667,241595.864,363948.335,True
ceh30,4.0,-1.4353333333333331,-1.5573333333333332,-122.00000000000011,241072.0,363760.0,True
ceh20,4.0,-0.922,-1.0426666666666666,-120.66666666666659,241153.0,363829.0,True
nw6,3.0,-0.2353333333333334,-0.3533333333333333,-117.99999999999989,241444.307,363316.599,True
d38,2.0,-0.3426666666666667,-0.456,-113.33333333333334,242711.571,363069.196,True
ceh31,5.0,-1.2273333333333334,-1.3393333333333337,-112.00000000000033,241075.0,363538.0,True
