well,E,N,residual_wb
ceh28,242331.051,364122.039,0.010880170879294548
nw7,241423.695,363584.862,0.002122354276901245
nw9,240937.259,363567.162,0.0016559069493711776
ceh4,241131.693,363211.05,0.00023223534344551933
ceh18,241267.167,363202.889,-0.00043387340747125247
nw6,241444.307,363316.599,-0.0009238225309227688
nw5,241711.757,363023.697,-0.001187621700702468
ceh17,240804.597413,363576.069469,-0.001818271599138832
nw3,242091.94,363939.361,-0.0030974290683928873
ceh23,242325.311,364428.124,-0.0032307233973643545
wmc3,241217.327,363562.323,-0.003383845638043975
ceh21,241470.51,362937.659,-0.003564261854438283
ceh16,240988.214,363614.897,-0.00429009338627373
ceh26,242172.261,364362.239,-0.004383309509980282
ceh36,241161.0,363306.0,-0.004584234920497282
ceh25,242512.557,364638.544,-0.005087714625315876
nw4,242431.164,363744.512,-0.005386510948860557
ceh9,241711.211,363459.012,-0.005417881375666733
d25,242215.187,363143.807,-0.005611484939947398
ceh11,242618.62,362688.287,-0.005749369222264544
ceh10,242538.185,363173.915,-0.005998914645430009
ceh13,240964.108,364066.298,-0.006001605406326882
ceh40,242060.283,363398.508,-0.006068368124807627
d43,242664.714,363428.693,-0.0066599395640326575
ceh19,240845.741,363532.891,-0.00672048794490579
nw4b,242414.677,363751.66,-0.006894318453488757
t41b,242715.085,363309.565,-0.0069724015309931
wmc1,242765.629,363643.556,-0.0071711795319966964
ceh5,242521.077,364465.817,-0.007206123347792248
ceh20,241153.0,363829.0,-0.007224683262093745
ceh30,241072.0,363760.0,-0.007268286487993159
ceh34,241334.0,363887.0,-0.007322751204476091
ceh1,241595.864,363948.335,-0.007517153825605305
ceh33,240936.0,363808.0,-0.00762394504153438
ceh32,241167.0,364003.0,-0.007684803439471727
ceh27,242005.373,364330.297,-0.007834242241629708
ceh39,241719.0,363435.0,-0.007909160452297115
d9,242710.726,363910.68,-0.008148837144390242
d10,242613.907,364118.797,-0.008179754181920962
ceh41,242284.022,363324.592,-0.008246006807668127
d8,242676.867,364024.231,-0.008479643016981508
wmc4,241760.293,364180.707,-0.00863563377433707
d17,242446.951,363534.961,-0.008958041255202165
nw13,241761.0,364180.0,-0.008983661026916279
wmc2,241885.149,362855.856,-0.009637987311756746
d41,242771.66,363342.853,-0.009879204147295206
d6,242114.898,364021.851,-0.009973639382558297
ceh31,241075.0,363538.0,-0.010020020702584703
ceh14,241292.0,364488.0,-0.010579369593193638
ceh42,242120.528,362743.198,-0.011305585810936991
t41d,242731.987,363353.284,-0.011583256755239413
d44,242819.407,363279.547,-0.011660576939490908
l7,242812.0,364395.0,-0.012587374152655817
t41c,242721.13,363323.682,-0.012949640103664894
d5,242083.407,363901.712,-0.013223547387116785
nw10,241435.0,364325.025,-0.014205121505846574
d38,242711.571,363069.196,-0.014709472774811994
d15,241980.565,363895.719,-0.01675066567218514
ceh24,242938.911,363392.114,-0.016826328563898874
ceh2,241421.0,363979.0,-0.017274318992598958
nw11,241689.0,364237.0,-0.01735295709848167
d7,242610.75,364204.554,-0.019147155377254865
ceh6,242621.679,364724.912,-0.019360306900063073
nw1,241725.0,364139.0,-0.028554778812095782
t41a,242709.928,363275.666,-0.0451875189668105
nw2,241703.008,364112.082,-0.04945493221214614
