well,E,N,dist_nearest_cut_m,dd_mm
ceh41,242284.022,363324.592,2.407256595718641,199.72905689925116
ceh40,242060.283,363398.508,3.1376024986439135,213.23446745691913
ceh38,241130.0,363261.0,3.8236244454749384,156.9355332695267
ceh35,241081.0,363212.0,4.5604754008719555,140.66674598777155
ceh21,241470.51,362937.659,9.203113977014008,163.23156081761087
ceh42,242120.528,362743.198,10.712841459390699,146.66521639446668
p1,241243.0,363283.0,13.895737102807077,179.83100921510976
ceh36,241161.0,363306.0,15.619568485481022,156.6920913296712
ceh18,241267.167,363202.889,19.40814475458724,183.0029855510885
ceh4,241131.693,363211.05,24.245410420695336,146.39214790255969
ceh22,241375.022,362906.94,79.06747283230875,143.15472807985526
pw,242056.0,363286.0,99.41743489554867,178.26220574602206
nw8,241276.11,363480.129,108.73235140742666,112.31389816230953
nw8b,241272.0,363487.0,115.49832561658909,108.84744262810226
nw6,241444.307,363316.599,160.92516835160342,135.7180707928649
d25,242215.187,363143.807,177.11295072925586,133.59198046844014
wmc3,241217.327,363562.323,183.01058770068383,78.12075797402566
fe3,241104.1,363546.1,188.9377133773505,69.85673034856718
ceh31,241075.0,363538.0,198.0866214610141,65.87436281834758
nw5,241711.757,363023.697,219.14145803245546,106.42157730857093
fe2,241135.0,363595.0,222.68396099522528,62.019321511994725
d17,242446.951,363534.961,247.5717065979038,76.85393941425724
wmc2,241885.149,362855.856,249.84148990224142,87.0207962075859
nw7,241423.695,363584.862,262.20513215695854,70.92378527654652
ceh10,242538.185,363173.915,292.4158373630482,63.954633747786424
ceh16,240988.214,363614.897,312.43162974032884,38.31318315872171
fe4,241223.2,363692.4,313.0036700845523,45.816180552198595
nw9,240937.259,363567.162,315.65283401679903,35.758941231255896
ceh39,241719.0,363435.0,326.7997592408799,90.03661754198181
ceh9,241711.211,363459.012,337.32161349324616,86.25667200383482
ceh19,240845.741,363532.891,364.69424580860004,25.12670214613336
ceh3,240743.0,363388.0,373.228062492474,14.356744091228672
lis1,241406.0,363720.0,373.6289379088766,43.576643379516206
fe1,241338.0,363744.0,378.4239526795663,39.255158918165975
d43,242664.714,363428.693,386.19446051800304,38.930443416743955
ceh30,241072.0,363760.0,398.8994303245886,28.55501309648852
nw4b,242414.677,363751.66,405.38844659750384,44.346753871528065
nw4,242431.164,363744.512,406.3155694049344,43.56521211534282
ceh17,240804.597413,363576.069469,423.39583399259607,18.863254185448238
t41a,242709.928,363275.666,424.90730182663935,33.93789175986458
t41b,242715.085,363309.565,426.4883809585496,33.240194217084095
t41c,242721.13,363323.682,431.8464630847617,32.34603902560049
d5,242083.407,363901.712,435.80488507364885,35.22688248947965
t41d,242731.987,363353.284,442.7794759768252,30.664005618005394
d15,241980.565,363895.719,444.8498345866884,34.25067980488468
ceh20,241153.0,363829.0,450.3519424428473,24.51659537449507
ceh11,242618.62,362688.287,457.8195547568685,25.8854766914702
nw3,242091.94,363939.361,473.2908682129968,30.098204706697206
d41,242771.66,363342.853,482.1950578883787,25.98061204498634
d38,242711.571,363069.196,494.97142375190475,29.767127041828918
ceh33,240936.0,363808.0,499.88165547120474,17.056820820524923
ceh34,241334.0,363887.0,519.2974316472828,22.142417950534224
d44,242819.407,363279.547,533.0440709178822,21.358047474160344
d6,242114.898,364021.851,556.0879077894684,21.219465167557317
wmc1,242765.629,363643.556,563.9197069282774,18.69987054623173
pe,242739.0,362823.0,573.9603961420516,20.2963881600241
ceh37,242886.0,363346.0,596.5666226377397,15.921900353876149
ceh32,241167.0,364003.0,623.0032267639135,12.219761634872835
ceh2,241421.0,363979.0,625.673326590803,16.174033155201347
ceh15,240679.892,363754.368,633.2192745273136,7.252507916297926
ceh24,242938.911,363392.114,651.7256177322365,12.446718686356302
ceh1,241595.864,363948.335,661.8820643960128,19.89281908818676
ceh28,242331.051,364122.039,696.8199216543566,12.008157218173631
d9,242710.726,363910.68,704.1758622863695,11.21138495396185
ceh13,240964.108,364066.298,723.5909744088824,6.9312911457237
nw2,241703.008,364112.082,755.0557378963348,11.718901821487444
nw1,241725.0,364139.0,767.9473070075264,10.737199536191296
d8,242676.867,364024.231,773.1295683286128,8.615641497049303
nw13,241761.0,364180.0,788.5720063233777,9.391950223299146
wmc4,241760.293,364180.707,789.5124217561889,9.361025755075856
d10,242613.907,364118.797,822.7458319453659,7.265536174798965
ceh8,243149.932,363382.305,861.6125847335481,5.050954263649788
ceh27,242005.373,364330.297,868.9410406440661,5.700253146439075
nw11,241689.0,364237.0,871.5423520586622,7.1254412889430325
d7,242610.75,364204.554,898.8037421840736,5.314129397711266
ceh26,242172.261,364362.239,899.3975608620472,4.8741131531042505
nw10,241435.0,364325.025,967.4741331840885,4.168174495129756
ceh23,242325.311,364428.124,989.0065294355586,3.320826142600574
ceh5,242521.077,364465.817,1086.3772815056557,2.2275864775350493
p2,242303.0,364558.0,1111.3751900774778,1.944573115764214
ceh14,241292.0,364488.0,1111.5719208210564,1.9038233467898886
ceh7,243385.803,363612.9,1130.4244175240526,1.5353875683990357
nw12,241262.0,364524.0,1145.3021738569926,1.5990513412228742
l1,242804.097,364389.095,1150.7790628383755,1.7064181601070925
l7,242812.0,364395.0,1159.7967914309359,1.638122121538662
ceh25,242512.557,364638.544,1244.282506276539,1.1042921947180309
ceh6,242621.679,364724.912,1364.2064592848358,0.6591559764941526
llynrhos,242560.208,364820.878,1432.1378541247716,0.4843253753079113
ceh12,240339.0,364588.0,1480.201529409401,0.19777092125741783
