Well,Well_ID,Era,Era_start,Era_end,N_summers,Mean_depth_m,SD_depth_m,Min_depth_m,Max_depth_m
CEH36,ceh36,Pre-2015,record_start,2015-04-01,4,1.0425,0.1663,0.83,1.21
CEH36,ceh36,2015–17,2015-04-01,2018-01-01,3,0.8867,0.1731,0.66,1.08
CEH36,ceh36,Post-fell 2018–23,2018-01-01,2023-10-01,6,0.9717,0.0921,0.79,1.07
CEH36,ceh36,Post-rescrape 2024+,2023-10-01,record_end,2,0.905,0.165,0.74,1.07
CEH18,ceh18,Pre-2015,record_start,2015-04-01,7,1.01,0.219,0.68,1.31
CEH18,ceh18,2015–17,2015-04-01,2018-01-01,3,1.11,0.1485,0.9,1.22
CEH18,ceh18,Post-fell 2018–23,2018-01-01,2023-10-01,6,1.2367,0.1366,0.97,1.38
CEH18,ceh18,Post-rescrape 2024+,2023-10-01,record_end,2,1.0752,0.0952,0.98,1.1704
CEH21,ceh21,Pre-2015,record_start,2015-04-01,5,1.202,0.1306,1.06,1.39
CEH21,ceh21,2015–17,2015-04-01,2018-01-01,3,1.21,0.1134,1.05,1.3
CEH21,ceh21,Post-fell 2018–23,2018-01-01,2023-10-01,6,1.3317,0.0874,1.18,1.45
CEH21,ceh21,Post-rescrape 2024+,2023-10-01,record_end,2,1.31,0.11,1.2,1.42
CEH4 (control),ceh4,Pre-2015,record_start,2015-04-01,9,0.7272,0.2658,0.335,1.09
CEH4 (control),ceh4,2015–17,2015-04-01,2018-01-01,3,0.9467,0.132,0.76,1.04
CEH4 (control),ceh4,Post-fell 2018–23,2018-01-01,2023-10-01,6,1.06,0.1108,0.87,1.18
CEH4 (control),ceh4,Post-rescrape 2024+,2023-10-01,record_end,2,1.095,0.235,0.86,1.33
