Scenario,Cluster,Delta_vol_mm_per_month
Clearfell,C1,0.0
Clearfell,C2,0.0
Clearfell,C3,0.0
Clearfell,C4,3.1
Clearfell,C5,7.5
Thinning 50%,C1,0.0
Thinning 50%,C2,0.0
Thinning 50%,C3,0.0
Thinning 50%,C4,1.6
Thinning 50%,C5,3.7
Broadleaf,C1,0.0
Broadleaf,C2,0.0
Broadleaf,C3,0.0
Broadleaf,C4,3.5
Broadleaf,C5,4.2
Climate dry,C1,-12.8
Climate dry,C2,-16.5
Climate dry,C3,-18.0
Climate dry,C4,-12.1
Climate dry,C5,-9.9
Climate wet,C1,7.3
Climate wet,C2,8.9
Climate wet,C3,9.6
Climate wet,C4,5.9
Climate wet,C5,5.2
