Well,Well_Normalized,Cluster,n,R2,durbin_watson,ar1_phi,ljungbox12_p,hac_maxlag,p_beta_1_ols,p_beta_1_hac,p_beta_2_ols,p_beta_2_hac,p_beta_3_ols,p_beta_3_hac,sig_flips_hac
nw1,nw1,3,251,0.756758516956318,2.4115911954007667,-0.21437773910557015,0.05026923535926693,4,2.0036395470492274e-74,2.2170439401659286e-110,2.1491848135243249e-19,8.726298318502852e-34,1.3804727385103146e-29,3.746170071709841e-48,0
nw2,nw2,3,251,0.7594800014506613,2.4211051805208967,-0.21895565764087704,0.05204515165876132,4,4.488989240644042e-74,1.29874655911066e-106,6.243770392734907e-16,3.61082921423416e-26,2.3190112331826444e-29,1.6094387106158468e-42,0
nw3,nw3,2,210,0.7488422105980913,2.345643149551291,-0.18138851665433536,0.08142096455474115,4,8.98011670950127e-58,1.3524482548498324e-104,2.4737201877574334e-16,4.338069923771525e-27,5.9474841456384706e-21,5.942274965245183e-37,0
nw4,nw4,2,244,0.5987164799738542,2.4617793609456733,-0.2324844515677758,0.015247088776614352,4,2.7080285759669776e-45,1.1556785514118655e-66,3.540187801432607e-07,3.0067392152421967e-12,1.1794153295611954e-16,2.776922052907031e-29,0
nw4b,nw4b,2,240,0.59264163364867,2.493525516574707,-0.24833826012584567,0.0018687911413388604,4,2.81442187554031e-44,1.5460258917878009e-69,1.0960767062278122e-06,1.924660182554173e-11,1.2125397617713878e-16,3.2098469402220476e-31,0
nw5,nw5,3,243,0.7398424827279318,2.481621877063919,-0.24832240259044713,0.02159343014603833,4,7.444255886180881e-64,2.394122562047115e-78,1.2293885451378602e-21,8.19325879752726e-39,4.661128403290338e-17,3.5972447695618386e-25,0
nw6,nw6,3,214,0.7167591656740505,2.7731291562882805,-0.4011219113402415,2.1761654758543178e-07,4,9.23624345040143e-55,1.0386408482024177e-79,8.514877933023526e-11,5.281663119404083e-19,1.6883835055801594e-20,1.0250675304936918e-27,0
nw7,nw7,3,217,0.7560086502147202,2.2193955638189147,-0.11679052451844807,0.7069596201081629,4,9.096616985786033e-59,2.3319982377265652e-93,6.084895919181155e-23,1.0773670858554571e-28,1.62317368882558e-14,2.4702833582677273e-26,0
nw9,nw9,5,240,0.7297724961898511,2.475037876636829,-0.24542970597925418,0.005987620953842149,4,1.3383210127426476e-63,1.1148165804648075e-109,2.2378167996797793e-13,2.915832821478026e-22,2.1794799477813202e-23,5.897316297764056e-39,0
nw10,nw10,4,204,0.7843670330898689,2.177959291089956,-0.10222304489098617,0.052592562726236275,4,1.4702048775389868e-58,8.186524869533155e-88,2.741528702033257e-29,4.880121588396339e-45,8.65814619279688e-11,1.1269949486094196e-15,0
nw11,nw11,3,225,0.7904349777870016,2.6023563183772485,-0.3179073916991553,2.8241465972678946e-05,4,1.1167459083062352e-71,1.341585856468466e-117,3.320625702474891e-22,2.5418513150436093e-44,1.4108703937708579e-25,8.02577464453489e-41,0
nw13,nw13,3,163,0.8045227214891678,2.340562289755366,-0.17719008971203118,0.3606586556574739,4,4.7224437486279334e-55,6.791043680283041e-116,1.4116974507104004e-11,3.9185637511233704e-17,2.6485519385546628e-24,2.354468833548996e-37,0
ceh1,ceh1,3,238,0.7796341843487877,2.372662949148312,-0.20629806138583348,0.00014616489902677412,4,2.0924563274481503e-72,1.5075376383877173e-129,6.69469440262956e-24,9.343220906432617e-35,2.8219307380343624e-23,2.6216749084021754e-35,0
ceh2,ceh2,4,224,0.7257347797408035,1.8925544244967758,0.039303069857685564,0.08218326752851449,4,5.375975993256935e-50,2.6932787044561123e-67,3.5835349591390625e-31,1.6778246110088486e-40,5.850960755502848e-05,4.214906599164801e-06,0
ceh5,ceh5,1,237,0.7545081228764244,2.239260004753523,-0.1248719371732542,0.09566192108463865,4,2.8324620706641534e-70,1.4406988051323316e-149,1.902331565559658e-10,1.3835059915371556e-14,1.0014059640281709e-33,6.3281516096411416e-68,0
ceh6,ceh6,1,238,0.6483950424023506,2.3915993789218546,-0.20335028113664702,0.04082801235903595,4,6.362679066351816e-55,2.7191475030102516e-59,0.5254933489717413,0.40942803670005135,5.538946949636073e-34,7.551097805682228e-51,0
ceh9,ceh9,3,225,0.7704288086941564,2.330243145228866,-0.17070776239917398,0.004622169735401875,4,4.668299449248256e-62,2.6729722223439137e-71,1.0183874706429144e-27,1.3733263890699386e-57,5.6400843731670135e-14,1.1979639527414374e-18,0
ceh10,ceh10,3,230,0.7003696172770213,2.159352170085136,-0.119249840485797,0.11911388409607918,4,4.4362176936478e-59,1.0193390101085482e-44,1.6890245756224328e-11,4.178686098567291e-15,2.787593436797709e-27,1.2634266241164166e-27,0
ceh11,ceh11,1,234,0.708499598009631,2.4091719445398825,-0.20594673989735504,0.020637028807594358,4,3.4999462216324765e-61,2.1574877181497885e-109,6.898668429506475e-07,1.0498969325115362e-10,1.9553894320507593e-29,1.1661922170300878e-53,0
ceh13,ceh13,4,215,0.5663253688349839,1.976209978443949,0.01022337146460929,0.37609897924099966,4,1.7233130294799514e-25,6.643414190317684e-38,4.771273959452466e-21,3.227463069560139e-27,0.38925043414816013,0.3539646791682256,0
ceh14,ceh14,4,217,0.5719936434732235,1.3498270683834985,0.32032077280985505,3.565986046815923e-06,4,1.3314457126842109e-20,8.710678863028681e-21,2.7853552024313926e-28,2.1905717962291604e-34,0.06644014190179917,0.07090596266152634,0
ceh16,ceh16,5,223,0.7419389540848058,2.39934611078555,-0.20888396488413805,0.019737197366397854,4,9.773492477963891e-60,1.978974386554262e-103,4.900178337129418e-17,6.819926346306036e-27,8.148168835305628e-19,1.4345213908970187e-30,0
ceh17,ceh17,5,219,0.6945802441735178,2.4320672324249855,-0.22505593389633527,0.10105803581805917,4,2.944169576479328e-52,1.7150358862132566e-58,4.769580779383053e-17,4.5456515099235265e-28,3.984513811358122e-16,2.2488030360033633e-18,0
ceh18,ceh18,3,219,0.7416311375860305,2.367089358498094,-0.19013203598453018,0.08239462955535166,4,6.337757072027737e-59,1.326768852945452e-85,3.731323591925941e-18,6.797930607253771e-30,7.158284291090509e-19,1.5206709429482916e-26,0
ceh19,ceh19,5,215,0.7092282303543747,2.417983318925545,-0.22591508035479888,0.030328224095709226,4,2.1270173636197657e-54,2.172152656883508e-82,7.93596422901981e-09,6.555366090428109e-12,2.863938650286248e-21,1.321336360972673e-26,0
ceh20,ceh20,4,202,0.716119292066695,2.306432487321146,-0.15829042249154712,0.1284548162103248,4,2.0381727631217237e-46,3.8511887006224513e-63,3.5115839559502204e-24,1.5681649443643637e-36,7.007878529159431e-07,1.8106043221158198e-09,0
ceh21,ceh21,3,188,0.7623254395561421,2.164572416131268,-0.0845727747124765,0.536333211757775,4,1.366145353398788e-53,1.236173382257729e-53,6.408982025551235e-13,3.520404553641151e-17,5.836774759021406e-19,1.3156774315973795e-18,0
ceh23,ceh23,1,170,0.6502226938207079,2.1919166205973992,-0.10195825577775967,0.6376524901704059,4,8.77843059155033e-39,3.2789328055378676e-37,0.0791326997915165,0.02617650159951071,8.083200495253442e-21,1.8316029351051734e-35,1
ceh24,ceh24,2,188,0.7533834365976927,2.4689902867449254,-0.24137295608175188,0.012338890281961093,4,8.468789462492903e-54,1.363857331858217e-138,1.970421349212174e-11,8.472250012302563e-16,9.158418317433295e-22,2.726053270456722e-38,0
ceh25,ceh25,1,191,0.6860299482224186,2.168110370894898,-0.09461258738891669,0.23558874486731116,4,1.1505874318149514e-48,3.72475013942027e-65,0.092267287793298,0.028660293461208727,1.4554216274107003e-29,1.0469249319479056e-42,1
ceh26,ceh26,1,190,0.6310188803933177,2.205655244874018,-0.1076475438463699,0.6095868713255106,4,1.1164364959648131e-40,6.165022637710773e-39,0.007238277487202941,0.0010529146083964095,3.8983004990725075e-20,8.778094750275924e-32,0
ceh27,ceh27,1,191,0.737297870282879,2.1657338508557626,-0.08758266422876848,0.18738044185409394,4,1.4891743598377072e-54,5.518175468508605e-102,0.0001169550607521782,6.676970325036292e-06,2.6766237459752125e-28,1.8805692690861556e-58,0
ceh28,ceh28,2,156,0.7408186201224147,2.0950878600135723,-0.06826993859637354,0.3786891019066051,4,1.6049643071832235e-43,3.440461646894619e-87,1.6589938388422104e-08,2.632852284085316e-11,2.0029353123198013e-18,3.109381228303527e-28,0
