Well,Well_Normalized,Cluster,Easting,Northing,ridge_distance_m,n,alpha,beta_10,beta_11,beta_2,beta_3,R2,pvalue_b11,phi_resid,peak_lag,peak_r,peak_significant,sig_threshold
nw1,nw1,3.0,241725.0,364139.0,361.86461556775623,248,0.15425277422439898,4.266531496002543,-0.4738753309160211,2.637637787407312,0.1360569787384809,0.7500135164249526,0.030830457524860133,-0.25559309768505367,2,0.13221147815872858,True,0.1249650357604143
nw2,nw2,3.0,241703.008,364112.082,390.7539158959304,248,0.2194650407711264,4.362657328865952,-0.5906145105141976,2.5832382573617148,0.12103372989409171,0.7651561018059215,0.005352168869633079,-0.25563169797273383,2,0.1428227255136661,True,0.1249650357604143
nw3,nw3,2.0,242091.94,363939.361,656.687941050412,225,0.7917398630123259,3.068517783227197,-0.0038263596489476475,3.177912907953873,0.2616894977972855,0.7368395950198161,0.9852834131500559,-0.31255626137802883,2,0.10476180925539452,False,0.13125130791575532
nw4,nw4,2.0,242431.164,363744.512,1017.2249077957167,246,0.7386427731579897,2.8335273914394774,-0.36995545975621447,2.5049738581901186,0.23267341685010073,0.6525946380799148,0.076938813813387,-0.16549399892274297,2,0.12805797090939938,True,0.12521980673998823
nw 4b,nw4b,2.0,242414.677,363751.66,1000.9037266036295,238,0.7640467941860754,3.018655138827933,-0.552168236766732,2.66593648668295,0.24066428214179295,0.664079418712519,0.013199882747119196,-0.1821087682041854,2,0.18084373736649437,True,0.12731568128247966
nw5,nw5,3.0,241711.757,363023.697,1476.7982512374672,244,0.11544237149199234,3.2903445877082635,0.38995801369402855,2.1245131276667095,0.08889899251653229,0.7257012724756068,0.040436258916225425,-0.27651939727514385,2,0.2078321788218185,True,0.1259935719205121
nw6,nw6,3.0,241444.307,363316.599,1222.2463487570865,225,0.391097434000008,3.062562705939154,0.012397230706346237,1.9488358432815436,0.15786075931580307,0.6895076005381688,0.9502878988408053,-0.36829162867555165,11,-0.1083315612300568,False,0.13125130791575532
nw7,nw7,3.0,241423.695,363584.862,971.5721857221694,226,0.06641376492071761,2.7914923546341948,0.35581165112825774,1.9711823488868334,0.07890984962881174,0.7035714503996975,0.0500689855380099,-0.20042790426638793,2,0.1301323468560139,False,0.13095800853708794
nw9,nw9,5.0,240937.259,363567.162,1237.2286237090516,238,0.03335601619836635,2.6792364323253173,0.2571117955000725,1.1651246045680204,0.06419834275822801,0.7341741083689687,0.06645178151638621,-0.22284064779106735,11,0.08612357625157674,False,0.1275851327612074
nw10,nw10,4.0,241435.0,364325.025,360.33491452396316,206,0.011025775867279888,3.3693462876168954,0.10033957867534606,2.5366317934379907,0.04940701254346046,0.7760317346757698,0.5864673303649092,-0.09794722208286226,2,0.1869627539289259,True,0.13689233797083733
nw11,nw11,3.0,241689.0,364237.0,269.9814808463721,223,0.16864837193500196,4.178872407835414,-0.3287960405352424,2.6659580369752187,0.10768999529837195,0.7981520098206992,0.09338586315657496,-0.2634030543748322,2,0.18178939833926874,True,0.13184386762327724
nw13,nw13,3.0,241761.0,364180.0,320.18900668199086,163,0.3804652953137864,4.235177487540507,-0.21099270497152467,2.797356420657897,0.17888400547706845,0.7907592612150601,0.40967332085840535,-0.02438430287541947,2,0.21610030807011987,True,0.15399214345840367
ceh 1,ceh1,3.0,241595.864,363948.335,572.7933123919801,236,0.08803062080587298,4.318322389844297,-0.17408990168540392,2.6655891049644236,0.08214382191709413,0.7827222149029073,0.3973251064763693,-0.16460818844391342,2,0.20077968817466318,True,0.12785630231847467
