well_id,cluster_id,easting,northing,distance_to_ridge_m,distance_to_forest_edge_m,winter_mean_m,summer_mean_m,winter_minus_summer_m,p_value
ceh11,1,242618.62,362688.287,2009.1801061052122,-1600.278085015253,0.009057028085372091,0.012542538426698014,-0.003485510341325923,0.8556372091068453
ceh23,1,242325.311,364428.124,579.7834993314173,-526.1280168644885,-0.0008836303897997722,-0.004956337297793057,0.0040727069079932844,0.858868600680872
ceh25,1,242512.557,364638.544,775.0403977761414,-762.4466992034601,0.04872280462967391,0.01581029257318985,0.03291251205648406,0.21256646309837327
ceh26,1,242172.261,364362.239,444.164885196926,-367.2990890851272,-0.003042509073727722,-0.0052423312983139935,0.0021998222245862716,0.9222263123726213
ceh27,1,242005.373,364330.297,306.6178033611048,-201.0066923135852,0.01383720802453938,0.006072436022872696,0.007764772001666683,0.72396195591869
ceh5,1,242521.077,364465.817,771.8343199275258,-725.3815177328277,0.004542960149120457,0.010783650052394756,-0.006240689903274299,0.7357192648171512
ceh6,1,242621.679,364724.912,900.2275749970179,-893.0519572168474,0.01975760489974623,0.007120494046524606,0.012637110853221625,0.5440480016155025
ceh10,2,242538.185,363173.915,1542.6396278619488,-1263.0284308564896,0.05327320040969861,0.024379075142360335,0.028894125267338273,0.28067269699888386
ceh24,2,242938.911,363392.114,1625.090998964975,-1474.3530166378443,0.01870290646447844,0.00769880934058594,0.011004097123892501,0.6567993817694918
ceh28,2,242331.051,364122.039,693.162882821935,-572.6134986644349,0.020390483342358653,0.01192730087004721,0.008463182472311443,0.7239379116397181
d10,2,242613.907,364118.797,944.2727528939907,-840.7424283997007,0.011027991774260738,0.007742668681891528,0.00328532309236921,0.8561281850766357
d15,2,241980.565,363895.719,646.7733344735402,-397.91143563249847,0.018402809656250182,0.012235146859437102,0.00616766279681308,0.7507561895330553
d17,2,242446.951,363534.961,1190.3952990170876,-986.1877676208447,0.018146458094024088,0.006621085153681227,0.011525372940342862,0.6630636101466656
d38,2,242711.571,363069.196,1723.8964221950816,-1465.3574213529753,0.029046303155540003,0.02244454257766178,0.006601760577878223,0.7741246984082372
d41,2,242771.66,363342.853,1543.6250630282602,-1362.8696199359174,0.0010833247143976904,0.0067061028566072906,-0.0056227781422096,0.7920957479668521
d43,2,242664.714,363428.693,1408.6874706779188,-1226.238302300322,0.024645194999398046,0.014170884439843162,0.010474310559554884,0.5510397380693093
d44,2,242819.407,363279.547,1622.6943202149823,-1437.7821054221224,-0.00582221804728749,0.010704849774925267,-0.016527067822212756,0.44782246427684064
d5,2,242083.407,363901.712,684.9151470021706,-479.9931330946723,0.006805796762760237,0.011532423783374482,-0.004726627020614244,0.8155406311846152
d6,2,242114.898,364021.851,601.479024243545,-439.2448936733037,0.014104982752118368,0.0068612066130860315,0.007243776139032336,0.7092256308430908
d7,2,242610.75,364204.554,910.0433513937662,-818.335522845089,0.03838511053338937,0.015911222053728264,0.022473888479661103,0.31856654781943616
d8,2,242676.867,364024.231,1041.8438352507392,-930.0908493878088,0.008763054003963334,0.0076115284843458865,0.0011515255196174476,0.9439740433647332
d9,2,242710.726,363910.68,1127.0725395803054,-1005.8953094674997,0.03167831463575497,0.01725816922022966,0.014420145415525307,0.5241965334969781
l7,2,242812.0,364395.0,1067.178054496999,-1007.8524581969996,0.024610464321614636,0.01743448159547538,0.007175982726139257,0.6626054404956978
nw3,2,242091.94,363939.361,656.687941050412,-466.11416679252716,0.012251365170815742,0.011931484995718583,0.0003198801750971588,0.9605232459371204
nw4,2,242431.164,363744.512,1017.2249077957167,-856.3784129344883,-0.003869458404356359,0.008643593483664296,-0.012513051888020654,0.5534779824573092
nw4b,2,242414.677,363751.66,1000.9037266036295,-838.7038882687733,-0.0016867220024431885,0.00682925307977826,-0.008515975082221449,0.7111500024795478
t41a,2,242709.928,363275.666,1555.7813177757223,-1349.0116556906041,0.035452286330736854,0.0244434463791139,0.011008839951622953,0.6875339303540067
t41b,2,242715.085,363309.565,1532.4896562293588,-1334.4169686895334,0.006770942062103657,0.0032268956064132304,0.0035440464556904263,0.8465501082127848
t41c,2,242721.13,363323.682,1525.3909380955677,-1331.5762434533822,0.0006876905354823264,0.0006116881900812794,7.600234540104699e-05,0.9926673119463775
t41d,2,242731.987,363353.284,1509.7205214293876,-1324.1088545179246,-0.0010383118889049662,0.0060955171141714145,-0.007133829003076381,0.7251525057497799
