source,model,n_obs,n_wells,AIC,delta_0_mm_yr,delta_0_se,delta_0_ci_lo,delta_0_ci_hi,L_m,L_se,L_ci_lo,L_ci_hi,c_mm_yr,c_se,beta_forest_mm_yr,beta_forest_se_mm_yr,ref_distance_m,delta_ref_mm_yr,delta_ref_se,delta_ref_ci_lo,delta_ref_ci_hi
full,linear_capped,12006,67,-33668.4,-31.72,1.95,-35.54,-27.91,995.0,57.0,884.0,1106.0,-0.47,0.56,,,150.0,-27.41113094069006,1.4418775926407599,-30.237444093115492,-24.58481778826463
full,exponential,12006,67,-33672.5,-41.3,2.58,-46.37,-36.24,609.0,99.0,415.0,802.0,3.28,1.52,,,150.0,-29.00261923589168,1.7462705527260014,-32.42559179337728,-25.57964667840608
forest_free,linear_capped,10929,61,-31848.8,-31.35,1.97,-35.21,-27.48,894.0,48.0,801.0,987.0,-0.1,0.55,,,150.0,-26.189580307242277,1.448690166491152,-29.029275434587394,-23.34988517989716
forest_free,exponential,10929,61,-31853.6,-40.63,3.15,-46.8,-34.46,489.0,76.0,340.0,639.0,2.12,1.09,,,150.0,-27.78384566990877,1.7621171457148597,-31.237914447511905,-24.329776892305638
c3_only,linear_capped_cfix,3676,20,-10254.2,-29.03,2.74,-34.41,-23.65,929.0,71.0,790.0,1068.0,-0.1,,,,150.0,-24.44836399406249,2.082593775814189,-28.531517938137412,-20.365210049987567
c3_only,exponential_cfix,3676,20,-10269.5,-32.15,3.71,-39.43,-24.88,713.0,109.0,500.0,926.0,2.12,,,,150.0,-23.935892865008476,2.3240388339283067,-28.49242637679609,-19.379359353220863
full_canopy,linear_capped,12006,67,-33703.8,-32.4,1.95,-36.22,-28.58,928.0,48.0,834.0,1022.0,0.16,0.57,-9.013249795328338,2.5207693270749436,150.0,-26.997906845374686,1.4436955533113425,-29.827783494576877,-24.168030196172495
full_canopy,exponential,12006,67,-33704.4,-42.17,3.06,-48.17,-36.18,521.0,82.0,361.0,681.0,2.83,1.22,-8.51978380814193,2.7240416824392897,150.0,-28.793744772734236,1.8108049693335686,-32.34321521837137,-25.244274327097106
full_mam,linear_capped,3035,67,-8804.3,-36.08,3.75,-43.44,-28.72,942.0,84.0,778.0,1106.0,2.15,1.07,,,150.0,-28.18938903381956,2.7843073407135854,-33.648710472300124,-22.730067595338994
full_mam,exponential,3035,67,-8801.9,-46.93,5.93,-58.56,-35.3,518.0,137.0,250.0,786.0,5.0,2.31,,,150.0,-30.133558933870585,3.5181546126668133,-37.03176899134892,-23.235348876392248
forest_free_mam,linear_capped,2767,61,-8448.0,-34.17,3.71,-41.45,-26.89,894.0,81.0,735.0,1053.0,2.48,1.03,,,150.0,-25.955934822851887,2.7386919342799363,-31.326023940894984,-20.58584570480879
forest_free_mam,exponential,2767,61,-8447.3,-46.36,6.96,-60.0,-32.71,424.0,109.0,211.0,637.0,4.0,1.71,,,150.0,-28.548391295228665,3.4517958228674726,-35.31675065469816,-21.780031935759165
c3_only_mam,linear_capped_cfix,931,20,-2569.6,-31.73,5.62,-42.77,-20.69,924.0,128.0,673.0,1175.0,2.48,,,,150.0,-24.100321959328532,4.279837434479675,-32.49959208720543,-15.701051831451634
c3_only_mam,exponential_cfix,931,20,-2572.5,-38.52,9.34,-56.85,-20.18,563.0,159.0,251.0,875.0,4.0,,,,150.0,-25.505638353444617,5.330518271862983,-35.966891513730594,-15.044385193158638
