well,easting,northing,cluster,dist_coast_m,slope_m_yr,slope_se,slope_p,r2,n_years
ceh1,241595.864,363948.335,3,1086.9,0.001608187134504115,0.01915708318646329,0.9340788941935073,0.0004143673048226937,19
ceh10,242538.185,363173.915,2,1122.7,0.011619883040936925,0.017334642365199313,0.511653422714388,0.025751039846139023,19
ceh11,242618.62,362688.287,1,782.7,0.003198050682261455,0.010100374193287819,0.7553816598861232,0.0058626400518534405,19
ceh13,240964.108,364066.298,4,879.0,-0.0018092942279368182,0.01821172199931611,0.922096243493183,0.0006164935908624658,18
ceh14,241292.0,364488.0,4,1404.7,0.0038569706709516167,0.024621939558705168,0.8774820679775542,0.0015313082419050605,18
ceh15,240679.892,363754.368,4,481.5,-0.01778989898990515,0.05662651819600945,0.7614343299046009,0.012186866552353792,10
ceh18,241267.167,363202.889,3,302.0,-0.0109362745098024,0.017287297006882987,0.5371785842908916,0.02779174941957452,16
ceh21,241470.51,362937.659,3,232.0,-0.002289377289379548,0.021118836290857874,0.915626951754941,0.001067181700507569,13
ceh22,241375.022,362906.94,2,146.7,-0.00804761904761888,0.013464246984416669,0.5603064739153206,0.026745681447860825,15
ceh23,242325.311,364428.124,1,1920.6,0.010165599658557397,0.008893205161591622,0.2753003345564262,0.09819324652817796,14
ceh24,242938.911,363392.114,2,1547.4,0.018380952380952456,0.019017156654549394,0.3514090823765058,0.0670443952305676,15
ceh25,242512.557,364638.544,1,2202.0,0.019154761904761904,0.011694854717688389,0.12541167114650495,0.17105841017917867,15
ceh26,242172.261,364362.239,1,1771.7,0.011750000000000007,0.008796047219231232,0.20452159989384894,0.12069684263598068,15
ceh27,242005.373,364330.297,1,1640.1,0.021166666666666608,0.012313496736191495,0.10932261914065769,0.18520306727937164,15
ceh28,242331.051,364122.039,2,1690.3,0.01964759768180974,0.016152139985258884,0.24928660819861473,0.11856496974163377,13
ceh3,240743.0,363388.0,5,176.0,-0.02612280701754361,0.009444219299289812,0.013216611725848367,0.31036755853779174,19
ceh37,242886.0,363346.0,2,1478.0,0.03255506607929522,0.023899804333350885,0.20304333301711047,0.156505841154986,12
ceh39,241719.0,363435.0,3,770.8,0.013895397086945701,0.018834553836284493,0.4761038899241461,0.04714807658014486,13
ceh4,241131.693,363211.05,3,220.7,-0.015187134502923659,0.012101908387503243,0.22648007628521016,0.08478484635690042,19
ceh5,242521.077,364465.817,1,2075.5,0.0068976112597882505,0.0076743884223785626,0.38132245005375304,0.04536274569876164,19
ceh6,242621.679,364724.912,1,2338.0,0.009350877192982894,0.005783629557049425,0.12432894057450354,0.13327167019026898,19
ceh7,243385.803,363612.9,2,1863.4,-0.001939393939394813,0.018635649160975952,0.9196762952742888,0.001351965102400654,10
ceh8,243149.932,363382.305,2,1577.3,-0.00504304029303978,0.014641314105346982,0.7370110482227307,0.010670214741128725,13
ceh9,241711.211,363459.012,3,784.8,-0.00180741031683832,0.014283761556181206,0.9008841380993303,0.0009997098290903672,18
d10,242613.907,364118.797,2,1874.4,0.02134523809523804,0.014461574887796915,0.16375242391439657,0.14352913482140217,15
d15,241980.565,363895.719,2,1290.6,0.0265357142857142,0.018117148730277692,0.16677160086478188,0.14164617743596475,15
d17,242446.951,363534.961,2,1336.1,0.01650000000000002,0.01507224158585785,0.29350454079289995,0.08440572620887488,15
d25,242215.187,363143.807,3,893.7,0.029523809523809647,0.024541235199748882,0.2521637013555032,0.10762609215543117,14
d38,242711.571,363069.196,2,1153.4,0.018642857142857235,0.021972240718056358,0.4115257125555747,0.05247169421824649,15
d41,242771.66,363342.853,2,1400.4,0.017,0.013127780632636352,0.21785949374895652,0.11425624977774629,15
d43,242664.714,363428.693,2,1400.6,0.022369047619047615,0.017712214178539538,0.22880189410238047,0.10928144410700102,15
d44,242819.407,363279.547,2,1384.3,0.018761904761904778,0.015105116499062694,0.236144932755642,0.10608600176313376,15
d5,242083.407,363901.712,2,1362.9,0.02209523809523805,0.015399751116107176,0.17496820639948313,0.13670539176167507,15
d6,242114.898,364021.851,2,1473.9,0.023440476190476126,0.015872608320469824,0.16354320643414882,0.1436609283403073,15
d7,242610.75,364204.554,2,1935.9,0.024488095238095177,0.016804206273417367,0.16877373358412634,0.1404166606195063,15
d8,242676.867,364024.231,2,1849.9,0.019416666666666638,0.014250273116076871,0.19616474562287342,0.1249641571874951,15
d9,242710.726,363910.68,2,1791.9,0.006402366863905243,0.020193181030468278,0.7566494862168887,0.008307444373844564,14
l7,242812.0,364395.0,2,2211.9,0.020857843137256877,0.015502395760578625,0.199864902243051,0.11449911229317966,16
lis1,241406.0,363720.0,4,790.4,0.06023809523809172,0.07027527936906443,0.4242577226266581,0.10909781971393118,8
nw1,241725.0,364139.0,3,1316.9,0.0007067669172930568,0.012740806043667017,0.9563729803570776,0.00017092747305147427,20
nw11,241689.0,364237.0,3,1375.8,0.012875816993462068,0.015880125532569997,0.4293692923771662,0.03946699301514567,18
nw13,241761.0,364180.0,3,1371.3,0.025245421245419807,0.02064690868510106,0.2449062746295429,0.11078494135119787,14
nw2,241703.008,364112.082,3,1282.2,0.0002568086883874719,0.012917945852440231,0.9843578176899295,2.1955860633471325e-05,20
nw3,242091.94,363939.361,2,1396.9,-0.003218437808267643,0.00698506684125977,0.6508106078155109,0.01233417807208037,19
nw4,242431.164,363744.512,2,1478.0,0.0001946115288219705,0.0069839809969981905,0.9780761168617872,4.313599215211017e-05,20
nw4b,242414.677,363751.66,2,1471.7,0.00034402673350032633,0.007513268935960379,0.9639824324240941,0.0001164671438930176,20
nw5,241711.757,363023.697,3,459.7,-0.007947081687269122,0.014576245285667406,0.5923029262175207,0.016245689986650325,20
nw6,241444.307,363316.599,3,502.5,-0.010541816877409847,0.010911855639449774,0.34754351520097826,0.05204426152934116,19
nw7,241423.695,363584.862,3,694.8,-0.014022957582279248,0.01314055254332092,0.3008246381481525,0.06278315697682801,19
nw8,241276.11,363480.129,5,520.9,-0.07263939393938966,0.035905459803054464,0.07768740321748725,0.3384508285521991,10
nw8b,241272.0,363487.0,3,523.8,0.01173737373736529,0.0348211369781454,0.7447324185846949,0.014003651409347118,10
nw9,240937.259,363567.162,5,419.4,-0.02375275689223044,0.012189360691127148,0.06709986376897267,0.17420676189782935,20
t41a,242709.928,363275.666,2,1309.2,0.02452380952380958,0.0241830300616319,0.32904202682616296,0.07330723782695037,15
t41b,242715.085,363309.565,2,1338.7,0.015285714285714317,0.014172066649183504,0.30038139907717576,0.08213713500721231,15
t41c,242721.13,363323.682,2,1353.5,0.017583333333333333,0.014043339329656476,0.23260083821752675,0.10761449984530447,15
t41d,242731.987,363353.284,2,1383.4,0.017654761904761895,0.01275010231971964,0.18945723787951052,0.12853025052956668,15
wmc1,242765.629,363643.556,2,1630.5,0.008022875816994027,0.01202299899087787,0.5147196630973037,0.028829605159938487,17
wmc2,241885.149,362855.856,3,457.5,0.012234477124183582,0.018598836178773656,0.5206290241124132,0.028038645314191202,17
wmc4,241760.293,364180.707,3,1371.3,0.026300366300364815,0.021078000178737517,0.2359175732220239,0.11484284082342133,14
