well,easting,northing,cluster,dist_coast_m,slope_m_yr,slope_se,slope_p,r2,n_years
ceh 1,241595.864,363948.335,3.0,1086.9,-0.013037593984962388,0.010303595580374143,0.2218832485848399,0.08168399058376485,20
ceh10,242538.185,363173.915,2.0,1122.7,-0.009541353383458611,0.006303087736925243,0.14744834721527927,0.11292753563835412,20
ceh11,242618.62,362688.287,1.0,782.7,-0.011424812030075072,0.004994681721311295,0.03449622466627094,0.2252125395072082,20
ceh13,240964.108,364066.298,4.0,879.0,-0.01658063903527454,0.013200457913367429,0.2260806949936096,0.08492441834029474,19
ceh14,241292.0,364488.0,4.0,1404.7,-0.008569814366423227,0.013615758049338181,0.5374519417795213,0.022772255381271034,19
ceh15,240679.892,363754.368,,481.5,-0.033328912071534295,0.02867000173946079,0.274929478840172,0.13055315274333368,11
ceh18,241267.167,363202.889,3.0,302.0,-0.021438596491227778,0.008389319294062912,0.020478261784289273,0.27753009876185364,19
ceh21,241470.51,362937.659,3.0,232.0,-0.009926470588234631,0.006336036585629852,0.13951075726825404,0.14916638702231855,16
ceh22,241375.022,362906.94,,146.7,-0.013882352941175844,0.005174990239053559,0.017855003879824076,0.33950624809509133,16
ceh23,242325.311,364428.124,1.0,1920.6,-0.009217032967032905,0.008800197981055694,0.3140139386467723,0.07781645009553995,15
ceh24,242938.911,363392.114,2.0,1547.4,0.0018823529411779536,0.009638097267214754,0.8479615495209624,0.002717126320502694,16
ceh25,242512.557,364638.544,1.0,2202.0,-0.008833172613307764,0.006806768570810287,0.21536410729270236,0.10737263823969656,16
ceh26,242172.261,364362.239,1.0,1771.7,-0.007602941176469945,0.006961726052798531,0.29322445812085,0.07850450545706555,16
ceh27,242005.373,364330.297,1.0,1640.1,-0.004573529411763786,0.007223646855997047,0.5368525946037009,0.0278356642199431,16
ceh28,242331.051,364122.039,2.0,1690.3,0.01086687391808941,0.008385334388117255,0.2175335167894903,0.11440856533709409,15
ceh3,240743.0,363388.0,,176.0,-0.03203759398496216,0.006928046833573259,0.00021067582854458454,0.5429668719147087,20
ceh37,242886.0,363346.0,,1478.0,0.02948089889724629,0.03084302353053014,0.35968967922844075,0.07668733734147848,13
ceh39,241719.0,363435.0,3.0,770.8,0.008521643433602115,0.015234490998019472,0.5871208272258899,0.02765777753968901,13
ceh4,241131.693,363211.05,3.0,220.7,-0.03154135338345846,0.00739547103829031,0.000465940568022945,0.5026228863085375,20
ceh40,242060.283,363398.508,3.0,971.5,0.0015734265734268157,0.015878420190737368,0.9230233952416231,0.0009809619110653367,12
ceh41,242284.022,363324.592,3.0,1071.4,0.004370629370630014,0.0158509966738629,0.7883677873059451,0.007545455028363124,12
ceh42,242120.528,362743.198,3.0,525.5,0.005734265734266348,0.010359434359797396,0.5920599460060108,0.02972875385941598,12
ceh5,242521.077,364465.817,1.0,2075.5,-0.015048872180450971,0.005843204406160587,0.019056811420283617,0.2692710017693979,20
ceh6,242621.679,364724.912,1.0,2338.0,-0.007571428571428434,0.004318684098514421,0.09658468547772041,0.14585229213636597,20
ceh7,243385.803,363612.9,,1863.4,-0.0027197452229299757,0.00808652207071422,0.7443304968525281,0.012412689292335632,11
ceh8,243149.932,363382.305,,1577.3,-0.022131868131868522,0.00906229475183555,0.03103317994938659,0.3320086370459804,14
ceh9,241711.211,363459.012,3.0,784.8,-0.01551879699248114,0.009610744887695852,0.12376076391693074,0.12652592469655566,20
d10,242613.907,364118.797,2.0,1874.4,-0.00011764705882200306,0.008577321256703227,0.9892500568947317,1.3437699465712605e-05,16
d15,241980.565,363895.719,2.0,1290.6,0.004000000000002108,0.010474659297322003,0.70828855402483,0.01030888762554416,16
d17,242446.951,363534.961,2.0,1336.1,0.0023235294117661485,0.0093503742315433,0.807358889335144,0.004391359414580576,16
d25,242215.187,363143.807,3.0,893.7,0.030392857142859636,0.01721335188900942,0.10091363966261689,0.19342534571861258,15
d38,242711.571,363069.196,2.0,1153.4,-0.0059264705882347245,0.00804402163001763,0.47343795786331,0.03732480548625805,16
d41,242771.66,363342.853,2.0,1400.4,-0.005058823529410988,0.008694135272495027,0.5699084424887637,0.023612419187485134,16
d43,242664.714,363428.693,2.0,1400.6,-0.0003529411764691265,0.009588789487516186,0.9711580348989153,9.676248840850832e-05,16
d44,242819.407,363279.547,2.0,1384.3,0.0007058823529428257,0.00905173724255555,0.9389451196152078,0.0004341943094920975,16
d5,242083.407,363901.712,2.0,1362.9,0.0068970588235317196,0.009335823151706207,0.4722493035222865,0.03752195210156106,16
d6,242114.898,364021.851,2.0,1473.9,0.0012647058823544999,0.0086742662062287,0.8861579207502801,0.0015160957050783797,16
d7,242610.75,364204.554,2.0,1935.9,0.007764705882354698,0.004590389496449969,0.11286803750288901,0.16969224776003478,16
d8,242676.867,364024.231,2.0,1849.9,0.0044117647058843305,0.009329207241816639,0.6435740026562214,0.015722611211272275,16
d9,242710.726,363910.68,2.0,1791.9,0.004676470588237204,0.010376721399816411,0.6591286659617915,0.014299895639779292,16
l7,242812.0,364395.0,2.0,2211.9,-0.0064705882352937135,0.010179473658677442,0.5345825442232585,0.02623021894645461,17
lis1,241406.0,363720.0,,790.4,0.05607142857142547,0.04034274219822451,0.21394073103063727,0.24354713874021094,8
nw 4b,242414.677,363751.66,2.0,1471.7,-0.011650375939849553,0.00622243268653935,0.07750098958775961,0.16300779512164099,20
nw1,241725.0,364139.0,3.0,1316.9,-0.01328571428571387,0.008171586545896527,0.12045511860428611,0.12213278903181446,21
