control_tier,impact_zone,control_well,d_target_m,d_control_m,delta_E_m,baci_coef,baci_coef_se,baci_coef_p,baci_absorbs_mm_yr,baci_absorbs_se_mm_yr,model_predicts_mm_yr,z_test_baci_vs_model,consistent,clearfell_step_m,n_months,tier_d_control_m,tier_baci_absorbs_mm_yr,tier_model_predicts_mm_yr,tier_z_test_baci_vs_model,tier_consistent
Forest,Impact,CEH32,553.0,911.9,50.60000000000582,,,,,,-12.118057415796542,,not estimated,0.0144129565968978,171,955.0,-16.1,-10.2,-1.25,yes
Forest,Impact,CEH34,553.0,890.6,-116.39999999999418,,,,,,-11.708486565948952,,not estimated,0.0283249001626257,171,955.0,-16.1,-10.2,-1.25,yes
Forest,Impact,CEH33,553.0,638.2,281.6000000000058,-5.4459999560658935e-06,1.2675098178896837e-06,2.9546650017626027e-05,-18.40312305153825,4.283169176612907,-2.9600495936413314,-3.605524979545441,no,0.1412568575161033,171,955.0,-16.1,-10.2,-1.25,yes
Forest,Impact,NW10,553.0,1322.6,-217.39999999999418,6.163817980529558e-06,2.0242714368053475e-06,0.0027324978448679,-16.08016834760508,5.280919324337649,-12.118057415796542,-0.7502691649820802,yes,0.0753756028242035,162,955.0,-16.1,-10.2,-1.25,yes
Forest,Impact,CEH2,553.0,1014.0,-203.39999999999418,6.018988053256558e-06,1.987130702740205e-06,0.0028643383174033,-14.691146040388189,4.8501886192481525,-12.118057415796542,-0.5305131050739448,yes,0.0966027000580329,165,955.0,-16.1,-10.2,-1.25,yes
Forest,Edge,CEH32,587.0,911.9,-95.39999999999418,,,,,,-10.9205197874557,,not estimated,-0.0305524869752069,173,955.0,-11.2,-9.0,-0.64,yes
Forest,Edge,CEH34,587.0,890.6,-262.3999999999942,3.1708818291619227e-06,1.133429698287889e-06,0.0057535330938899,-9.98447270366484,3.5689434339688257,-10.51094893760811,0.14751599280961528,yes,0.0354642689253787,173,955.0,-11.2,-9.0,-0.64,yes
Forest,Edge,CEH33,587.0,638.2,135.60000000000582,-7.026462851822499e-06,1.6104114489475106e-06,2.238739109754272e-05,-11.43346035248606,2.6204615097275017,-1.7625119653004884,-3.6905515884456705,no,0.05042448020746,173,955.0,-11.2,-9.0,-0.64,yes
Forest,Edge,NW10,587.0,1322.6,-363.3999999999942,2.7715388899834637e-06,1.0428317572692543e-06,0.0087202052740079,-12.086126791439696,4.5475807270996915,-10.9205197874557,-0.2563136476144285,yes,0.0013123628592779,156,955.0,-11.2,-9.0,-0.64,yes
Forest,Edge,CEH2,587.0,1014.0,-349.3999999999942,2.060171826474724e-06,9.509252766714926e-07,0.0317916099273377,-8.637888434043079,3.9870395000281675,-10.9205197874557,0.5725128515522593,yes,0.0048761868137899,162,955.0,-11.2,-9.0,-0.64,yes
Climate,Impact,CEH9,553.0,784.8,-493.9872000000323,-9.387594747993716e-07,5.219731965769887e-07,0.0740217580235459,5.56482197315571,3.094176934225597,-8.04135252605138,4.397348564235358,no,-0.010020855054969,163,580.0,8.1,-0.9,2.76,no
Climate,Impact,NW7,553.0,694.8,-206.47120000002906,1.5179343513114152e-06,1.1025184589297642e-06,0.1706568537962042,-3.760916724438403,2.7316597108489344,-4.921862321979723,0.42499641991663956,yes,0.0431916496005532,154,580.0,8.1,-0.9,2.76,no
Climate,Impact,NW6,553.0,502.5,-227.08320000002277,-2.873512134588167e-06,1.6383704778045496e-06,0.0815778236893656,7.830315969134125,4.464556930625081,1.7434484140533772,1.3633755039222957,yes,-0.0008597061218983,150,580.0,8.1,-0.9,2.76,no
Climate,Impact,NW5,553.0,459.7,-494.5332000000344,-2.710816213179624e-06,7.187589060318907e-07,0.0002284590661163,16.08706339818834,4.265401701941699,3.2269393111007894,3.014985454062476,no,-0.0329319226857429,165,580.0,8.1,-0.9,2.76,no
Climate,Impact,WMC2,553.0,457.5,-667.925200000027,-1.5977695471419305e-06,5.597805079983636e-07,0.004874014760443,12.806286531944718,4.486698093131085,3.3031935160892054,2.118059387682956,no,-0.0540468389257961,169,580.0,8.1,-0.9,2.76,no
Climate,Edge,CEH9,587.0,784.8,-638.9872000000323,-1.0720403759426804e-06,4.146939873759049e-07,0.0106319765300579,8.220240937327144,3.1798097982021387,-6.843814897710538,4.7374078297245585,no,-0.0874815503220647,165,580.0,11.4,0.3,2.66,no
Climate,Edge,NW7,587.0,694.8,-351.47120000002906,-1.1045719714157955e-07,6.934861299595084e-07,0.8736729056722808,0.46587028353588894,2.924884827362934,-3.72432469363888,1.4326017004069982,yes,-0.0478076884409767,150,580.0,11.4,0.3,2.66,no
Climate,Edge,NW6,587.0,502.5,-372.08320000002277,-2.364490766386137e-06,1.226689611268132e-06,0.0559090720096121,10.55744748872952,5.477167151609166,2.9409860423942202,1.390584080330216,yes,-0.0753473308861995,148,580.0,11.4,0.3,2.66,no
Climate,Edge,NW5,587.0,459.7,-639.5332000000344,-2.6153072273335e-06,6.526588672229592e-07,9.372676664180529e-05,20.07090960095773,5.00876416636196,4.424476939441632,3.123811012423978,no,-0.1089390767485147,167,580.0,11.4,0.3,2.66,no
Climate,Edge,WMC2,587.0,457.5,-812.925200000027,-1.5273999857609037e-06,5.750485117048503e-07,0.0086800453737031,14.899943266856651,5.6096571166486,4.500731144430048,1.8538053050628247,yes,-0.1274353979867323,171,580.0,11.4,0.3,2.66,no
