well,cluster,dist_coast_m,n_obs_withheld,delta_0_loo_mm_yr,delta_0_loo_se,L_loo_m,c_loo_mm_yr,delta_ref_loo_mm_yr,d_delta_0_mm_yr,d_delta_ref_mm_yr,abs_rank
ceh3,5,176.0,238,-28.14966284225581,2.2600541317147225,937.576064209928,-0.3543925097543083,-24.000474695973935,3.128996626994187,2.377970462867925,1
wmc2,3,457.5,201,-32.94942578012168,1.983316630503366,927.0150410918213,-0.29797221931493023,-27.915862212059125,-1.6707663108716808,-1.5374170532172649,2
ceh22,3,146.7,186,-32.66284306943111,2.127180679690651,893.8338528171092,-0.2913165905719645,-27.47279816874486,-1.3841836001811139,-1.0943530099029992,3
d25,3,893.7,169,-29.91244799319489,2.0002008252206025,971.2104397411681,-0.2724816626541872,-25.565058394812173,1.3662114760551098,0.813386764029687,4
ceh39,3,770.8,153,-30.234952126368857,1.9713533847795404,971.4457338449865,-0.2875560739097233,-25.853958366820752,1.0437073428811416,0.5244867920211078,5
ceh21,3,232.0,160,-32.26128908959437,2.0299627089947028,895.0453554821146,-0.315791336441559,-27.17043445686878,-0.9826296203443725,-0.7919892980269196,6
ceh4,3,220.7,238,-30.47105385822297,2.204304680629068,909.5532178083955,-0.30278630368244247,-25.748671772367274,0.8076056110270287,0.6297733864745858,7
lis1,4,790.4,100,-30.553983995418672,1.9628312276482103,945.880157854723,-0.29821610427095335,-26.006874229119123,0.7246754738313257,0.3715709297227363,8
nw8,5,520.9,114,-30.62783048185565,1.9672495048275356,893.7139287262446,-0.24439302073006292,-25.731680847257355,0.6508289873943482,0.646764311584505,9
nw7,3,694.8,224,-31.902222375898777,2.0251321801164117,833.3125060507979,-0.13279228634394002,-26.292471112688563,-0.6235629066487789,0.08597404615329651,10
nw8b,5,523.8,129,-31.86698444383835,1.9662140051156178,928.6499536615623,-0.31543772062183817,-27.035113808142977,-0.5883249745883532,-0.6566686493011176,11
nw2,3,1282.2,252,-31.84891811441716,1.9627387498061706,919.9424800011823,0.3217678187709519,-26.334067226847782,-0.5702586451671614,0.04437793199407736,12
ceh9,3,784.8,228,-31.813663492038206,2.0818915372602667,875.8941532768787,-0.10319649354569227,-26.468656562884213,-0.5350040227882076,-0.0902114040423534,13
