cluster_id,window_years,window_end_year,cluster_label,n_wells,MINw_m_bg_mean,MINw_m_bg_median,MINw_m_bg_std
1,4,2010,C1 (Lake Edge),3,-0.7441666666666666,-0.7462500000000001,0.09314247598884906
1,4,2011,C1 (Lake Edge),3,-0.735,-0.7475,0.10928746497197193
1,4,2012,C1 (Lake Edge),3,-0.8341666666666666,-0.8800000000000001,0.11576736730760243
1,4,2013,C1 (Lake Edge),3,-0.8358333333333334,-0.8875,0.1398511113053212
1,4,2014,C1 (Lake Edge),7,-0.8171428571428573,-0.8125,0.08188442784687158
1,4,2015,C1 (Lake Edge),7,-0.8610714285714286,-0.8475,0.08435857423889431
1,4,2016,C1 (Lake Edge),7,-0.8428571428571429,-0.8225,0.09022458750515953
1,4,2017,C1 (Lake Edge),6,-0.8566666666666666,-0.8699999999999999,0.10264826674945211
1,4,2018,C1 (Lake Edge),6,-0.8820833333333334,-0.87625,0.10520713695689413
1,4,2019,C1 (Lake Edge),6,-0.9154166666666667,-0.9099999999999999,0.10620047865554409
1,4,2020,C1 (Lake Edge),6,-0.9087500000000001,-0.9025000000000001,0.1008433190647749
1,4,2021,C1 (Lake Edge),6,-0.9270833333333334,-0.9237500000000001,0.09419947805941746
1,4,2022,C1 (Lake Edge),7,-0.9185714285714285,-0.9025,0.08425973166912165
1,4,2023,C1 (Lake Edge),7,-0.9174999999999999,-0.895,0.09227449990833508
1,4,2024,C1 (Lake Edge),8,-0.8834375,-0.865,0.08929223190497272
1,4,2025,C1 (Lake Edge),8,-0.885,-0.875,0.08485281374238571
2,4,2010,C2 (Dune),5,-0.70425,-0.755,0.11238049207936401
2,4,2011,C2 (Dune),5,-0.7264999999999999,-0.7725,0.1075087205765188
2,4,2012,C2 (Dune),4,-0.8043750000000001,-0.8175,0.08488656646764949
2,4,2013,C2 (Dune),4,-0.8999999999999999,-0.89375,0.08937281465859732
2,4,2014,C2 (Dune),17,-1.0438235294117648,-0.9,0.3624904283726189
2,4,2015,C2 (Dune),19,-1.0646052631578946,-0.95,0.34483617603739547
2,4,2016,C2 (Dune),26,-1.0269230769230768,-0.9624999999999999,0.29855427286534325
2,4,2017,C2 (Dune),26,-0.9942307692307693,-0.93375,0.3058584388493877
2,4,2018,C2 (Dune),24,-1.0392708333333334,-0.95125,0.32101865647960554
2,4,2019,C2 (Dune),23,-1.0802173913043478,-0.9775,0.3301686148458829
2,4,2020,C2 (Dune),21,-1.0363095238095237,-0.9325000000000001,0.29021933413327566
2,4,2021,C2 (Dune),21,-1.0467857142857144,-0.9775,0.28618956005716617
2,4,2022,C2 (Dune),21,-1.0034523809523808,-0.9299999999999999,0.28786550265540256
2,4,2023,C2 (Dune),21,-1.0252380952380953,-0.99,0.28721279650494413
2,4,2024,C2 (Dune),23,-1.0198913043478262,-0.945,0.3236637549751052
2,4,2025,C2 (Dune),22,-1.00375,-0.9224999999999999,0.3326854566933128
3,4,2010,C3 (Western Residual),8,-0.9809375,-0.84,0.404430678988554
3,4,2011,C3 (Western Residual),9,-1.0730555555555554,-0.9299999999999999,0.36764830718742303
3,4,2012,C3 (Western Residual),8,-1.2165625,-1.1099999999999999,0.3482095466710485
3,4,2013,C3 (Western Residual),9,-1.3436111111111113,-1.27,0.34607647075626374
3,4,2014,C3 (Western Residual),11,-1.3061363636363637,-1.26,0.31447448949867873
3,4,2015,C3 (Western Residual),13,-1.2630769230769232,-1.235,0.30663692198278547
3,4,2016,C3 (Western Residual),13,-1.2586538461538461,-1.2425,0.2983175310956001
3,4,2017,C3 (Western Residual),15,-1.2541666666666667,-1.2075,0.2880501981715456
3,4,2018,C3 (Western Residual),16,-1.28171875,-1.23125,0.2981103245863852
3,4,2019,C3 (Western Residual),19,-1.291842105263158,-1.27,0.32695867274658813
3,4,2020,C3 (Western Residual),18,-1.2818055555555556,-1.27,0.32708697075534593
3,4,2021,C3 (Western Residual),18,-1.3130555555555556,-1.30375,0.33622969603640307
3,4,2022,C3 (Western Residual),18,-1.2419444444444445,-1.1887499999999998,0.33456793422917724
3,4,2023,C3 (Western Residual),19,-1.2469736842105263,-1.185,0.32275568992678805
3,4,2024,C3 (Western Residual),20,-1.205,-1.1124999999999998,0.319227068170341
3,4,2025,C3 (Western Residual),20,-1.1560000000000001,-1.08,0.31130920489544084
4,4,2010,C4 (Main Forest),3,-1.3241666666666667,-1.35,0.08186625271339426
4,4,2011,C4 (Main Forest),5,-1.4754999999999998,-1.505,0.06539304244336701
4,4,2012,C4 (Main Forest),2,-1.521875,-1.521875,0.1953382483027836
