piezo,Cluster,EbF,MSL5,EWI_annual,EWI_spring,resid_MSL5,resid_EWI_annual
CEH1,3.0,6.160884743818463,-0.4360555555555545,-0.6816752990517556,-1.0096638722319415,0.09904500074804368,0.015099463029508264
CEH23,1.0,6.611507736147696,-0.18385555555555566,-0.569892396089204,-1.2065278869221223,0.051647357429077445,0.2323886988952335
CEH24,2.0,7.162918039869608,0.035861111111111815,-0.4411955992416092,-0.9468714442547741,0.16918203071547033,0.5151594677919462
CEH26,1.0,6.309313583054415,-0.17618333333333355,-0.5130047711893524,-1.152190602125803,0.26569717230157686,0.1885517281127287
CEH4,3.0,5.439109138442487,-0.5346296296296293,-0.8482846335364771,-1.3292081511063878,0.428075874141002,0.35889861244792076
CEH5,1.0,6.909907633340907,-0.15741481481481545,-0.5304030353841269,-1.0935138168749563,0.2978345880453146,0.448359166994579
CEH9,3.0,5.8808883002159416,-0.37364074074074105,-0.7248005350541953,-0.7561710631000462,0.3042022983181507,0.17487808637596736
NW2,3.0,4.859171867364453,-0.7419407407407413,-0.8490405043265312,-1.2547003020433087,0.598634829071174,0.9372580915186797
NW3,2.0,6.098985450272121,-0.3471296296296301,-0.6847328889962769,-1.0340966816590176,0.1384567755708357,0.04041746855832251
NW4,2.0,6.6509459361596175,-0.23357777777777797,-0.49924365554489913,-1.0227839370127696,0.18927228510536143,0.12435590304170496
NW5,3.0,6.135254582816466,-0.4577188148148146,-0.7239492306552191,-0.9667592884912519,0.1161933890977851,0.07771119770293566
NW6,3.0,5.671561320834369,-0.40159555555555543,-0.6668549562191504,-1.0634802181875997,0.45832676127029526,0.505159694969155
NW7,3.0,5.2141824779278325,-1.156022222222222,-1.435945357228912,-1.4544719230809817,0.5740646102691933,0.642847863547007
T41A,3.0,6.689790872508184,-0.23877777777777873,-0.49179440677429076,-1.023483307721866,0.23838568816832595,0.14765140246913955
T41B,2.0,6.717481826094756,-0.3090499999999998,-0.41252997720411155,-0.9396016337487887,0.40484355999249555,0.009887115447556383
T41C,2.0,6.755207149332688,-0.2217222222222223,-0.4497368013185912,-0.9634528357733259,0.2701222718163363,0.1252773391901476
T41D,2.0,5.858044902538318,-0.29505555555555557,-0.6785121618937549,-1.1332515717755607,0.4822282649032186,0.29434305769198943
WMC2,3.0,6.35763558951867,-0.4204761904761905,-0.657203900336953,-0.9478303969829001,0.2650311941888521,0.16076912156503642
