well,network,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,se_beta_1,se_beta_2,se_beta_3,n_obs,h_disp_eq_m,EWI_m_bg,EWI_se_m_beta3,EWI_se_m_full,cluster_id,cluster_label,E,N
nw1,reference,4.413726517677388,2.004229639091758,0.101262263013017,0.300912424403083,0.37880618029022217,0.015042522427324425,100,2.0629390245553676,-1.6370609754446326,0.3064498621671909,0.4224694306101901,3,C3 (Western Residual),241725.0,364139.0
nw2,reference,4.566247634954213,1.8812523716956695,0.0789008110705284,0.2938920575082406,0.37248063245067353,0.011228375027128772,100,2.8685153932793446,-0.8314846067206556,0.40821844756502274,0.54805221650796,3,C3 (Western Residual),241703.008,364112.082
nw3,reference,3.96919634731818,1.7420040198108009,0.061512402335025,0.3219207692798052,0.39751989376908203,0.010918799319544528,100,3.10612904214564,-0.5938709578543602,0.5513554727887141,0.7494420943577387,2,C2 (Dune),242091.94,363939.361
nw4,reference,3.362867613813588,1.2096329747684214,0.0540363853472045,0.28323046947303276,0.3519725331753672,0.009749451534500296,100,3.2574841157176797,-0.44251588428232047,0.5877277561504596,0.7780739737801927,2,C2 (Dune),242431.164,363744.512
nw4b,reference,3.5707927246284656,1.2005262762602502,0.0592776443018872,0.3027333101914369,0.37481999913452885,0.010455317374527222,100,3.22824544879824,-0.47175455120176,0.5693939279733509,0.7551039705628839,2,C2 (Dune),242414.677,363751.66
nw5,reference,3.5446061149169585,1.9903372992440849,0.0497640571773001,0.2593618262394352,0.3319514546427052,0.009895471770950603,100,2.964723969245211,-0.7352760307547892,0.5895287484660485,0.782159676415672,3,C3 (Western Residual),241711.757,363023.697
nw6,reference,3.182901758080221,1.2894221856064163,0.0517276502044431,0.26268025346026175,0.3342422183229103,0.00925602543115804,100,3.07235244875375,-0.62764755124625,0.5497596022001934,0.7427652218579879,3,C3 (Western Residual),241444.307,363316.599
nw7,reference,2.756233782099082,1.9552459225680991,0.0408587302058284,0.22635513228019366,0.29916273692993234,0.010811675139907925,100,2.277875685972249,-1.422124314027751,0.6027512798798089,0.8193090393943468,3,C3 (Western Residual),241423.695,363584.862
nw9,reference,2.7333065752964423,1.1288261813903964,0.0489015945919915,0.18530088916025306,0.23619911779157587,0.007666322568078317,100,2.7674487841848734,-0.9325512158151268,0.43385405419216977,0.5721568065161466,5,C5 (Coastal Forest),240937.259,363567.162
nw10,reference,3.4940737421782417,2.614290453405795,0.0413312720472437,0.22341813450711603,0.2924260567648518,0.009658001098404192,100,2.6803315273794635,-1.0196684726205367,0.6263210289276488,0.8262589354104933,4,C4 (Main Forest),241435.0,364325.025
nw11,reference,4.509007438081,2.100756254658529,0.0747193454751797,0.2456955068283054,0.3141324784536988,0.009554840298767565,100,2.8182557051788195,-0.8817442948211807,0.36038837081380937,0.48472125945118294,3,C3 (Western Residual),241689.0,364237.0
nw13,reference,4.810670425699023,1.7392493660910326,0.0867668830752223,0.2536505540164662,0.3172011951248623,0.009480438294721071,100,2.8966764744474656,-0.8033235255525346,0.3165005080562993,0.4260444805611862,3,C3 (Western Residual),241761.0,364180.0
ceh1,reference,4.424689829386097,2.2765657537244035,0.0653459645254704,0.24444516876594358,0.3166165036134654,0.00911913098951549,100,2.9874012649369153,-0.7125987350630849,0.4168964931657789,0.5581099124588933,3,C3 (Western Residual),241595.864,363948.335
