well,network,cluster,open_dune_scope,in_van_willegen,EWI_m_bg,MSL5_obs_m_bg,MSL5_pred_m_bg,residual_mm,obs_window_end,E,N
FE3,extended,C5 (Coastal Forest),False,False,-2.0166995334158755,-1.7260000000000002,-1.6811379888962121,44.86201110378807,2025.0,241104.1,363546.1
NW8,extended,C5 (Coastal Forest),False,False,-1.4825985082681927,-1.4006666666666667,-1.168768090564969,231.8985761016976,2015.0,241276.11,363480.129
FE2,extended,C5 (Coastal Forest),False,False,-1.6957302391273172,-1.3406666666666667,-1.3732280674789925,-32.561400812325836,2025.0,241135.0,363595.0
FE4,extended,C5 (Coastal Forest),False,False,-1.5940305516013522,-1.2526666666666668,-1.27566626530198,-22.99959863531309,2025.0,241223.2,363692.4
NW8B,extended,C3 (Western Residual),True,False,-1.5743098417970027,-1.2053333333333334,-1.2567479378663031,-51.414604532969754,2025.0,241272.0,363487.0
CEH3,extended,C5 (Coastal Forest),False,False,-1.1659688542071858,-1.0806666666666669,-0.865021241146291,215.6454255203759,2025.0,240743.0,363388.0
CEH15,extended,C4 (Main Forest),False,False,-1.3493794138536246,-0.8103333333333333,-1.0409693209556075,-230.63598762227411,2017.0,240679.892,363754.368
CEH35,extended,C2 (Dune),True,False,-0.7943499544903263,-0.6523606557377049,-0.5085225098187354,143.83814591896947,2015.0,241081.0,363212.0
PE,extended,C2 (Dune),True,False,-0.8620642404304535,-0.6086666666666667,-0.5734816845237873,35.18498214287935,2025.0,242739.0,362823.0
CEH38,extended,C3 (Western Residual),True,False,-0.7741577181170904,-0.5993333333333334,-0.48915184095552816,110.18149237780523,2015.0,241130.0,363261.0
CEH22,extended,C2 (Dune),True,True,-0.6952898109794226,-0.5566120218579235,-0.4134928557465945,143.11916611132898,2025.0,241375.022,362906.94
PW,extended,C3 (Western Residual),True,False,-0.7505199328375123,-0.4951475409836066,-0.4664758132562285,28.671727727378084,2025.0,242056.0,363286.0
FE1,extended,C4 (Main Forest),False,False,-0.837788790948784,-0.4326666666666667,-0.5501939374549083,-117.5272707882416,2025.0,241338.0,363744.0
LIS1,extended,C4 (Main Forest),False,False,-0.9047981700707743,-0.4133333333333333,-0.6144768860945977,-201.14355276126443,2025.0,241406.0,363720.0
CEH8,extended,C2 (Dune),True,True,-0.770729723236597,-0.3626666666666667,-0.48586332191942866,-123.19665525276197,2019.0,243149.932,363382.305
P2,extended,C1 (Lake Edge),True,False,-0.4833750350044288,-0.326,-0.21020031911240084,115.79968088759918,2025.0,242303.0,364558.0
CEH7,extended,C2 (Dune),True,False,-0.6787518331630604,-0.266,-0.39762776353855994,-131.62776353855992,2017.0,243385.803,363612.9
CEH37,extended,C2 (Dune),True,False,-0.5354241173111851,-0.119344262295082,-0.2601316649703745,-140.7874026752925,2024.0,242886.0,363346.0
CEH12,extended,C2 (Dune),True,False,-1.1998888571091393,,-0.8975611308300147,,,240339.0,364588.0
P1,extended,C3 (Western Residual),True,False,-0.30068621021244235,,-0.03494460871745797,,,241243.0,363283.0
CEH17,reference,C5 (Coastal Forest),False,False,-2.1840993130164863,-1.9613333333333334,-1.8417267240159796,119.60660931735379,2025.0,240804.597413,363576.069469
CEH30,reference,C4 (Main Forest),False,False,-1.638336071075182,-1.424,-1.3181691129646333,105.83088703536659,2025.0,241072.0,363760.0
CEH33,reference,C4 (Main Forest),False,False,-1.6023528323597596,-1.409333333333333,-1.2836499349549078,125.68339837842535,2025.0,240936.0,363808.0
CEH31,reference,C5 (Coastal Forest),False,False,-1.5761921967056334,-1.3813333333333333,-1.2585537048424884,122.7796284908449,2025.0,241075.0,363538.0
CEH32,reference,C4 (Main Forest),False,False,-1.4497378495167155,-1.336,-1.1372444431820856,198.75555681791445,2025.0,241167.0,364003.0
NW1,reference,C3 (Western Residual),True,False,-1.6220768224762385,-1.3066666666666666,-1.3025714092356815,4.095257430985155,2025.0,241725.0,364139.0
L7,reference,C2 (Dune),True,False,-1.612723045260445,-1.3,-1.2935982119276555,6.401788072344594,2025.0,242812.0,364395.0
CEH10,reference,C2 (Dune),True,False,-1.3065862306853817,-1.0701092896174864,-0.9999172767227393,70.19201289474708,2025.0,242538.185,363173.915
NW7,reference,C3 (Western Residual),True,True,-1.3779317231155095,-1.03,-1.0683599139423725,-38.35991394237248,2025.0,241423.695,363584.862
WMC3,reference,C3 (Western Residual),True,False,-1.289146459235711,-0.976,-0.9831870824264126,-7.187082426412639,2025.0,241217.327,363562.323
CEH20,reference,C4 (Main Forest),False,False,-1.2692117913219567,-0.9273333333333333,-0.9640635022583852,-36.73016892505188,2025.0,241153.0,363829.0
CEH21,reference,C3 (Western Residual),True,False,-1.1463191311024379,-0.9226666666666666,-0.8461710121533155,76.49565451335117,2025.0,241470.51,362937.659
CEH2,reference,C4 (Main Forest),False,False,-1.1526704639506145,-0.8459999999999999,-0.8522639264381893,-6.263926438189404,2025.0,241421.0,363979.0
CEH19,reference,C5 (Coastal Forest),False,False,-1.0114354667807617,-0.8306666666666667,-0.7167753994863424,113.89126718032428,2025.0,240845.741,363532.891
CEH16,reference,C5 (Coastal Forest),False,False,-0.9360634926623597,-0.7146666666666668,-0.6444701072330792,70.1965594335876,2025.0,240988.214,363614.897
CEH18,reference,C3 (Western Residual),True,False,-0.981551014692315,-0.6953333333333332,-0.6881068649632933,7.226468370039929,2025.0,241267.167,363202.889
NW10,reference,C4 (Main Forest),False,False,-0.9915548347514682,-0.6813333333333332,-0.6977036566287185,-16.370323295385237,2025.0,241435.0,364325.025
NW9,reference,C5 (Coastal Forest),False,False,-0.8984976437949506,-0.6763333333333332,-0.6084327111999988,67.90062213333448,2025.0,240937.259,363567.162
CEH4,reference,C3 (Western Residual),True,True,-0.8400342630358835,-0.6053333333333334,-0.5523480473532272,52.98528598010621,2025.0,241131.693,363211.05
NW11,reference,C3 (Western Residual),True,False,-0.8508128270879274,-0.5213333333333334,-0.562688060772927,-41.35472743959356,2025.0,241689.0,364237.0
WMC4,reference,C3 (Western Residual),True,False,-0.8213102684261142,-0.518,-0.5343858814653981,-16.3858814653981,2025.0,241760.293,364180.707
NW2,reference,C3 (Western Residual),True,True,-0.8400323744509497,-0.48600000000000004,-0.5523462356097086,-66.34623560970859,2025.0,241703.008,364112.082
CEH36,reference,C3 (Western Residual),True,False,-0.71109195738843,-0.48533333333333334,-0.42865205553798197,56.68127779535137,2025.0,241161.0,363306.0
CEH34,reference,C4 (Main Forest),False,False,-0.38195639589727426,-0.484,-0.11290813025382779,371.0918697461722,2025.0,241334.0,363887.0
NW13,reference,C3 (Western Residual),True,False,-0.7897320182071672,-0.48133333333333334,-0.504092464878739,-22.759131545405708,2025.0,241761.0,364180.0
CEH9,reference,C3 (Western Residual),True,True,-0.7042230032158696,-0.45066666666666666,-0.4220625805410681,28.60408612559856,2025.0,241711.211,363459.012
D44,reference,C2 (Dune),True,False,-0.7487409099690328,-0.44000000000000006,-0.46476917401882994,-24.769174018829887,2025.0,242819.407,363279.547
D38,reference,C2 (Dune),True,False,-0.7142947341363759,-0.4333333333333334,-0.4317245199584892,1.608813374844198,2025.0,242711.571,363069.196
NW5,reference,C3 (Western Residual),True,True,-0.7197296975539813,-0.4073333333333333,-0.43693834940759485,-29.605016074261524,2025.0,241711.757,363023.697
CEH11,reference,C1 (Lake Edge),True,False,-0.6299770611392863,-0.4,-0.35083750512997397,49.16249487002605,2025.0,242618.62,362688.287
CEH40,reference,C3 (Western Residual),True,False,-0.6440692597892426,-0.382,-0.3643563303139273,17.643669686072727,2025.0,242060.283,363398.508
T41D,reference,C2 (Dune),True,False,-0.6702373857494033,-0.37466666666666665,-0.38945974597207805,-14.793079305411405,2025.0,242731.987,363353.284
D43,reference,C2 (Dune),True,False,-0.6581972098530056,-0.3626666666666667,-0.37790945228331047,-15.242785616643772,2025.0,242664.714,363428.693
WMC2,reference,C3 (Western Residual),True,True,-0.6447414746404876,-0.3466666666666667,-0.36500119456015095,-18.334527893484275,2025.0,241885.149,362855.856
CEH25,reference,C1 (Lake Edge),True,False,-0.5035820433393194,-0.32633333333333336,-0.22958515890607784,96.74817442725553,2025.0,242512.557,364638.544
WMC1,reference,C2 (Dune),True,False,-0.619017895612088,-0.3093333333333333,-0.3403242384209029,-30.99090508756963,2025.0,242765.629,363643.556
NW6,reference,C3 (Western Residual),True,True,-0.5877305996079127,-0.30133333333333334,-0.3103099379085866,-8.976604575253234,2025.0,241444.307,363316.599
NW3,reference,C2 (Dune),True,True,-0.5956271039850445,-0.29800000000000004,-0.3178851548701426,-19.885154870142586,2025.0,242091.94,363939.361
D5,reference,C2 (Dune),True,False,-0.6078335371393737,-0.27866666666666673,-0.32959494125847894,-50.928274591812205,2025.0,242083.407,363901.712
CEH23,reference,C1 (Lake Edge),True,True,-0.523093519813786,-0.2783497267759563,-0.24830276615042007,30.046960625536244,2025.0,242325.311,364428.124
CEH1,reference,C3 (Western Residual),True,True,-0.6658797029090673,-0.2766666666666667,-0.3852793654658894,-108.6126987992227,2025.0,241595.864,363948.335
CEH26,reference,C1 (Lake Edge),True,True,-0.5081449150001802,-0.26833333333333337,-0.2339623796543947,34.37095367893866,2025.0,242172.261,364362.239
D6,reference,C2 (Dune),True,False,-0.5889102751161301,-0.2653333333333333,-0.31144161560952727,-46.108282276193954,2025.0,242114.898,364021.851
CEH5,reference,C1 (Lake Edge),True,True,-0.5212616600775304,-0.2633333333333333,-0.2465454398345553,16.78789349877802,2025.0,242521.077,364465.817
D7,reference,C2 (Dune),True,False,-0.438172969799274,-0.2613333333333333,-0.1668374037404945,94.4959295928388,2025.0,242610.75,364204.554
D25,reference,C3 (Western Residual),True,False,-0.6292868888085352,-0.26043715846994536,-0.3501754140455388,-89.73825557559346,2024.0,242215.187,363143.807
D9,reference,C2 (Dune),True,False,-0.5530157292519511,-0.25666666666666665,-0.2770075217787014,-20.34085511203476,2025.0,242710.726,363910.68
CEH28,reference,C2 (Dune),True,False,-0.581783278989362,-0.2556830601092896,-0.30460459768792786,-48.921537578638265,2025.0,242331.051,364122.039
CEH39,reference,C3 (Western Residual),True,False,-0.5022114769201496,-0.2527103825136612,-0.22827035712929394,24.440025384367235,2025.0,241719.0,363435.0
CEH6,reference,C1 (Lake Edge),True,False,-0.3979786570286348,-0.23800000000000004,-0.12827848889457721,109.72151110542283,2025.0,242621.679,364724.912
CEH41,reference,C3 (Western Residual),True,False,-0.5274968275997316,-0.23133333333333334,-0.25252691524652465,-21.193581913191316,2025.0,242284.022,363324.592
CEH27,reference,C1 (Lake Edge),True,False,-0.45272283755483755,-0.21200000000000002,-0.18079527671141754,31.204723288582482,2025.0,242005.373,364330.297
NW4B,reference,C2 (Dune),True,False,-0.48660695787890296,-0.21066666666666664,-0.21330074378234198,-2.6340771156753426,2025.0,242414.677,363751.66
D41,reference,C2 (Dune),True,False,-0.49321214347043396,-0.2066666666666667,-0.2196371822287126,-12.970515562045899,2025.0,242771.66,363342.853
