network_scope,cluster_id,cluster_label,n_wells,n_wells_with_springs,t_R_months_median,rho_ar1_expected_mean,rho_lag1_mean,spring_sd_mm_median,msl5_window_se_mm_median,ewi_se_mm_beta3_median,ewi_se_mm_full_median,ewi_over_msl5_ratio_beta3,ewi_over_msl5_ratio_full
all,1,C1 (Lake Edge),8,7,10.235996662495838,0.300895534697022,-0.08550593498953309,174.81418706729727,78.17928114276826,323.7041672074086,435.2344026208258,4.140536501176973,5.567132317653522
all,2,C2 (Dune),31,27,14.939107129384315,0.44279945052278286,-0.0854192054080081,251.4513014288059,112.45244060511999,460.1830457845349,612.6080227335494,4.092245960232033,5.447707665898869
all,3,C3 (Western Residual),25,18,19.760170433621923,0.5284378917863147,-0.13883871334530634,315.0795380928962,140.90785309899007,530.5738903693557,707.5827559689936,3.76539616991126,5.021599154391382
all,4,C4 (Main Forest),10,7,47.98533789762406,0.7694331330480001,-0.06259100158216606,403.78843227514045,180.5796766190568,1215.4683269281845,1605.1988931766946,6.730925371476242,8.889144798741409
all,5,C5 (Coastal Forest),10,6,20.744409579086547,0.5638676600924405,0.13237619197379105,273.26720062098934,122.20880732192097,407.020382528784,541.512389483222,3.33053231962747,4.431042257509122
reference,1,C1 (Lake Edge),7,7,10.289447503669285,0.3003531659976441,-0.08550593498953309,174.81418706729727,78.17928114276826,319.65696872293125,431.4650683079555,4.088768329030615,5.518918337456047
reference,2,C2 (Dune),24,24,14.833081078036251,0.43071520964341853,-0.08613847637655438,251.4996525472024,112.47406388262453,464.65200081185435,618.718011095853,4.131192425808985,5.5009838689703034
reference,3,C3 (Western Residual),21,18,19.760170433621923,0.5269427781600763,-0.13883871334530634,315.0795380928962,140.90785309899007,530.5738903693557,707.5827559689936,3.76539616991126,5.021599154391382
reference,4,C4 (Main Forest),7,7,52.549911237873076,0.7808999051691616,-0.06259100158216606,403.78843227514045,180.5796766190568,1264.7875989758768,1641.6390204980178,7.004041776218366,9.090940083812141
reference,5,C5 (Coastal Forest),5,5,23.790205425436266,0.5911658355699216,0.05179457539569312,277.3573288596966,124.03796827760917,433.85405419216977,572.1568065161466,3.497752020745468,4.612755388217932
