well,network,cluster_id,cluster_label,n_springs,n_msl5_windows,n_obs_ssm,spring_sd_mm,rho_lag1,rho_ar1_expected,t_R_months,beta_2,beta_3,se_beta_3,rel_se_beta_3,msl5_window_se_mm,msl5_window_spread_mm,ewi_se_mm_beta3,ewi_se_mm_full,ewi_over_msl5_se_beta3
nw1,reference,3,C3 (Western Residual),20,16,100,319.8190277740144,0.057158610697721005,0.30049204659637213,9.980587818319266,1.967871979199984,0.1001944993825424,0.013564068181641005,0.13537737366053818,143.02741732011788,353.33333333333326,280.7723543441045,386.7860439398226,1.9630666595600461
nw2,reference,3,C3 (Western Residual),20,16,100,324.2414271093858,0.06922975286920388,0.3754804302259556,12.25053663479319,1.7524960333027102,0.0816290771426179,0.010022940305550664,0.12278639740149366,145.00517442762597,366.7555555555556,350.0590456113245,472.2023427410008,2.4141141651882476
nw3,reference,2,C2 (Dune),19,11,100,174.42655946856217,-0.36390670576212886,0.44532078889248483,14.833853743687444,2.0646643031624885,0.0674133652170833,0.009304590576993775,0.13802293576401803,78.00592881062292,179.15555555555557,416.17601877342315,585.7886027252155,5.335184454809644
nw4,reference,2,C2 (Dune),20,16,100,175.30031270509167,0.012316132300067643,0.4887767833013814,16.76330316092406,1.0339501913264335,0.0596541141325321,0.009715926105348492,0.16287101479309296,78.396683137111,201.7666666666667,521.310433926833,692.0368981518575,6.649649105882362
nw4b,reference,2,C2 (Dune),20,16,100,188.5925363563753,0.025652270257915246,0.48061417505619225,16.37799402156373,1.1054625946194363,0.0610575384679816,0.010074513721317836,0.16500032549790525,84.34114626839113,216.6222222222222,529.8508325896396,705.398462077767,6.282234188560157
nw5,reference,3,C3 (Western Residual),20,16,100,368.8693908860562,-0.07804053093486836,0.5499694251791396,20.07049450489484,2.0113866532980818,0.0498243827403514,0.009081884809648392,0.18227791916613595,164.96340656803258,376.0310734463275,542.4683415689448,722.2068437087388,3.2884162182067045
nw6,reference,3,C3 (Western Residual),19,11,100,278.1324379896262,-0.14689733627981624,0.49542416530436584,17.08571801711121,1.5402410359891785,0.0585284153114612,0.008121025650672,0.13875355427710884,124.38460761850983,300.40555555555557,420.8596554625898,585.0772770056287,3.383534856285233
nw7,reference,3,C3 (Western Residual),19,11,100,336.85317532776065,-0.012681041298145979,0.5744192272524604,21.645186085209744,2.1821433335575358,0.0461996490149514,0.008945715170378312,0.19363166952812236,150.64531969390555,441.8888888888889,438.39268038266243,609.7255210793145,2.9100982444952646
nw9,reference,5,C5 (Coastal Forest),20,16,100,336.67862265985997,0.3117505969897001,0.5437952856814433,19.698533122637535,1.0414410661268527,0.0507652013362762,0.007565517087927444,0.14902958894641904,150.5672573676896,533.7666666666668,415.28629462855884,547.0056468876912,2.758144777881008
nw10,reference,4,C4 (Main Forest),17,9,100,401.71873391275966,-0.09924639014502798,0.6190062288542977,25.018767016077017,2.716260778504925,0.0399699952982256,0.009325209663385813,0.23330524794431962,179.6540793728161,439.99999999999983,611.25576728893,816.605334588279,3.402404050177224
