well,window_end_year,n_years_in_window,MSL5_m_bg,MAX5_m_bg,n_interp_in_window,cluster_id,cluster_label,network,msl5_excluded,msl5_excluded_reason
ceh35,2015,5,-0.6523606557377049,-0.33199999999999996,0,2,C2 (Dune),Extended,False,
nw8,2015,5,-1.4006666666666667,-1.18,0,5,C5 (Coastal Forest),Extended,False,
ceh38,2015,5,-0.5993333333333334,-0.31,0,3,C3 (Western Residual),Extended,False,
ceh7,2017,5,-0.266,-0.0040000000000000036,0,2,C2 (Dune),Extended,False,
ceh15,2017,5,-0.8103333333333333,-0.487,0,4,C4 (Main Forest),Extended,False,
ceh8,2019,5,-0.3626666666666667,-0.21400000000000002,0,2,C2 (Dune),Extended,False,
d25,2024,5,-0.26043715846994536,0.04,1,3,C3 (Western Residual),Reference,False,
ceh37,2024,5,-0.119344262295082,0.21000000000000002,1,2,C2 (Dune),Extended,False,
fe1,2025,5,-0.4326666666666667,-0.244,0,4,C4 (Main Forest),Extended,False,
ceh28,2025,5,-0.2556830601092896,0.10400000000000001,1,2,C2 (Dune),Reference,False,
fe4,2025,5,-1.2526666666666668,-1.022,0,5,C5 (Coastal Forest),Extended,False,
l7,2025,5,-1.3,-0.9400000000000001,0,2,C2 (Dune),Reference,False,
nw13,2025,5,-0.48133333333333334,-0.07600000000000001,0,3,C3 (Western Residual),Reference,False,
nw4,2025,5,-0.188,0.036,0,2,C2 (Dune),Reference,False,
wmc3,2025,5,-0.976,-0.7420000000000001,0,3,C3 (Western Residual),Reference,False,
ceh20,2025,5,-0.9273333333333333,-0.732,0,4,C4 (Main Forest),Reference,False,
nw6,2025,5,-0.30133333333333334,-0.006,0,3,C3 (Western Residual),Reference,False,
nw7,2025,5,-1.03,-0.78,0,3,C3 (Western Residual),Reference,False,
llynrhos,2025,5,0.4183666666666667,0.528,1,,,Reference,False,
ceh27,2025,5,-0.21200000000000002,0.23000000000000004,0,1,C1 (Lake Edge),Reference,False,
ceh24,2025,5,-0.11733333333333336,0.20400000000000001,0,2,C2 (Dune),Reference,False,
ceh19,2025,5,-0.8306666666666667,-0.674,0,5,C5 (Coastal Forest),Reference,False,
ceh2,2025,5,-0.8459999999999999,-0.5660000000000001,0,4,C4 (Main Forest),Reference,False,
nw10,2025,5,-0.6813333333333332,-0.392,0,4,C4 (Main Forest),Reference,False,
ceh25,2025,5,-0.32633333333333336,0.301,0,1,C1 (Lake Edge),Reference,False,
nw1,2025,5,-1.3066666666666666,-0.916,0,3,C3 (Western Residual),Reference,False,
ceh26,2025,5,-0.26833333333333337,0.019,0,1,C1 (Lake Edge),Reference,False,
lis1,2025,5,-0.4133333333333333,-0.17,0,4,C4 (Main Forest),Extended,False,
nw9,2025,5,-0.6763333333333332,-0.45500000000000007,0,5,C5 (Coastal Forest),Reference,False,
t41b,2025,5,-0.15933333333333333,0.136,0,2,C2 (Dune),Reference,False,
ceh30,2025,5,-1.424,-1.2120000000000002,0,4,C4 (Main Forest),Reference,False,
d43,2025,5,-0.3626666666666667,0.042,0,2,C2 (Dune),Reference,False,
ceh3,2025,5,-1.0806666666666669,-0.8779999999999999,0,5,C5 (Coastal Forest),Extended,False,
nw8b,2025,5,-1.2053333333333334,-0.976,0,3,C3 (Western Residual),Extended,False,
d44,2025,5,-0.44000000000000006,-0.07,0,2,C2 (Dune),Reference,False,
d5,2025,5,-0.27866666666666673,0.022,0,2,C2 (Dune),Reference,False,
ceh17,2025,5,-1.9613333333333334,-1.7880000000000003,0,5,C5 (Coastal Forest),Reference,False,
fe3,2025,5,-1.7260000000000002,-1.522,0,5,C5 (Coastal Forest),Extended,False,
ceh18,2025,5,-0.6953333333333332,-0.42000000000000004,0,3,C3 (Western Residual),Reference,False,
fe2,2025,5,-1.3406666666666667,-1.1400000000000001,0,5,C5 (Coastal Forest),Extended,False,
d9,2025,5,-0.25666666666666665,0.052000000000000005,0,2,C2 (Dune),Reference,False,
d8,2025,5,-0.15933333333333333,0.07999999999999999,0,2,C2 (Dune),Reference,False,
d7,2025,5,-0.2613333333333333,0.17600000000000002,0,2,C2 (Dune),Reference,False,
d6,2025,5,-0.2653333333333333,0.064,0,2,C2 (Dune),Reference,False,
t41c,2025,5,-0.17666666666666667,0.09000000000000001,0,2,C2 (Dune),Reference,False,
d38,2025,5,-0.4333333333333334,0.054000000000000006,0,2,C2 (Dune),Reference,False,
ceh31,2025,5,-1.3813333333333333,-1.1800000000000002,0,5,C5 (Coastal Forest),Reference,False,
