well,window_end_year,n_years_in_window,MSL5_m_bg,MAX5_m_bg,n_interp_in_window,cluster_id,cluster_label,network,msl5_excluded,msl5_excluded_reason
ceh1,2011,5,-0.29333333333333333,0.017999999999999995,0,3,C3 (Western Residual),Reference,False,
ceh1,2012,5,-0.58,-0.308,0,3,C3 (Western Residual),Reference,False,
ceh1,2013,5,-0.5746666666666667,-0.32999999999999996,0,3,C3 (Western Residual),Reference,False,
ceh1,2014,5,-0.5173333333333333,-0.31999999999999995,0,3,C3 (Western Residual),Reference,False,
ceh1,2015,5,-0.5626666666666666,-0.374,0,3,C3 (Western Residual),Reference,False,
ceh1,2016,5,-0.366,-0.188,0,3,C3 (Western Residual),Reference,False,
ceh1,2017,5,-0.23000000000000004,-0.019999999999999997,0,3,C3 (Western Residual),Reference,False,
ceh1,2018,5,-0.31466666666666665,-0.146,0,3,C3 (Western Residual),Reference,False,
ceh1,2019,5,-0.5173333333333334,-0.368,0,3,C3 (Western Residual),Reference,False,
ceh1,2020,5,-0.5033333333333333,-0.356,0,3,C3 (Western Residual),Reference,False,
ceh1,2021,5,-0.47333333333333333,-0.324,0,3,C3 (Western Residual),Reference,False,
ceh1,2022,5,-0.39533333333333326,-0.22000000000000003,0,3,C3 (Western Residual),Reference,False,
ceh1,2023,5,-0.41,-0.20399999999999996,0,3,C3 (Western Residual),Reference,False,
ceh1,2024,5,-0.1853333333333333,0.02400000000000001,0,3,C3 (Western Residual),Reference,False,
ceh1,2025,5,-0.16466666666666668,0.092,0,3,C3 (Western Residual),Reference,False,
ceh10,2011,5,-1.1433333333333333,-0.726,0,2,C2 (Dune),Reference,False,
ceh10,2012,5,-1.324,-0.992,0,2,C2 (Dune),Reference,False,
ceh10,2013,5,-1.2446666666666668,-0.842,0,2,C2 (Dune),Reference,False,
ceh10,2014,5,-1.1293333333333335,-0.826,0,2,C2 (Dune),Reference,False,
ceh10,2015,5,-1.1626666666666667,-0.8480000000000001,0,2,C2 (Dune),Reference,False,
ceh10,2016,5,-0.9640000000000001,-0.612,0,2,C2 (Dune),Reference,False,
ceh10,2017,5,-0.8986666666666665,-0.556,0,2,C2 (Dune),Reference,False,
ceh10,2018,5,-0.9953333333333333,-0.762,0,2,C2 (Dune),Reference,False,
ceh10,2019,5,-1.186,-0.9960000000000001,0,2,C2 (Dune),Reference,False,
ceh10,2020,5,-1.0859999999999999,-0.85,0,2,C2 (Dune),Reference,False,
ceh10,2021,5,-1.0779999999999998,-0.8559999999999999,0,2,C2 (Dune),Reference,False,
ceh10,2022,5,-1.0153333333333332,-0.754,0,2,C2 (Dune),Reference,False,
ceh10,2023,5,-1.0479999999999998,-0.766,0,2,C2 (Dune),Reference,False,
ceh10,2024,5,-0.8153333333333332,-0.526,0,2,C2 (Dune),Reference,False,
ceh10,2025,5,-0.8800000000000001,-0.622,0,2,C2 (Dune),Reference,False,
ceh11,2011,5,-0.34066666666666673,-0.126,0,1,C1 (Lake Edge),Reference,False,
ceh11,2012,5,-0.42764444444444444,-0.18000000000000002,1,1,C1 (Lake Edge),Reference,False,
ceh11,2013,5,-0.37364444444444445,-0.10600000000000001,1,1,C1 (Lake Edge),Reference,False,
ceh11,2014,5,-0.3196444444444445,-0.07799999999999999,1,1,C1 (Lake Edge),Reference,False,
ceh11,2015,5,-0.36564444444444444,-0.11400000000000002,1,1,C1 (Lake Edge),Reference,False,
ceh11,2016,5,-0.2409777777777778,-0.006,1,1,C1 (Lake Edge),Reference,False,
ceh11,2017,5,-0.18866666666666668,-0.0040000000000000036,0,1,C1 (Lake Edge),Reference,False,
ceh11,2018,5,-0.25666666666666665,-0.08,0,1,C1 (Lake Edge),Reference,False,
ceh11,2019,5,-0.35333333333333333,-0.162,0,1,C1 (Lake Edge),Reference,False,
ceh11,2020,5,-0.304,-0.12200000000000003,0,1,C1 (Lake Edge),Reference,False,
ceh11,2021,5,-0.28933333333333333,-0.11000000000000001,0,1,C1 (Lake Edge),Reference,False,
ceh11,2022,5,-0.2846666666666666,-0.064,0,1,C1 (Lake Edge),Reference,False,
ceh11,2023,5,-0.2886666666666667,-0.06599999999999999,0,1,C1 (Lake Edge),Reference,False,
ceh11,2024,5,-0.2,-0.007999999999999995,0,1,C1 (Lake Edge),Reference,False,
ceh11,2025,5,-0.2333333333333333,-0.019999999999999997,0,1,C1 (Lake Edge),Reference,False,
ceh13,2011,5,-0.9013333333333333,-0.736,0,4,C4 (Main Forest),Reference,True,near-zero SSM beta_3 - MSL5 unreliable over the 5yr window
ceh13,2017,5,-0.8360000000000001,-0.6100000000000001,0,4,C4 (Main Forest),Reference,True,near-zero SSM beta_3 - MSL5 unreliable over the 5yr window
ceh13,2018,5,-0.9326666666666668,-0.708,0,4,C4 (Main Forest),Reference,True,near-zero SSM beta_3 - MSL5 unreliable over the 5yr window
ceh13,2019,5,-1.1380000000000001,-0.89,0,4,C4 (Main Forest),Reference,True,near-zero SSM beta_3 - MSL5 unreliable over the 5yr window
ceh13,2020,5,-1.1526666666666667,-0.9460000000000001,0,4,C4 (Main Forest),Reference,True,near-zero SSM beta_3 - MSL5 unreliable over the 5yr window
ceh13,2021,5,-1.0666666666666669,-0.8480000000000001,0,4,C4 (Main Forest),Reference,True,near-zero SSM beta_3 - MSL5 unreliable over the 5yr window
ceh13,2022,5,-0.9273333333333333,-0.7840000000000001,0,4,C4 (Main Forest),Reference,True,near-zero SSM beta_3 - MSL5 unreliable over the 5yr window
ceh13,2023,5,-0.9586666666666666,-0.7700000000000001,0,4,C4 (Main Forest),Reference,True,near-zero SSM beta_3 - MSL5 unreliable over the 5yr window
ceh13,2024,5,-0.7293333333333333,-0.534,0,4,C4 (Main Forest),Reference,True,near-zero SSM beta_3 - MSL5 unreliable over the 5yr window
ceh13,2025,5,-0.666,-0.462,0,4,C4 (Main Forest),Reference,True,near-zero SSM beta_3 - MSL5 unreliable over the 5yr window
ceh14,2011,5,-0.8433333333333334,-0.688,0,4,C4 (Main Forest),Reference,True,negative SSM beta_3 (SSM failure) - MSL5 unreliable over the 5yr window
ceh14,2017,5,-0.6679999999999999,-0.316,0,4,C4 (Main Forest),Reference,True,negative SSM beta_3 (SSM failure) - MSL5 unreliable over the 5yr window
ceh14,2018,5,-0.8253333333333333,-0.476,0,4,C4 (Main Forest),Reference,True,negative SSM beta_3 (SSM failure) - MSL5 unreliable over the 5yr window
ceh14,2019,5,-1.0606666666666666,-0.6460000000000001,0,4,C4 (Main Forest),Reference,True,negative SSM beta_3 (SSM failure) - MSL5 unreliable over the 5yr window
ceh14,2020,5,-1.0453333333333332,-0.724,0,4,C4 (Main Forest),Reference,True,negative SSM beta_3 (SSM failure) - MSL5 unreliable over the 5yr window
ceh14,2021,5,-0.9473333333333332,-0.628,0,4,C4 (Main Forest),Reference,True,negative SSM beta_3 (SSM failure) - MSL5 unreliable over the 5yr window
ceh14,2022,5,-0.7546666666666667,-0.568,0,4,C4 (Main Forest),Reference,True,negative SSM beta_3 (SSM failure) - MSL5 unreliable over the 5yr window
ceh14,2023,5,-0.8466666666666667,-0.6180000000000001,0,4,C4 (Main Forest),Reference,True,negative SSM beta_3 (SSM failure) - MSL5 unreliable over the 5yr window
ceh14,2024,5,-0.506,-0.348,0,4,C4 (Main Forest),Reference,True,negative SSM beta_3 (SSM failure) - MSL5 unreliable over the 5yr window
ceh14,2025,5,-0.45533333333333326,-0.244,0,4,C4 (Main Forest),Reference,True,negative SSM beta_3 (SSM failure) - MSL5 unreliable over the 5yr window
ceh15,2012,5,-0.9506,-0.7354,0,4,C4 (Main Forest),Extended,False,
ceh15,2013,5,-0.9877333333333332,-0.7932,0,4,C4 (Main Forest),Extended,False,
ceh15,2014,5,-0.9570000000000001,-0.8130000000000001,0,4,C4 (Main Forest),Extended,False,
ceh15,2015,5,-0.9963333333333335,-0.8230000000000001,0,4,C4 (Main Forest),Extended,False,
ceh15,2016,5,-0.8156666666666668,-0.631,0,4,C4 (Main Forest),Extended,False,
ceh15,2017,5,-0.6983333333333333,-0.487,0,4,C4 (Main Forest),Extended,False,
ceh16,2012,5,-0.7413333333333333,-0.5599999999999999,0,5,C5 (Coastal Forest),Reference,False,
ceh16,2013,5,-0.7886666666666666,-0.6180000000000001,0,5,C5 (Coastal Forest),Reference,False,
ceh16,2014,5,-0.7786666666666667,-0.6400000000000001,0,5,C5 (Coastal Forest),Reference,False,
ceh16,2015,5,-0.8353333333333334,-0.684,0,5,C5 (Coastal Forest),Reference,False,
ceh16,2016,5,-0.7246666666666667,-0.564,0,5,C5 (Coastal Forest),Reference,False,
ceh16,2017,5,-0.6326666666666667,-0.45599999999999996,0,5,C5 (Coastal Forest),Reference,False,
ceh16,2018,5,-0.6853333333333333,-0.532,0,5,C5 (Coastal Forest),Reference,False,
ceh16,2019,5,-0.8413333333333334,-0.688,0,5,C5 (Coastal Forest),Reference,False,
ceh16,2020,5,-0.8406666666666667,-0.706,0,5,C5 (Coastal Forest),Reference,False,
ceh16,2021,5,-0.8393333333333335,-0.726,0,5,C5 (Coastal Forest),Reference,False,
ceh16,2022,5,-0.7906666666666667,-0.6839999999999999,0,5,C5 (Coastal Forest),Reference,False,
