well,hydro_year,MSL_m_bg,n_spring_months,n_interpolated_spring,MAX_m_bg,n_hydroyear_months,valid,MIN_m_bg,n_summer_months,min_valid
ceh1,2006,-0.08,1.0,0,0.1075,2,False,-0.08,0,False
ceh1,2007,0.06333333333333331,3.0,0,0.4,12,True,-0.76,4,True
ceh1,2008,-0.1366666666666667,3.0,0,0.24,12,True,-0.78,4,True
ceh1,2009,-0.12,3.0,0,0.29,12,True,-0.76,4,True
ceh1,2010,-0.43,3.0,0,-0.15,12,True,-1.05,4,True
ceh1,2011,-0.8433333333333333,3.0,0,-0.69,12,True,-1.13,4,True
ceh1,2012,-1.3699999999999999,3.0,0,-1.23,12,True,-1.57,4,True
ceh1,2013,-0.10999999999999999,3.0,0,0.13,12,True,-1.57,4,True
ceh1,2014,0.16666666666666666,3.0,0,0.34,12,True,-0.96,4,True
ceh1,2015,-0.6566666666666667,3.0,0,-0.42,12,True,-1.05,4,True
ceh1,2016,0.13999999999999999,3.0,0,0.24,12,True,-1.39,4,True
ceh1,2017,-0.6900000000000001,3.0,0,-0.39,12,True,-1.01,4,True
ceh1,2018,-0.5333333333333333,3.0,0,-0.5,12,True,-1.26,4,True
ceh1,2019,-0.8466666666666667,3.0,0,-0.77,12,True,-1.32,4,True
ceh1,2020,-0.5866666666666666,3.0,0,-0.36,12,True,-1.48,4,True
ceh1,2021,0.29000000000000004,3.0,0,0.4,12,True,-1.17,4,True
ceh1,2022,-0.3,3.0,0,0.13,12,True,-0.8,4,True
ceh1,2023,-0.6066666666666667,3.0,0,-0.42,12,True,-1.29,4,True
ceh1,2024,0.27666666666666667,3.0,0,0.37,12,True,-1.1,4,True
ceh1,2025,-0.4833333333333334,3.0,0,-0.02,12,True,-0.86,4,True
ceh1,2026,0.16,1.0,0,0.16,9,False,-1.35,4,False
ceh10,2006,,,0,-0.565,1,False,-0.565,0,False
ceh10,2007,-0.82,3.0,0,-0.21,12,True,-1.57,4,True
ceh10,2008,-1.1033333333333333,3.0,0,-0.84,12,True,-1.56,4,True
ceh10,2009,-1.0866666666666667,3.0,0,-0.25,12,True,-1.57,4,True
ceh10,2010,-1.24,3.0,0,-1.04,9,True,-1.61,2,False
ceh10,2011,-1.4666666666666668,3.0,0,-1.29,12,True,-1.75,4,True
ceh10,2012,-1.7233333333333334,3.0,0,-1.54,12,True,-2.02,4,True
ceh10,2013,-0.7066666666666667,3.0,0,-0.09,12,True,-1.79,4,True
ceh10,2014,-0.5100000000000001,3.0,0,-0.17,12,True,-1.69,4,True
ceh10,2015,-1.4066666666666665,3.0,0,-1.15,12,True,-1.79,4,True
ceh10,2016,-0.47333333333333333,3.0,0,-0.11,12,True,-1.92,4,True
ceh10,2017,-1.3966666666666665,3.0,0,-1.26,12,True,-1.65,4,True
ceh10,2018,-1.1900000000000002,3.0,0,-1.12,12,True,-1.92,4,True
ceh10,2019,-1.4633333333333332,3.0,0,-1.34,12,True,-2.01,4,True
ceh10,2020,-0.9066666666666666,3.0,0,-0.42,10,True,-1.79,2,False
ceh10,2021,-0.43333333333333335,3.0,0,-0.14,12,True,-1.74,4,True
ceh10,2022,-1.0833333333333333,3.0,0,-0.75,12,True,-1.66,4,True
ceh10,2023,-1.3533333333333335,3.0,0,-1.18,12,True,-2.08,4,True
ceh10,2024,-0.3,3.0,0,-0.14,12,True,-1.77,4,True
ceh10,2025,-1.23,3.0,0,-0.9,12,True,-1.64,4,True
ceh10,2026,-0.18,1.0,0,-0.18,9,False,-1.74,4,False
ceh11,2006,,,0,-0.345,1,False,-0.345,0,False
ceh11,2007,-0.27666666666666667,3.0,0,-0.02,12,True,-0.875,4,True
ceh11,2008,-0.26666666666666666,3.0,0,-0.14,12,True,-0.78,4,True
ceh11,2009,-0.2833333333333333,3.0,0,-0.06,12,True,-0.74,4,True
ceh11,2010,-0.33,3.0,0,-0.09,12,True,-0.95,4,True
ceh11,2011,-0.5466666666666667,3.0,0,-0.32,12,True,-0.88,4,True
ceh11,2012,-0.7115555555555556,3.0,1,-0.29,10,True,-1.11,3,False
ceh11,2013,0.003333333333333336,3.0,0,0.23,12,True,-0.83,4,True
ceh11,2014,-0.01333333333333333,3.0,0,0.08,12,True,-0.85,4,True
ceh11,2015,-0.5599999999999999,3.0,0,-0.27,12,True,-1.02,4,True
ceh11,2016,0.07666666666666667,3.0,0,0.22,12,True,-1.1,4,True
ceh11,2017,-0.45,3.0,0,-0.28,12,True,-0.89,4,True
ceh11,2018,-0.33666666666666667,3.0,0,-0.15,12,True,-1.05,4,True
ceh11,2019,-0.49666666666666665,3.0,0,-0.33,12,True,-1.16,4,True
ceh11,2020,-0.31333333333333335,3.0,0,-0.07,12,True,-1.07,4,True
ceh11,2021,0.15,3.0,0,0.28,12,True,-0.88,4,True
ceh11,2022,-0.4266666666666667,3.0,0,-0.05,12,True,-0.9,4,True
ceh11,2023,-0.35666666666666663,3.0,0,-0.16,12,True,-1.22,4,True
ceh11,2024,-0.05333333333333334,3.0,0,-0.04,12,True,-0.98,4,True
ceh11,2025,-0.48,3.0,0,-0.13,12,True,-0.87,4,True
