key,value
beta2_vs_tR_spearman_p,0.0017373914144651079
beta2_vs_tR_spearman_r,0.3810751748251748
curreli_min_n_annual_valid,1182
curreli_min_n_windows_admitted,826
curreli_min_quadrat_wells_first_window_end,2010
curreli_min_quadrat_wells_first_window_max_m_bg,-0.56
curreli_min_quadrat_wells_first_window_median_m_bg,-0.79
curreli_min_quadrat_wells_first_window_min_m_bg,-1.3775
curreli_min_quadrat_wells_first_window_n,11
curreli_min_window_years,4
diag_min_springs,12
diag_n_wells,65
ewi_msl5_intercept_a,0.3783718801727188
ewi_msl5_n_calibration,62
ewi_msl5_r,0.9738740172366487
ewi_msl5_r2,0.9484306014486483
ewi_msl5_rmse_mm_open_dune,66.21942587491198
ewi_msl5_scope,open_dune_C1_C3
ewi_msl5_slope_b,0.964458953112241
extended_relSE_beta3_vs_nobs_spearman_p,0.5881978141285003
extended_relSE_beta3_vs_nobs_spearman_r,-0.1288624242554073
msl5_min5_annual_n,1177
msl5_min5_annual_r,0.7981019153618587
msl5_min5_cluster_offset_max_m,-0.5420833333333333
msl5_min5_cluster_offset_min_m,-0.78725
msl5_min5_cluster_window_end,2025
msl5_min5_offset_mean_m,-0.6882184157379108
msl5_min5_offset_sd_m,0.15988097679140045
msl5_min5_window_n,648
msl5_min5_window_r,0.9428748351656104
msl5_min5_window_start,2014
msl5_n_annual_valid,1274
msl5_n_annual_valid_with_interp,10
msl5_n_windows_admitted,869
msl5_n_windows_with_interp,32
n_wells_ewi_more_precise_than_msl5,0
n_wells_index_comparison,65
partial_springSD_vs_beta2_given_tR_p,1.0334631730825874e-07
partial_springSD_vs_beta2_given_tR_r,0.6034593958876483
partial_springSD_vs_tR_given_beta2_p,0.42149678637302845
partial_springSD_vs_tR_given_beta2_r,0.10141280419644168
rho_ar1_expected_mean,0.4877678326587272
rho_lag1_mean,-0.10341078923323539
rho_lag1_vs_tR_spearman_p,0.1719321267848446
rho_lag1_vs_tR_spearman_r,0.1715034965034965
site_mean_spring_n_years,20
site_mean_spring_rho_lag1,-0.0287997642304396
vw_repro_datum_offset_max_mm,412.6666666666662
vw_repro_datum_offset_mean_mm,17.100091877970605
vw_repro_datum_offset_min_mm,-402.9999999999996
vw_repro_mad_mm,0.6380483060925497
vw_repro_median_abs_mm,5.551115123125783e-14
vw_repro_n_pairs,614
vw_repro_n_piezometers,21
vw_repro_n_quadrats,96
vw_repro_quadrat_relief_max_mm,496.9999999999999
vw_repro_rmse_mm,1.6542619121520974
