Well,Network,Cluster,β₃ (mth⁻¹),EWI (m bg),SE (mm),MSL5 obs,MSL5 recon,Resid. (mm),Status
CEH11,Reference,C1 (Lake Edge),0.0907,-0.628,328,-0.400,-0.346,54,Calibration
CEH23,Reference,C1 (Lake Edge),0.0884,-0.530,368,-0.278,-0.255,24,Calibration
CEH25,Reference,C1 (Lake Edge),0.1333,-0.522,304,-0.326,-0.248,79,Calibration
CEH26,Reference,C1 (Lake Edge),0.0865,-0.493,364,-0.268,-0.221,47,Calibration
CEH27,Reference,C1 (Lake Edge),0.0982,-0.459,319,-0.212,-0.189,23,Calibration
CEH5,Reference,C1 (Lake Edge),0.0972,-0.514,320,-0.263,-0.240,24,Calibration
CEH6,Reference,C1 (Lake Edge),0.1175,-0.381,288,-0.238,-0.117,121,Calibration
P2,Extended,C1 (Lake Edge),0.0990,-0.503,364,-0.326,-0.230,96,Calibration
CEH10,Reference,C2 (Dune),0.1039,-1.374,347,-1.070,-1.039,31,Calibration
CEH24,Reference,C2 (Dune),0.0737,-0.432,476,-0.117,-0.164,-47,Calibration
CEH28,Reference,C2 (Dune),0.0712,-0.603,491,-0.256,-0.323,-67,Calibration
D10,Reference,C2 (Dune),0.0577,-0.461,492,-0.174,-0.191,-17,Calibration
D15,Reference,C2 (Dune),0.0611,-0.405,460,-0.071,-0.139,-68,Calibration
D17,Reference,C2 (Dune),0.0708,-0.427,517,-0.163,-0.160,3,Calibration
D38,Reference,C2 (Dune),0.1085,-0.741,285,-0.433,-0.451,-18,Calibration
D41,Reference,C2 (Dune),0.0656,-0.480,467,-0.207,-0.209,-2,Calibration
D43,Reference,C2 (Dune),0.0754,-0.659,343,-0.363,-0.375,-12,Calibration
D44,Reference,C2 (Dune),0.0877,-0.741,417,-0.440,-0.451,-11,Calibration
D5,Reference,C2 (Dune),0.0679,-0.592,473,-0.279,-0.313,-34,Calibration
D6,Reference,C2 (Dune),0.0651,-0.578,457,-0.265,-0.299,-34,Calibration
D7,Reference,C2 (Dune),0.0765,-0.470,449,-0.261,-0.199,62,Calibration
D8,Reference,C2 (Dune),0.0553,-0.436,536,-0.159,-0.168,-9,Calibration
D9,Reference,C2 (Dune),0.0621,-0.567,463,-0.257,-0.290,-33,Calibration
L7,Reference,C2 (Dune),0.0841,-1.598,250,-1.300,-1.247,53,Calibration
NW3,Reference,C2 (Dune),0.0615,-0.594,551,-0.298,-0.314,-16,Calibration
NW4,Reference,C2 (Dune),0.0540,-0.443,588,-0.188,-0.174,14,Calibration
