cluster_id,cluster_label,scenario,calendar_month,delta_h_m,sP,sPET
1,C1 (Lake Edge),2050s,1,0.036475594098786264,1.1,1.05
1,C1 (Lake Edge),2050s,2,0.02703630712381146,1.1,1.05
1,C1 (Lake Edge),2050s,3,0.026277371935274303,1.1,1.05
1,C1 (Lake Edge),2050s,4,-0.010936464433436648,0.9750000000000001,1.125
1,C1 (Lake Edge),2050s,5,-0.048786271083837256,0.85,1.2
1,C1 (Lake Edge),2050s,6,-0.053894732685329946,0.85,1.2
1,C1 (Lake Edge),2050s,7,-0.06275461319535215,0.85,1.2
1,C1 (Lake Edge),2050s,8,-0.06458765915115079,0.85,1.2
1,C1 (Lake Edge),2050s,9,-0.07072316073812898,0.85,1.2
1,C1 (Lake Edge),2050s,10,-0.018227201414160992,0.9750000000000001,1.125
1,C1 (Lake Edge),2050s,11,0.04521079656882222,1.1,1.05
1,C1 (Lake Edge),2050s,12,0.04770164693809231,1.1,1.05
1,C1 (Lake Edge),2080s,1,0.07295118819757244,1.2,1.1
1,C1 (Lake Edge),2080s,2,0.05407261424762286,1.2,1.1
1,C1 (Lake Edge),2080s,3,0.052554743870548544,1.2,1.1
1,C1 (Lake Edge),2080s,4,-0.020791068966828606,0.95,1.225
1,C1 (Lake Edge),2080s,5,-0.09418172582551179,0.7,1.35
1,C1 (Lake Edge),2080s,6,-0.1034411631127749,0.7,1.35
1,C1 (Lake Edge),2080s,7,-0.12064219743408772,0.7,1.35
1,C1 (Lake Edge),2080s,8,-0.12486859138071237,0.7,1.35
1,C1 (Lake Edge),2080s,9,-0.13823959690612161,0.7,1.35
1,C1 (Lake Edge),2080s,10,-0.03534114743463214,0.95,1.225
1,C1 (Lake Edge),2080s,11,0.09042159313764435,1.2,1.1
1,C1 (Lake Edge),2080s,12,0.09540329387618451,1.2,1.1
2,C2 (Dune),2050s,1,0.030271936126719225,1.1,1.05
2,C2 (Dune),2050s,2,0.02211730936406767,1.1,1.05
2,C2 (Dune),2050s,3,0.020992118997393266,1.1,1.05
2,C2 (Dune),2050s,4,-0.014599212946477733,0.9750000000000001,1.125
2,C2 (Dune),2050s,5,-0.05478688150348217,0.85,1.2
2,C2 (Dune),2050s,6,-0.06288128509541797,0.85,1.2
2,C2 (Dune),2050s,7,-0.07245104461153215,0.85,1.2
2,C2 (Dune),2050s,8,-0.07181821504026728,0.85,1.2
2,C2 (Dune),2050s,9,-0.07273463797567048,0.85,1.2
2,C2 (Dune),2050s,10,-0.020957182223340476,0.9750000000000001,1.125
2,C2 (Dune),2050s,11,0.03726009871196801,1.1,1.05
2,C2 (Dune),2050s,12,0.03974160203281284,1.1,1.05
2,C2 (Dune),2080s,1,0.06054387225343838,1.2,1.1
2,C2 (Dune),2080s,2,0.044234618728135285,1.2,1.1
2,C2 (Dune),2080s,3,0.041984237994786476,1.2,1.1
2,C2 (Dune),2080s,4,-0.027219302096585185,0.95,1.225
2,C2 (Dune),2080s,5,-0.10337069982695547,0.7,1.35
2,C2 (Dune),2080s,6,-0.1178079094514601,0.7,1.35
2,C2 (Dune),2080s,7,-0.13599848458325375,0.7,1.35
2,C2 (Dune),2080s,8,-0.1357578260814091,0.7,1.35
2,C2 (Dune),2080s,9,-0.13960298503428248,0.7,1.35
2,C2 (Dune),2080s,10,-0.03987780662528635,0.95,1.225
2,C2 (Dune),2080s,11,0.07452019742393594,1.2,1.1
2,C2 (Dune),2080s,12,0.07948320406562558,1.2,1.1
3,C3 (Western Residual),2050s,1,0.02905310198021896,1.1,1.05
3,C3 (Western Residual),2050s,2,0.021163833731220143,1.1,1.05
3,C3 (Western Residual),2050s,3,0.01998670107056933,1.1,1.05
3,C3 (Western Residual),2050s,4,-0.015095663028133314,0.9750000000000001,1.125
3,C3 (Western Residual),2050s,5,-0.05538805216884757,0.85,1.2
3,C3 (Western Residual),2050s,6,-0.0639133365244477,0.85,1.2
3,C3 (Western Residual),2050s,7,-0.07353298962883656,0.85,1.2
3,C3 (Western Residual),2050s,8,-0.07250273484421785,0.85,1.2
3,C3 (Western Residual),2050s,9,-0.07256249527559018,0.85,1.2
3,C3 (Western Residual),2050s,10,-0.021257956782582695,0.9750000000000001,1.125
3,C3 (Western Residual),2050s,11,0.03570858549087183,1.1,1.05
3,C3 (Western Residual),2050s,12,0.038171511337752394,1.1,1.05
3,C3 (Western Residual),2080s,1,0.05810620396043785,1.2,1.1
3,C3 (Western Residual),2080s,2,0.04232766746244023,1.2,1.1
3,C3 (Western Residual),2080s,3,0.03997340214113861,1.2,1.1
3,C3 (Western Residual),2080s,4,-0.02807960949776396,0.95,1.225
3,C3 (Western Residual),2080s,5,-0.10415746266672601,0.7,1.35
3,C3 (Western Residual),2080s,6,-0.11933908433341503,0.7,1.35
3,C3 (Western Residual),2080s,7,-0.1375658714914324,0.7,1.35
3,C3 (Western Residual),2080s,8,-0.13659903318691338,0.7,1.35
3,C3 (Western Residual),2080s,9,-0.13886568343291633,0.7,1.35
3,C3 (Western Residual),2080s,10,-0.040342915149566276,0.95,1.225
3,C3 (Western Residual),2080s,11,0.07141717098174358,1.2,1.1
3,C3 (Western Residual),2080s,12,0.0763430226755047,1.2,1.1
4,C4 (Main Forest),2050s,1,0.017934851006255397,1.1,1.05
4,C4 (Main Forest),2050s,2,0.012545899031621649,1.1,1.05
4,C4 (Main Forest),2050s,3,0.011018038181488037,1.1,1.05
4,C4 (Main Forest),2050s,4,-0.01825187256743744,0.9750000000000001,1.125
4,C4 (Main Forest),2050s,5,-0.05731885745224356,0.85,1.2
4,C4 (Main Forest),2050s,6,-0.06881673155169253,0.85,1.2
4,C4 (Main Forest),2050s,7,-0.07834065032850916,0.85,1.2
4,C4 (Main Forest),2050s,8,-0.07422037112030386,0.85,1.2
4,C4 (Main Forest),2050s,9,-0.06750326375156757,0.85,1.2
4,C4 (Main Forest),2050s,10,-0.02255286224427748,0.9750000000000001,1.125
4,C4 (Main Forest),2050s,11,0.021620577859049816,1.1,1.05
4,C4 (Main Forest),2050s,12,0.023811087394927984,1.1,1.05
4,C4 (Main Forest),2080s,1,0.03586970201251075,1.2,1.1
4,C4 (Main Forest),2080s,2,0.025091798063243263,1.2,1.1
4,C4 (Main Forest),2080s,3,0.02203607636297604,1.2,1.1
4,C4 (Main Forest),2080s,4,-0.03345120903072427,0.95,1.225
4,C4 (Main Forest),2080s,5,-0.1050703122245582,0.7,1.35
4,C4 (Main Forest),2080s,6,-0.12536445337910862,0.7,1.35
4,C4 (Main Forest),2080s,7,-0.14294867075789336,0.7,1.35
4,C4 (Main Forest),2080s,8,-0.13628903995612063,0.7,1.35
4,C4 (Main Forest),2080s,9,-0.1259585513964291,0.7,1.35
4,C4 (Main Forest),2080s,10,-0.04196460401423253,0.95,1.225
4,C4 (Main Forest),2080s,11,0.043241155718099576,1.2,1.1
4,C4 (Main Forest),2080s,12,0.047622174789855906,1.2,1.1
5,C5 (Coastal Forest),2050s,1,0.018554790703112528,1.1,1.05
5,C5 (Coastal Forest),2050s,2,0.013476638327951025,1.1,1.05
5,C5 (Coastal Forest),2050s,3,0.012663607828394253,1.1,1.05
5,C5 (Coastal Forest),2050s,4,-0.010323816326008808,0.9750000000000001,1.125
5,C5 (Coastal Forest),2050s,5,-0.03714174887213072,0.85,1.2
5,C5 (Coastal Forest),2050s,6,-0.04306311722775459,0.85,1.2
5,C5 (Coastal Forest),2050s,7,-0.049480843383578305,0.85,1.2
5,C5 (Coastal Forest),2050s,8,-0.048556488650416396,0.85,1.2
5,C5 (Coastal Forest),2050s,9,-0.04807829680710483,0.85,1.2
