cluster_id,cluster_label,scenario,beta_1_recharge,beta_2_atmospheric_draw,spring_delta_h_mean_m,msl5_observed_window_mean_m,msl5_perturbed_window_mean_m,msl5_shift_mean_m,n_common_window_ends
1,C1 (Lake Edge),2050s,4.577813590907992,0.9109262729676492,-0.0111484545273332,-0.19607610079813462,-0.20722455532546788,-0.0111484545273332,15
1,C1 (Lake Edge),2080s,4.577813590907992,0.9109262729676492,-0.020806016973930617,-0.19607610079813462,-0.21688211777206526,-0.020806016973930617,15
2,C2 (Dune),2050s,3.8956999904219503,1.666422670342663,-0.016131325150855545,-0.26946614278752434,-0.28559746793837987,-0.016131325150855545,16
2,C2 (Dune),2080s,3.8956999904219503,1.666422670342663,-0.029535254642918063,-0.26946614278752434,-0.2990013974304424,-0.029535254642918063,16
3,C3 (Western Residual),2050s,3.757786825005514,1.778065805120788,-0.016832338042137185,-0.5420132461788809,-0.558845584221018,-0.016832338042137185,16
3,C3 (Western Residual),2080s,3.757786825005514,1.778065805120788,-0.030754556674450456,-0.5420132461788809,-0.5727678028533314,-0.030754556674450456,16
4,C4 (Main Forest),2050s,2.4757654498272195,2.57023606877206,-0.021517563946064324,-1.1291081481481482,-1.1506257120942125,-0.021517563946064324,15
4,C4 (Main Forest),2080s,2.4757654498272195,2.57023606877206,-0.03882848163076882,-1.1291081481481482,-1.167936629778917,-0.03882848163076882,15
5,C5 (Coastal Forest),2050s,2.4118433288009,1.248147887922419,-0.011600652456581756,-1.0541427083333335,-1.0657433607899152,-0.011600652456581756,16
5,C5 (Coastal Forest),2080s,2.4118433288009,1.248147887922419,-0.021158489970930814,-1.0541427083333335,-1.0753011983042642,-0.021158489970930814,16
