cluster_id,cluster_label,scenario,beta_1_recharge_mean,beta_2_atmospheric_draw_mean,spring_delta_h_mean_m,spring_delta_h_median_m,n_wells,aggregation
1.0,C1 (Lake Edge),2050s,5.008373366726299,0.6249059958322531,-0.009417030690477815,-0.009115008830766826,7,perwell
2.0,C2 (Dune),2050s,4.2751474245467795,1.6605224251267359,-0.01642458952888679,-0.01606650680563451,24,perwell
3.0,C3 (Western Residual),2050s,3.498124990999274,1.7673511185681485,-0.016479809857846514,-0.01718205629861154,21,perwell
4.0,C4 (Main Forest),2050s,2.4817562957511323,2.6431854656698355,-0.022028988990573307,-0.02182549180208569,9,perwell
5.0,C5 (Coastal Forest),2050s,2.3139098907095823,1.2078851495326899,-0.011189859729451771,-0.0110126413981431,5,perwell
,SITE,2050s,,,-0.016066599547027625,,66,perwell
1.0,C1 (Lake Edge),2080s,5.008373366726299,0.6249059958322531,-0.01781317589898419,-0.017296000033625712,7,perwell
2.0,C2 (Dune),2080s,4.2751474245467795,1.6605224251267359,-0.030136445866532146,-0.02938216219940628,24,perwell
3.0,C3 (Western Residual),2080s,3.498124990999274,1.7673511185681485,-0.03007236449566697,-0.031167303663391228,21,perwell
4.0,C4 (Main Forest),2080s,2.4817562957511323,2.6431854656698355,-0.03973990504528589,-0.039347564504964835,9,perwell
5.0,C5 (Coastal Forest),2080s,2.3139098907095823,1.2078851495326899,-0.02040644280406109,-0.02017831205511436,5,perwell
,SITE,2080s,,,-0.029381484029190084,,66,perwell
