mid,Match_ID,easting,northing,ground_elev_m,dist_ceh36_m,dist_forest_m,dist_coast_m,slope_m_yr,slope_r2,delta_coast_exp_m_yr,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,model_R2,recession_time_months,Sy_wtf_median,mean_head_maod,depth_to_water_m,summer_min_mean_maod,winter_max_mean_maod,seasonal_amplitude_m,summer_min_depth_m,winter_max_depth_m
nw1,nw1,241725.0,364139.0,12.363,1005.9746517681248,50.16189118507,1316.9,-0.0132857142857138,0.1221327890318144,-0.0015361637456230229,4.42106273311872,1.9850900188328704,0.0999607799085036,0.7088588688897943,10.003923547968743,0.259,10.807953278688522,1.5550467213114771,10.346809523809524,11.363909090909091,1.0170995670995673,2.0161904761904754,0.9990909090909081
nw2,nw2,241703.008,364112.082,11.474,971.360315633696,46.886010200040666,1282.2,-0.0137272727272723,0.1259108564988736,-0.001675014630896195,4.5933613754676905,1.859277273916028,0.0793992391022923,0.7475440509814091,12.594579133329875,0.2523,10.734414950819671,0.7395850491803291,10.274000000000001,11.277333333333333,1.003333333333332,1.1999999999999993,0.1966666666666672
nw5,nw5,241711.757,363023.697,5.725,618.8927668490089,660.2637119792031,459.7,-0.0136940600383213,0.1466487811897966,-0.01302595746355947,3.551306865970753,1.9621935666675288,0.0493874979997405,0.7124362765556518,20.24803929134564,0.3077,5.107272734353964,0.6177272656460353,4.697310694769711,5.605659463487331,0.9083487687176204,1.0276893052302887,0.1193405365126683
nw6,nw6,241444.307,363316.599,6.361,283.5051940441306,275.00920426951143,502.5,-0.0102077922077915,0.157414158023301,-0.011707280667405761,3.242976093654688,1.210721814421495,0.0532564563142375,0.6419251119103462,18.77706609128369,0.281,5.93300280153395,0.42799719846604933,5.550620292561469,6.320045454545454,0.7694251619839854,0.810379707438531,0.04095454545454569
nw7,nw7,241423.695,363584.862,8.474,383.1092247245117,108.49613599654853,694.8,-0.018598167906524,0.3287233101221972,-0.007247523362538828,2.776219030955962,1.955550653444574,0.0397622878460934,0.6712044710913491,25.149458297537297,0.3326,7.25183961992271,1.2221603800772902,6.877660130718955,7.639568181818182,0.7619080510992271,1.5963398692810449,0.8344318181818178
nw11,nw11,241689.0,364237.0,11.95,1070.3013594310717,0.0,1375.8,-0.0103859649122802,0.0592586580635564,-0.0013263163543496786,4.531642358097249,2.0582651699261523,0.0742999227223859,0.7956092078609426,13.458964200223978,0.285,11.115022950819672,0.8349770491803277,10.667368421052632,11.675999999999998,1.0086315789473659,1.2826315789473668,0.2740000000000009
nw13,nw13,241761.0,364180.0,12.09,1060.1301806853724,57.23049555498308,1371.3,0.0044395604395598,0.0087348172504289,-0.0013412840298538619,4.834667351112664,1.7077998354969175,0.0866743229622988,0.8076421011950241,11.537442299202908,0.2488,11.360894434541493,0.7291055654585072,10.848571428571427,11.946666666666665,1.0980952380952385,1.2414285714285729,0.14333333333333442
ceh1,ceh1,241595.864,363948.335,10.652,775.693851155872,49.08278243419959,1086.9,-0.0130375939849623,0.0816839905837648,-0.0027260517557291127,4.4552775290471,2.218719650910489,0.0651335485594953,0.7904147851683789,15.353071068845027,0.2731,10.003871986499517,0.6481280135004823,9.548999999999998,10.617714285714285,1.0687142857142877,1.1030000000000015,0.03428571428571381
ceh4,ceh4,241131.693,363211.05,4.479,99.37002943041857,74.1355475853775,220.7,-0.0315413533834584,0.5026228863085375,-0.023640328057876334,3.49799793140324,1.0265366433272218,0.0677912106596095,0.8093888388430297,14.751174824434981,0.3487,3.8171292799335963,0.6618707200664038,3.4899999999999998,4.239,0.7490000000000001,0.9890000000000003,0.2400000000000002
ceh9,ceh9,241711.211,363459.012,7.983,571.0909005272345,417.3875692191537,784.8,-0.0155187969924811,0.1265259246965556,-0.005790513080486471,3.073905679994592,2.2238698047276166,0.0330577340193859,0.7708212082556205,30.25010726426604,0.347,7.264428274306392,0.7185717256936073,6.882,7.686809523809524,0.8048095238095243,1.101,0.29619047619047567
ceh18,ceh18,241267.167,363202.889,5.144,147.99766961000464,191.20315551410062,302.0,-0.0214385964912277,0.2775300987618536,-0.01930204265840827,3.286882302637416,1.5437131593717353,0.0555813450211094,0.664101356188529,17.991648090203775,0.3643,4.3129085766441015,0.8310914233558986,3.9666315789473683,4.779999999999999,0.8133684210526311,1.1773684210526318,0.36400000000000077
ceh21,ceh21,241470.51,362937.659,4.172,481.1148848050918,507.8010126051062,232.0,-0.0099264705882346,0.1491663870223185,-0.02298345291558175,2.345713470772556,1.1064381751158816,0.0421014191013932,0.7591881545873931,23.752168486095247,0.4131,3.102828392047436,1.0691716079525637,2.840125,3.4414117647058817,0.6012867647058817,1.3318749999999997,0.730588235294118
ceh36,ceh36,241161.0,363306.0,5.31,0.0,45.60081442329978,,,,,2.755398855366156,0.9858800603210418,0.0479153602191809,0.7154251480366093,20.87013424141372,0.3493,4.626552173913043,0.6834478260869563,4.303333333333333,5.047625,0.7442916666666672,1.0066666666666668,0.2623749999999996
ceh39,ceh39,241719.0,363435.0,7.85,572.7172077037671,437.2290513675396,770.8,0.0085216434336021,0.027657777539689,-0.0059962460842485485,3.0250092905180326,2.1524913224653206,0.0310888221846257,0.7691533194073709,32.165901752769784,0.3491,7.317641522911532,0.5323584770884677,6.9084615384615375,7.729285714285715,0.8208241758241774,0.9415384615384621,0.12071428571428466
ceh40,ceh40,242060.283,363398.508,7.77,904.0285637926422,741.01601832177,971.5,0.0015734265734268,0.0009809619110653,-0.003635093626802423,2.823628786320204,1.7470642978777824,0.0350466316846085,0.640057005445152,28.53341254016066,0.285,7.173669064748202,0.5963309352517978,6.790833333333333,7.517692307692307,0.726858974358974,0.979166666666667,0.252307692307693
ceh41,ceh41,242284.022,363324.592,7.15,1123.1758878056428,968.0136251393684,1071.4,0.00437062937063,0.0075454550283631,-0.00283348580139797,3.1976335572373493,2.2012615382486995,0.0344398198336362,0.7144970600265356,29.03615654293679,0.3057,6.656618705035971,0.4933812949640295,6.222500000000001,7.064615384615384,0.8421153846153828,0.9274999999999993,0.0853846153846165
ceh42,ceh42,242120.528,362743.198,3.62,1112.402837998902,1155.9903754230445,525.5,0.0057342657342663,0.0297287538594159,-0.011054684989449566,3.2319824654176768,1.2362036167006305,0.0509657718841718,0.6921205446991318,19.621011573662937,0.3515,3.1576546762589928,0.46234532374100734,2.7816666666666663,3.6145384615384626,0.8328717948717963,0.8383333333333338,0.005461538461537518
wmc2,wmc2,241885.149,362855.856,4.502,852.6554960457248,897.7497070671844,457.5,0.0012254901960786,0.0013489247451071,-0.01309761796454069,3.356083953218111,1.823796907526969,0.0460712030928494,0.7599460823956486,21.70553258582491,0.3434,3.8686172731115662,0.6333827268884336,3.4555294117647053,4.368111111111111,0.912581699346406,1.0464705882352945,0.1338888888888885
wmc3,wmc3,241217.327,363562.323,8.61,262.4389667293826,0.0,,,,,2.459406260107092,1.7594316846714702,0.033355989037554,0.6322792367160053,29.97962371537373,0.3283,7.359667008196721,1.2503329918032788,7.026860613810741,7.733888888888888,0.7070282750781471,1.5831393861892584,0.8761111111111113
wmc4,wmc4,241760.293,364180.707,12.09,1060.3133667449436,56.2495498035861,1371.3,0.0031868131868125,0.0044207456499538,-0.0013412840298538619,4.858779466031766,1.775780029898146,0.0869470102931243,0.8195838226101101,11.501258026339283,0.2499,11.321696428571428,0.7683035714285715,10.810714285714287,11.911999999999999,1.1012857142857122,1.279285714285713,0.17800000000000082
d25,d25,242215.187,363143.807,5.351,1066.5912057663052,1011.517616619527,893.7,0.0303928571428596,0.1934253457186125,-0.00441341969620961,3.7103508292250993,1.5130019787654263,0.0597232574642709,0.6969677560547315,16.743895803041962,0.289,4.805711976389978,0.5452880236100217,4.39105057981742,5.327470588235294,0.9364200084178744,0.9599494201825802,0.0235294117647058
