period,cluster_id,cluster_label,n_wells,slope_mean_mm_yr,slope_min_mm_yr,slope_max_mm_yr,well_min,well_max,n_sig_ar,sig_wells
2011_2025,0,extended (unclustered),10,5.587793035153444,-27.82046408637389,32.663460644259345,ceh22,lis1,1,ceh22:0.000
2011_2025,1,C1 (Lake Edge),7,-5.5857735903134005,-11.679987895898142,1.3938216279110094,ceh11,ceh27,1,ceh11:0.048
2011_2025,2,C2 (Dune),19,-0.6164926848418023,-4.618083133993482,4.715250199339467,nw4,d7,0,
2011_2025,3,C3 (Western Residual),26,2.35897316713337,-16.963321229231532,13.37001210410104,ceh21,ceh1,8,nw1:0.027;nw2:0.017;nw11:0.027;nw13:0.028;ceh4:0.005;ceh18:0.025;ceh21:0.000;wmc4:0.017
2011_2025,4,C4 (Main Forest),7,13.674674784565365,6.881916866005959,18.858107342196178,ceh30,ceh32,0,
2011_2025,5,C5 (Coastal Forest),5,-8.501416467327001,-13.99903551494599,-5.010940276850876,ceh19,ceh16,3,nw9:0.017;ceh17:0.046;ceh19:0.020
2011_2025,-1,network (mapped wells),74,1.6163932122721159,-27.82046408637389,32.663460644259345,ceh22,lis1,13,nw1:0.027;nw2:0.017;nw9:0.017;nw11:0.027;nw13:0.028;ceh4:0.005;ceh11:0.048;ceh17:0.046;ceh18:0.025;ceh19:0.020;ceh21:0.000;ceh22:0.000;wmc4:0.017
2005_2025,0,extended (unclustered),13,2.573176419943551,-30.336706756833024,30.994268077598374,nw8,lis1,3,nw8:0.021;ceh3:0.001;ceh22:0.000
2005_2025,1,C1 (Lake Edge),7,3.7607158712238236,-6.063687371949816,12.550711967064556,ceh23,ceh6,0,
2005_2025,2,C2 (Dune),19,2.598724158982295,-1.7094157342787257,10.463951509668481,d41,l7,0,
2005_2025,3,C3 (Western Residual),26,1.7357066613306162,-15.36319612590774,12.87072218428162,ceh21,wmc4,6,nw11:0.047;nw13:0.023;ceh4:0.000;ceh18:0.003;ceh21:0.000;wmc4:0.020
2005_2025,4,C4 (Main Forest),7,11.422202970440326,4.968920701799131,20.458232445519965,ceh2,ceh32,0,
2005_2025,5,C5 (Coastal Forest),5,-12.228971923341533,-18.491518609376644,-4.2441485068603235,nw9,ceh31,3,nw9:0.013;ceh17:0.045;ceh19:0.006
2005_2025,-1,network (mapped wells),77,2.247935038304769,-30.336706756833024,30.994268077598374,nw8,lis1,12,nw8:0.021;nw9:0.013;nw11:0.047;nw13:0.023;ceh3:0.001;ceh4:0.000;ceh17:0.045;ceh18:0.003;ceh19:0.006;ceh21:0.000;ceh22:0.000;wmc4:0.020
