panel,cluster_id,cluster_label,n_wells,dry_m_mean,wet_m_mean,swing_mm_mean,amplification_mean
canonical,1,C1 (Lake Edge),7,-0.42562962962962964,0.044642857142857144,470.27248677248673,0.6400947410547967
canonical,2,C2 (Dune),21,-0.6276798941798941,0.011666666666666672,639.3465608465607,0.867819112713105
canonical,3,C3 (Western Residual),24,-0.9847824074074074,-0.11656637067395263,868.2160367334549,1.199392876474665
canonical,4,C4 (Main Forest),10,-1.6741,-0.5389333333333333,1135.1666666666665,1.662813935430809
canonical,5,C5 (Coastal Forest),6,-1.4263148148148146,-0.8006666666666667,625.6481481481479,0.8515788200342822
canonical,-1,network (unflagged wells),68,-0.9572698801742922,-0.18284450337512054,774.4253767991714,1.0768809685921252
recent,1,C1 (Lake Edge),7,-0.25666666666666665,0.07095238095238096,327.61904761904765,0.5872202042729134
recent,2,C2 (Dune),19,-0.3466374269005848,0.03333333333333333,379.97076023391816,0.6783509066262411
recent,3,C3 (Western Residual),27,-0.6706172839506173,-0.06444849220805506,606.1687917425622,1.0842329128350885
recent,4,C4 (Main Forest),11,-1.2673737373737375,-0.3480303030303031,919.3434343434342,1.6478194513887177
recent,5,C5 (Coastal Forest),10,-1.4163444444444444,-0.8750666666666668,541.2777777777777,0.970179388362814
recent,-1,network (unflagged wells),74,-0.7377567567567567,-0.1782312066164525,559.5255501403042,1.001368988530546
