key,Cluster,E,N,dry_m,wet_m,swing_mm,amplification,n_dry,n_wet,flagged
nw1,3.0,241725.0,364139.0,-1.4744444444444447,-0.9066666666666667,567.7777777777779,1.0176776505252965,3,2,False
nw2,3.0,241703.008,364112.082,-0.6722222222222222,-0.08333333333333334,588.8888888888888,1.0555169369440447,3,2,False
nw3,2.0,242091.94,363939.361,-0.3688888888888889,-0.011666666666666669,357.22222222222223,0.6402805570330385,3,2,False
nw4,2.0,242431.164,363744.512,-0.21333333333333335,0.021666666666666667,235.00000000000003,0.42121100408238776,3,2,False
nw4b,2.0,242414.677,363751.66,-0.2511111111111111,0.025,276.11111111111114,0.49489803552942485,3,2,False
nw5,3.0,241711.757,363023.697,-0.6322222222222221,0.13833333333333334,770.5555555555554,1.3811339542843302,3,2,False
nw6,3.0,241444.307,363316.599,-0.5077777777777778,0.13833333333333334,646.1111111111111,1.1580813185527585,3,2,False
nw7,3.0,241423.695,363584.862,-1.31,-0.5483333333333333,761.6666666666667,1.365201623160647,3,2,False
nw8b,5.0,241272.0,363487.0,-1.4344444444444446,-0.7916666666666666,642.777777777778,1.1521066943813778,3,2,False
nw9,5.0,240937.259,363567.162,-0.8445555555555555,-0.329,515.5555555555555,0.9240752051736544,3,2,False
nw10,4.0,241435.0,364325.025,-1.1077777777777778,-0.11666666666666667,991.1111111111111,1.776454920290732,3,2,False
nw11,3.0,241689.0,364237.0,-0.728888888888889,-0.085,643.888888888889,1.154098235771838,3,2,False
nw13,3.0,241761.0,364180.0,-0.6066666666666667,-0.10500000000000001,501.6666666666667,0.8991809377928986,3,2,False
ceh1,3.0,241595.864,363948.335,-0.6388888888888888,0.2833333333333333,922.2222222222222,1.6529793540821833,3,2,False
ceh2,4.0,241421.0,363979.0,-1.3077777777777777,-0.24166666666666664,1066.111111111111,1.9108839641468134,3,2,False
ceh3,5.0,240743.0,363388.0,-1.1755555555555555,-0.885,290.55555555555543,0.5207880736054106,3,2,False
ceh4,3.0,241131.693,363211.05,-0.7188888888888889,-0.155,563.8888888888889,1.0107072556586845,3,2,False
ceh5,1.0,242521.077,364465.817,-0.23444444444444446,0.09500000000000001,329.44444444444446,0.590492022271527,3,2,False
ceh6,1.0,242621.679,364724.912,-0.1733333333333333,0.13833333333333334,311.66666666666663,0.5586273600241596,3,2,False
ceh9,3.0,241711.211,363459.012,-0.6733333333333333,-0.09666666666666666,576.6666666666666,1.0336099816489797,3,2,False
ceh10,3.0,242538.185,363173.915,-1.2,-0.3666666666666667,833.3333333333333,1.4936560428453465,3,2,False
ceh11,1.0,242618.62,362688.287,-0.43,0.048333333333333325,478.3333333333333,0.8573585685932289,3,2,False
ceh13,4.0,240964.108,364066.298,-1.222222222222222,-0.265,957.2222222222221,1.7157129078816877,3,2,False
ceh14,4.0,241292.0,364488.0,-1.2033333333333334,0.17,1373.3333333333333,2.461545158609131,3,2,False
ceh16,5.0,240988.214,363614.897,-0.9633333333333334,-0.355,608.3333333333334,1.0903689112771031,3,2,False
ceh17,5.0,240804.597413,363576.069469,-2.145555555555555,-1.6500000000000001,495.5555555555551,0.8882274601453652,3,2,False
ceh18,3.0,241267.167,363202.889,-0.7977777777777778,-0.23,567.7777777777778,1.0176776505252962,3,2,False
ceh19,5.0,240845.741,363532.891,-0.9788888888888887,-0.5466666666666666,432.22222222222206,0.7747096008891194,3,2,False
ceh20,4.0,241153.0,363829.0,-1.2855555555555556,-0.5166666666666666,768.8888888888889,1.3781466421986397,3,2,False
ceh21,3.0,241470.51,362937.659,-1.0744444444444445,-0.5433333333333332,531.1111111111113,0.9519567846401013,3,2,False
ceh22,3.0,241375.022,362906.94,-0.5955555555555555,-0.23833333333333334,357.2222222222222,0.6402805570330384,3,2,False
ceh23,1.0,242325.311,364428.124,-0.23888888888888893,-0.03166666666666667,207.22222222222226,0.37142246932087625,3,2,False
ceh24,2.0,242938.911,363392.114,-0.19555555555555557,0.32333333333333336,518.8888888888889,0.9300498293450358,3,2,False
ceh25,1.0,242512.557,364638.544,-0.26722222222222225,0.10833333333333332,375.5555555555556,0.6731409899756362,3,2,False
ceh26,1.0,242172.261,364362.239,-0.24833333333333338,-0.026666666666666665,221.6666666666667,0.39731250739686225,3,2,False
ceh27,1.0,242005.373,364330.297,-0.20444444444444443,0.165,369.44444444444446,0.6621875123281037,3,2,False
ceh28,2.0,242331.051,364122.039,-0.31666666666666665,0.07666666666666666,393.3333333333333,0.7893733978532945,1,2,True
ceh30,4.0,241072.0,363760.0,-1.7344444444444445,-1.0299999999999998,704.4444444444447,1.2626372415519334,3,2,False
ceh31,5.0,241075.0,363538.0,-1.5566666666666666,-1.0616666666666665,495.0000000000001,0.8872316894501361,3,2,False
ceh32,4.0,241167.0,364003.0,-1.7855555555555556,-0.9433333333333334,842.2222222222222,1.5095883739690301,3,2,False
ceh33,4.0,240936.0,363808.0,-1.7644444444444443,-1.0383333333333333,726.111111111111,1.3014722986659117,3,2,False
ceh34,4.0,241334.0,363887.0,-0.91,-0.030000000000000002,880.0,1.577300781244686,3,2,False
ceh36,3.0,241161.0,363306.0,-0.64,-0.07666666666666667,563.3333333333334,1.0097114849634543,3,2,False
ceh37,2.0,242886.0,363346.0,-0.23166666666666666,0.3333333333333333,565.0,0.9613258384308736,2,2,False
ceh39,3.0,241719.0,363435.0,-0.44222222222222224,0.088224043715847,530.4462659380692,0.9507651246277762,3,2,False
ceh40,3.0,242060.283,363398.508,-0.4711111111111111,-0.16,311.11111111111114,0.5576315893289294,3,2,False
ceh41,3.0,242284.022,363324.592,-0.31777777777777777,0.045,362.77777777777777,0.6502382639853408,3,2,False
ceh42,3.0,242120.528,362743.198,-0.40888888888888886,0.39666666666666667,805.5555555555555,1.443867508083835,3,2,False
wmc1,2.0,242765.629,363643.556,-0.3855555555555556,-0.028333333333333342,357.2222222222223,0.6402805570330387,3,2,False
wmc2,3.0,241885.149,362855.856,-0.5599999999999999,0.20166666666666666,761.6666666666666,1.3652016231606467,3,2,False
wmc3,3.0,241217.327,363562.323,-1.1944444444444446,-0.55,644.4444444444446,1.1550940064670683,3,2,False
wmc4,3.0,241760.293,364180.707,-0.6444444444444445,-0.125,519.4444444444445,0.931045600040266,3,2,False
l7,2.0,242812.0,364395.0,-1.3555555555555554,-0.815,540.5555555555554,0.9688848864590146,3,2,False
d5,2.0,242083.407,363901.712,-0.35555555555555557,-0.001666666666666667,353.8888888888889,0.6343059328616572,3,2,False
d6,2.0,242114.898,364021.851,-0.31555555555555553,0.058333333333333334,373.88888888888886,0.6701536778899454,3,2,False
d7,2.0,242610.75,364204.554,-0.3311111111111111,0.16,491.11111111111103,0.8802612945835241,3,2,False
d8,2.0,242676.867,364024.231,-0.19666666666666666,0.10500000000000001,301.66666666666663,0.5407034875100154,3,2,False
d9,3.0,242710.726,363910.68,-0.34888888888888897,0.185,533.8888888888889,0.956935638116252,3,2,False
d10,2.0,242613.907,364118.797,-0.20000000000000004,0.1383333333333333,338.33333333333337,0.6064243533952107,3,2,False
d15,3.0,241980.565,363895.719,-0.1911111111111111,0.28833333333333333,479.44444444444446,0.8593501099836894,3,2,False
d17,2.0,242446.951,363534.961,-0.17222222222222225,0.11,282.2222222222223,0.5058515131769574,3,2,False
d25,3.0,242215.187,363143.807,-0.4733333333333334,0.19666666666666668,670.0,1.1399793128295315,2,2,False
d38,3.0,242711.571,363069.196,-0.5433333333333333,0.14333333333333334,686.6666666666666,1.2307725793045654,3,2,False
d41,2.0,242771.66,363342.853,-0.24333333333333332,0.07833333333333334,321.66666666666663,0.5765512325383036,3,2,False
t41a,3.0,242709.928,363275.666,-0.24,0.42499999999999993,664.9999999999999,1.1919375221905864,3,2,False
t41b,2.0,242715.085,363309.565,-0.19555555555555557,0.13,325.5555555555556,0.5835216274049154,3,2,False
t41c,2.0,242721.13,363323.682,-0.23111111111111113,0.125,356.11111111111114,0.6382890156425781,3,2,False
t41d,2.0,242731.987,363353.284,-0.40666666666666673,-0.10666666666666667,300.00000000000006,0.5377161754243248,3,2,False
d43,2.0,242664.714,363428.693,-0.4366666666666667,0.06666666666666667,503.3333333333334,0.9021682498785895,3,2,False
d44,2.0,242819.407,363279.547,-0.5,-0.07833333333333332,421.6666666666667,0.7557899576797453,3,2,False
fe1,4.0,241338.0,363744.0,-0.7966666666666665,0.025,821.6666666666665,1.4727448582455114,3,2,False
fe2,5.0,241135.0,363595.0,-1.597777777777778,-0.96,637.777777777778,1.1431447581243057,3,2,False
fe3,5.0,241104.1,363546.1,-1.9222222222222223,-1.3583333333333334,563.8888888888889,1.0107072556586845,3,2,False
fe4,5.0,241223.2,363692.4,-1.5444444444444443,-0.8133333333333334,731.111111111111,1.3104342349229838,3,2,False
lis1,4.0,241406.0,363720.0,-0.8233333333333334,0.15833333333333333,981.6666666666667,1.7595268184718182,3,2,False
