key,col,Cluster,E,N,slope_mm_yr_2005_2025,p_ar_2005_2025,p_ols_2005_2025,sig_2005_2025,rho_2005_2025,n_eff_2005_2025,boot_lo_mm_yr_2005_2025,boot_hi_mm_yr_2005_2025,boot_sig_2005_2025,n_2005_2025,cwb_loading_mm_per_m_2005_2025,slope_mm_yr_2011_2025,p_ar_2011_2025,p_ols_2011_2025,sig_2011_2025,rho_2011_2025,n_eff_2011_2025,boot_lo_mm_yr_2011_2025,boot_hi_mm_yr_2011_2025,boot_sig_2011_2025,n_2011_2025,cwb_loading_mm_per_m_2011_2025,slope_mm_yr_2006_2012,p_ar_2006_2012,p_ols_2006_2012,sig_2006_2012,rho_2006_2012,n_eff_2006_2012,boot_lo_mm_yr_2006_2012,boot_hi_mm_yr_2006_2012,boot_sig_2006_2012,n_2006_2012,cwb_loading_mm_per_m_2006_2012,dh_corr_mm_2006_2012,bhat_m_per_cwb_2006_2012,slope_mm_yr_2015_2017,p_ar_2015_2017,p_ols_2015_2017,sig_2015_2017,rho_2015_2017,n_eff_2015_2017,boot_lo_mm_yr_2015_2017,boot_hi_mm_yr_2015_2017,boot_sig_2015_2017,n_2015_2017,cwb_loading_mm_per_m_2015_2017,dh_corr_mm_2015_2017,bhat_m_per_cwb_2015_2017,slope_mm_yr_2017_2025,p_ar_2017_2025,p_ols_2017_2025,sig_2017_2025,rho_2017_2025,n_eff_2017_2025,boot_lo_mm_yr_2017_2025,boot_hi_mm_yr_2017_2025,boot_sig_2017_2025,n_2017_2025,cwb_loading_mm_per_m_2017_2025,dh_corr_mm_2017_2025,bhat_m_per_cwb_2017_2025
ceh1,ceh1,3.0,241595.864,363948.335,1.209768268706668,0.9459175543142705,0.940063300536088,False,0.09869626042062947,16.406786334820357,-28.838638545646944,31.627039342991388,False,20.0,3596.293668175422,41.48080872696269,0.10836376912102688,0.10836376912102688,False,0.0,15.0,8.777068424667323,72.38570442907614,True,15.0,4887.1951791538495,-230.9143212387046,0.18501746173522793,0.008612404778120178,False,0.3476765691325681,4.0,-298.75513431771395,-158.09011237671766,True,7,-570.6859613723146,-936.2389456594116,3.6177646565875383,1396.2293039662095,5.834398469623387e-16,5.834398469623387e-16,True,0.0,4.0,1396.2293039662084,1396.2293039662109,True,3.0,27029.41550271929,307.3527366653191,3.6177646565875383,57.753925629323234,0.28655278140179924,0.28655278140179924,False,0.0,9.0,-13.564116882263685,121.85005551431651,False,9.0,3723.0443639042546,411.5389045974554,3.6177646565875383
ceh10,ceh10,2.0,242538.185,363173.915,2.8808733984653223,0.8190438134280311,0.8190438134280311,False,0.0,20.0,-17.396655049012743,24.157798406575594,False,20.0,3522.3981670353874,25.90634686660742,0.22477673370306447,0.22477673370306447,False,0.0,15.0,0.9533810326582962,50.34550841839952,True,15.0,3583.2150865366257,-144.75592628823276,0.0019361138063655548,0.0019361138063655548,True,0.0,7.0,-181.17325275371786,-114.39184573118632,True,7,2039.6408060493134,-636.4939322558049,4.308543721069734,1424.4055505907857,5.443298138159846e-16,5.443298138159846e-16,True,0.0,4.0,1424.4055505907852,1424.4055505907872,True,3.0,26963.65050149614,444.0110619086841,4.308543721069734,38.090894511780164,0.41864298079928,0.41864298079928,False,0.0,9.0,-19.65374922933385,92.49915073900017,False,9.0,2790.102994637917,311.4492805808855,4.308543721069734
ceh11,ceh11,1.0,242618.62,362688.287,1.5017365689291573,0.8505175646668313,0.8505175646668313,False,0.0,20.0,-9.135297712424228,13.562692180252826,False,20.0,1934.0811201102595,9.278618231371993,0.506996035273336,0.506996035273336,False,0.0,15.0,-7.523016887075324,26.528185435647252,False,15.0,2692.3313999725115,-69.28328260823977,0.1674484836618544,0.05272343637318195,False,0.18729596123499018,4.791499724666471,-105.57144174088839,-28.56282204447269,True,7,63.76617733298243,-267.7043394622168,1.7991395561814219,1034.6739124169471,1.8174723791134873e-16,1.8174723791134873e-16,True,0.0,4.0,1034.6739124169471,1034.6739124169476,True,3.0,19400.675360832578,200.97552341269753,1.7991395561814219,8.286600578462544,0.7721886044550377,0.7721886044550377,False,0.0,9.0,-31.869548742083172,47.82057709958095,False,9.0,2172.2248973264936,104.0387960512808,1.7991395561814219
ceh13,ceh13,4.0,240964.108,364066.298,-3.12790549545916,0.8604102282139803,0.8565632481070626,False,0.026448397432410578,18.02085764374942,-32.385209262846466,25.59271068290618,False,19.0,2820.553356396971,34.638032441752564,0.25904064530817816,0.25904064530817816,False,0.0,14.0,-9.268106306600897,81.24733693297374,False,14.0,4186.491659591486,-247.09245374881706,0.052387030453908745,0.023951426379753345,False,0.07623869507643957,5.149942902905664,-328.52414830491483,-173.88220797428687,True,6,-1245.759623345493,-785.2662439197946,2.6412335737182264,1365.2867837136619,3.079870348390464e-16,3.079870348390464e-16,True,0.0,4.0,1365.2867837136619,1365.2867837136628,True,3.0,26634.825495380326,183.69566679601036,2.6412335737182264,78.97896526188914,0.23530494549204836,0.23530494549204836,False,0.0,9.0,-4.25644458380792,165.74985278624587,False,9.0,3235.1152449241035,470.68069886503883,2.6412335737182264
ceh14,ceh14,4.0,241292.0,364488.0,2.0152032768261385,0.9217541009418639,0.9217541009418639,False,0.0,19.0,-27.961065001639316,32.14893501577244,False,19.0,3656.6673124877425,33.13722400568686,0.38287383418482135,0.38287383418482135,False,0.0,14.0,-14.483239815081637,86.54156023712514,False,14.0,5113.567582568266,-241.131305548153,0.04509211214636041,0.04509211214636041,True,0.0,6.0,-347.8202759162539,-143.6567793727963,True,6,-772.87366239515,-763.4852876441234,3.525700232297532,2024.819084960168,1.0919874899118141e-15,1.0919874899118141e-15,True,0.0,4.0,2024.8190849601647,2024.8190849601713,True,3.0,38998.64572533465,284.24692539603893,3.525700232297532,81.28795215955323,0.3065547179609463,0.3065547179609463,False,0.0,9.0,-17.52732283972461,172.14206645664436,False,9.0,4291.993392589548,506.4897899577975,3.525700232297532
ceh15,,,,,,,,,,,,,,,,,,,,,,,,,,,-384.65448733100516,0.011181573103762336,0.011181573103762336,True,0.0,5.0,-428.12082580660336,-345.92996687880094,True,5,-8386.640032468458,-894.7931001084181,5.857336220822917,1347.9917702119633,1.1588003648322706e-15,1.1588003648322706e-15,True,0.0,4.0,1347.9917702119624,1347.991770211966,True,3.0,26371.76549048769,518.4126822731461,5.857336220822917,,,,,,,,,,,,,
ceh16,ceh16,5.0,240988.214,363614.897,-5.206821496350322,0.73017563528465,0.7022917392807897,False,0.09784316256480124,14.791569167217055,-27.76474105741822,15.70940846193201,False,18.0,2413.571808844743,20.28419531590453,0.22981367001883501,0.22981367001883501,False,0.0,15.0,-0.3633197512166367,39.598427284637026,False,15.0,2977.5579135902303,-303.5004711750098,0.026615090715590334,0.026615090715590334,True,0.0,5.0,-354.8377515801029,-257.75191093058237,True,5,-5075.058267191752,-728.0932020745554,4.096867426062153,908.7659046138135,6.2078404823282305e-16,6.2078404823282305e-16,True,0.0,4.0,908.7659046138133,908.7659046138143,True,3.0,17625.02032780722,381.54199268376385,4.096867426062153,35.535345853592794,0.2739710483928913,0.2739710483928913,False,0.0,9.0,-4.111667000721378,71.17138212445718,False,9.0,2143.2902370161055,254.68560504531789,4.096867426062153
ceh17,ceh17,5.0,240804.597413,363576.069469,-11.179860909930062,0.46867783682160946,0.3774453176191475,False,0.1839840861453743,12.405814082521188,-32.77112480351375,8.739252641368399,False,18.0,1998.2131387902084,14.65347133470507,0.30354065556193965,0.30354065556193965,False,0.0,15.0,-3.5109307179989444,31.797468715561585,False,15.0,2496.2072319657827,-288.03006308018377,0.0038034702576001528,0.0038034702576001528,True,0.0,5.0,-304.5164236835909,-271.19945846874714,True,5,-3312.840040887559,-736.0546027660673,3.6212198362415866,819.5245634773472,1.0261818790072962e-15,1.0261818790072962e-15,True,0.0,4.0,819.5245634773455,819.5245634773472,True,3.0,15849.365294781872,341.05283128776387,3.6212198362415866,33.564616085156345,0.22635275486179798,0.22635275486179798,False,0.0,9.0,1.967739612143621,61.623048663761544,True,9.0,1808.3239011243888,250.45048677066183,3.6212198362415866
ceh18,ceh18,3.0,241267.167,363202.889,-7.380759649969093,0.5721775513178154,0.5721775513178154,False,0.0,18.0,-26.883706530171505,10.259793505722426,False,18.0,2555.046839072985,12.800963384111075,0.4534072474207936,0.4534072474207936,False,0.0,15.0,-6.593917191300376,31.364623122140895,False,15.0,3015.7305809644545,-257.8059174046734,0.022433658479601607,0.022433658479601607,True,0.0,5.0,-303.03046878056426,-217.55197708999896,True,5,-3819.336306706919,-634.2654497652029,4.026832414594418,1241.079955026611,1.0714121314646784e-15,1.0714121314646784e-15,True,0.0,4.0,1241.0799550266102,1241.0799550266133,True,3.0,23478.105436668593,417.44123179894046,4.026832414594418,17.298695380551965,0.6151769899283918,0.6151769899283918,False,0.0,9.0,-24.36121250589881,57.378322666335244,False,9.0,2280.2442598283724,170.8922885601586,4.026832414594418
ceh19,ceh19,5.0,240845.741,363532.891,-6.761058286811394,0.5105012610570399,0.5040636125746,False,0.014524197875996223,17.484614438344057,-22.64553653577425,7.7713193764740724,False,18.0,1764.578842674034,9.750708684871157,0.4472882295704003,0.4472882295704003,False,0.0,15.0,-6.451859559957069,25.007589116576984,False,15.0,2150.9128362764964,-211.91289899295816,0.024914393841475823,0.024914393841475823,True,0.0,5.0,-246.8341237206806,-176.8189103997706,True,5,-4325.536648508149,-489.95258657333875,2.691322099500191,739.9690489233659,7.62393208179376e-16,7.62393208179376e-16,True,0.0,4.0,739.9690489233659,739.9690489233665,True,3.0,13942.180259310204,285.679143042743,2.691322099500191,28.385171655186674,0.24905467201286488,0.24905467201286488,False,0.0,9.0,1.7978731236885366,51.591255968892526,True,9.0,1640.442656088183,214.3430087698993,2.691322099500191
