year,ceh22,nw5,ceh40,ceh41,nw4,diff_coast_inland_m
2010,3.0676666666666663,5.171666666666667,,,9.110000000000001,-6.042333333333335
2011,2.7343333333333333,4.8116666666666665,,,8.806666666666667,-6.072333333333333
2012,2.497666666666667,4.515,,,8.483333333333334,-5.985666666666667
2013,2.971,5.445,,,9.146666666666667,-6.175666666666666
2014,3.1443333333333334,5.608333333333333,,,9.246666666666668,-6.102333333333334
2015,2.7143333333333337,4.954999999999999,7.216666666666668,6.716666666666666,9.0,-6.285666666666666
2016,3.1043333333333334,5.658333333333332,7.59,7.169999999999999,9.206666666666667,-6.102333333333334
2017,2.8043333333333336,4.911666666666666,7.173333333333333,6.640000000000001,8.953333333333335,-6.149000000000001
2018,2.821,5.141666666666666,7.416666666666667,6.95,9.116666666666667,-6.295666666666667
2019,2.601,4.895,7.173333333333333,6.6499999999999995,8.96,-6.359000000000001
2020,2.6776666666666666,5.071666666666666,7.316666666666666,6.876666666666666,8.980000000000002,-6.302333333333335
2021,3.017666666666667,5.791666666666667,7.623333333333334,7.2299999999999995,9.276666666666666,-6.258999999999999
2022,2.621,5.1049999999999995,7.366666666666667,6.88,9.016666666666667,-6.395666666666667
2023,2.6776666666666666,5.0249999999999995,7.313333333333333,6.8066666666666675,9.07,-6.392333333333333
