well,code,month,observed_m_bg,predicted_m_bg,predicted_lo_m_bg,predicted_hi_m_bg,residual_m
nw11,1C,1989-05,-1.14,-1.0311521317514671,-1.0311521317514671,-0.6322372132630691,-0.10884786824853276
nw11,1C,1989-06,-1.3,-1.1590783739563961,-1.1590783739563961,-0.7639311826309794,-0.14092162604360392
nw11,1C,1989-07,-1.43,-1.4469690168504497,-1.4469690168504497,-1.0683484694967296,0.016969016850449714
nw11,1C,1989-08,-1.53,-1.446115518540909,-1.446115518540909,-1.059787483802686,-0.08388448145909111
nw11,1C,1989-09,-1.66,-1.7034895177186589,-1.7034895177186589,-1.3411623018365737,0.04348951771865894
nw11,1C,1989-10,-1.67,-1.5279474398141164,-1.5279474398141164,-1.1503384345449144,-0.14205256018588353
nw11,1C,1989-11,-1.61,-1.3798928091676816,-1.3798928091676816,-0.9948596435925029,-0.23010719083231845
nw11,1C,1989-12,-1.31,-1.113644285953204,-1.113644285953204,-0.7109985055078539,-0.19635571404679597
nw11,1C,1990-01,-1.03,-0.8154780369476475,-0.8154780369476475,-0.38944503874786396,-0.2145219630523525
nw11,1C,1990-02,-0.98,-0.6103062102741479,-0.6103062102741479,-0.16917672940224782,-0.3696937897258521
nw11,1C,1990-03,-1.2,-0.8602459947145706,-0.8602459947145706,-0.44681223109358853,-0.3397540052854293
nw11,1C,1990-04,-1.33,-1.0433659245345617,-1.0433659245345617,-0.6494160969114604,-0.2866340754654384
nw11,1C,1990-05,-1.52,-1.2802732149830403,-1.2802732149830403,-0.9039739031613221,-0.23972678501695976
nw11,1C,1990-06,-1.66,-1.460214997797984,-1.460214997797984,-1.0944739799657306,-0.199785002202016
nw11,1C,1990-07,-1.82,-1.6556589147584224,-1.6556589147584224,-1.2977435651619667,-0.16434108524157764
nw11,1C,1990-08,-1.86,-1.8053399482996277,-1.8053399482996277,-1.4534439743502126,-0.05466005170037236
nw11,1C,1990-10,-1.86,-1.679245761560963,-1.679245761560963,-1.3163562321625495,-0.18075423843903704
nw11,1C,1990-11,-1.71,-1.4786074263653142,-1.4786074263653142,-1.1031323895198484,-0.2313925736346858
nw11,1C,1990-12,-1.56,-1.1079454200865189,-1.1079454200865189,-0.7039696519967866,-0.4520545799134812
nw11,1C,1991-01,-1.58,-1.0684712150290485,-1.0684712150290485,-0.6690057621223845,-0.5115287849709516
nw11,1C,1991-02,-1.62,-1.0969581451590262,-1.0969581451590262,-0.7085886346018212,-0.5230418548409739
nw11,1C,1991-03,-1.44,-0.998170787553242,-0.998170787553242,-0.6027411555147727,-0.441829212446758
nw11,1C,1991-04,-1.54,-0.9413836218142595,-0.9413836218142595,-0.5406872407059327,-0.5986163781857405
nw11,1C,1991-05,-1.7,-1.2322282043546233,-1.2322282043546233,-0.8560346088636799,-0.46777179564537663
nw11,1C,1991-06,-1.83,-1.3600691901419883,-1.3600691901419883,-0.9902878367230464,-0.4699308098580117
nw11,1C,1991-07,-1.88,-1.654909860548673,-1.654909860548673,-1.3019406727594753,-0.22509013945132694
nw11,1C,1991-08,-1.87,-1.8636441087996964,-1.8636441087996964,-1.5227072138176931,-0.006355891200303665
nw11,1C,1991-09,-1.87,-1.9967220211514765,-1.9967220211514765,-1.6659628484931397,0.12672202115147635
nw11,1C,1991-10,-1.86,-1.7663635721696238,-1.7663635721696238,-1.415371292172582,-0.09363642783037629
nw11,1C,1991-11,-1.86,-1.5990220943609392,-1.5990220943609392,-1.2378729430108397,-0.26097790563906087
nw11,1C,1991-12,-1.87,-1.6756268476598337,-1.6756268476598337,-1.3296024859050024,-0.1943731523401664
nw11,1C,1992-01,-1.87,-1.675256720817874,-1.675256720817874,-1.3367362879998077,-0.1947432791821262
nw11,1C,1992-02,-1.85,-1.6268619731908769,-1.6268619731908769,-1.2890708550696195,-0.2231380268091232
