well,code,beta1_scale,in_forest,canopy_changed_since_1989,n,nse,rmse_m,bias_m,mean_observed_m,mean_predicted_m
nw11,1C,1.0,True,False,82,-3.031780107496192,0.5413194696006981,0.4609316476208333,-1.6698780487804876,-1.2089464011596547
nw11,1C,1.03,True,False,82,-4.7805406887516115,0.6481707966468173,0.5797100885386862,-1.6698780487804876,-1.0901679602418017
nw11,1C,1.06,True,False,82,-6.919917327185778,0.7586920841109399,0.6984885294565397,-1.6698780487804876,-0.9713895193239481
nw11,1C,1.1,True,False,82,-10.380044489598248,0.9094466105258847,0.8568597840136771,-1.6698780487804876,-0.8130182647668107
nw13,1D,1.0,False,False,82,-0.44924545844473385,0.3924207351992283,0.30193736821139777,-1.422560975609756,-1.1206236073983584
nw13,1D,1.03,False,False,82,-1.1956108752210577,0.48301282204329576,0.40982464600130847,-1.422560975609756,-1.0127363296084477
nw13,1D,1.06,False,False,82,-2.1627944145895714,0.5797175586916644,0.5177119237912184,-1.422560975609756,-0.9048490518185378
nw13,1D,1.1,False,False,82,-3.7958673244465624,0.7138624744935842,0.661561627511099,-1.422560975609756,-0.7609993480986571
nw3,1E,1.0,False,False,82,0.7321297789197265,0.16460308778668883,-0.08482220447729207,-0.8698292682926828,-0.954651472769975
nw3,1E,1.03,False,False,82,0.7814314493487854,0.14868583496544419,0.03807663152977198,-0.8698292682926828,-0.8317526367629108
nw3,1E,1.06,False,False,82,0.5306478862628794,0.21788390428829896,0.16097546753683503,-0.8698292682926828,-0.7088538007558478
nw3,1E,1.1,False,False,82,-0.2705294499860551,0.3584826388988371,0.32484058221292006,-0.8698292682926828,-0.5449886860797629
nw4,1F,1.0,False,False,82,0.3256531643445536,0.2437883344884012,-0.21125757994533184,-0.5879756097560974,-0.7992331897014293
nw4,1F,1.03,False,False,82,0.7351735988856589,0.15277486116775307,-0.09138229314927195,-0.5879756097560974,-0.6793579029053695
nw4,1F,1.06,False,False,82,0.8173885661644673,0.12686307725074672,0.02849299364678807,-0.5879756097560974,-0.5594826161093096
nw4,1F,1.1,False,False,82,0.41786668457263765,0.22650744731373618,0.18832670937486812,-0.5879756097560974,-0.3996489003812294
nw9,2B,1.0,True,True,82,-0.6742067570665236,0.2639694918614984,0.22858430964676227,-1.4267073170731708,-1.1981230074264084
nw9,2B,1.03,True,True,82,-2.1797213302007306,0.363784106691839,0.3378030407803176,-1.4267073170731708,-1.0889042762928531
nw9,2B,1.06,True,True,82,-4.260240661349005,0.4678988720137234,0.4470217719138722,-1.4267073170731708,-0.9796855451592984
nw9,2B,1.1,True,True,82,-7.928718282013051,0.6095983058737665,0.5926467467586123,-1.4267073170731708,-0.8340605703145584
wmc3,2C,1.0,True,True,67,-0.7126127762605514,0.3033094862523084,0.23843541560797232,-1.8319402985074629,-1.5935048828994902
wmc3,2C,1.03,True,True,67,-2.409495100426235,0.42795828552455933,0.3837987492112428,-1.8319402985074629,-1.44814154929622
wmc3,2C,1.06,True,True,67,-4.894167661544196,0.562687990826746,0.5291620828145144,-1.8319402985074629,-1.3027782156929484
wmc3,2C,1.1,True,True,67,-9.43251588940499,0.748601910383359,0.722979860952209,-1.8319402985074629,-1.108960437555254
nw6,2E,1.0,False,False,82,0.606568863793907,0.1689131277353446,0.08992486828773917,-1.0114146341463415,-0.9214897658586022
nw6,2E,1.03,False,False,82,0.10418371825643924,0.2548816183732846,0.20960907456817957,-1.0114146341463415,-0.8018055595781619
nw6,2E,1.06,False,False,82,-0.7946123774042659,0.3607566700925323,0.32929328084862053,-1.0114146341463415,-0.682121353297721
nw6,2E,1.1,False,False,82,-2.6096464273657873,0.5116363266014627,0.48887222255587426,-1.0114146341463415,-0.5225424115904671
nw5,2F,1.0,False,False,82,0.20557240417581668,0.2655359636952676,-0.24363842006148054,-0.8653414634146339,-1.1089798834761149
nw5,2F,1.03,False,False,82,0.7479269863063509,0.1495751218868917,-0.10318889504451033,-0.8653414634146339,-0.9685303584591444
nw5,2F,1.06,False,False,82,0.8444051077871411,0.11751514928472419,0.03726062997245943,-0.8653414634146339,-0.8280808334421746
nw5,2F,1.1,False,False,82,0.279456997639709,0.2528867883764687,0.22452666332841878,-0.8653414634146339,-0.6408148000862155
wmc2,2G,1.0,False,False,82,-0.012965723682736963,0.2845238360160941,-0.26326311158881416,-0.7652439024390244,-1.0285070140278385
wmc2,2G,1.03,False,False,82,0.660744008600501,0.16465883690192956,-0.12204997614212215,-0.7652439024390244,-0.8872938785811465
wmc2,2G,1.06,False,False,82,0.8340298613475303,0.11516917574964233,0.01916315930456922,-0.7652439024390244,-0.7460807431344553
wmc2,2G,1.1,False,False,82,0.28664051906502575,0.2387676577210465,0.2074473399001582,-0.7652439024390244,-0.5577965625388663
