decade,well,scope,mean_anomaly_m
1930,SITE,site,-0.08024924931959271
1940,SITE,site,-0.2770670080940685
1950,SITE,site,-0.020659603498550155
1960,SITE,site,0.17658443324073822
1970,SITE,site,-0.38164841049910037
1980,SITE,site,-0.042686908258824645
1990,SITE,site,-0.4785666509377657
2000,SITE,site,-0.003605225227237006
2010,SITE,site,-0.007944284438960206
2020,SITE,site,0.021087526876187417
1930,ceh1,well,-0.06969169048313542
1930,ceh10,well,-0.056655916377277696
1930,ceh11,well,-0.08063300321947318
1930,ceh18,well,-0.07725612252826015
1930,ceh21,well,-0.07664883229906486
1930,ceh23,well,-0.08221323690318626
1930,ceh24,well,-0.08293305482013703
1930,ceh25,well,-0.07769025711160914
1930,ceh26,well,-0.0826471804429858
1930,ceh27,well,-0.08098446717761956
1930,ceh28,well,-0.08024617732207158
1930,ceh36,well,-0.09409139918337567
1930,ceh39,well,-0.10930932610060552
1930,ceh4,well,-0.07384266781267582
1930,ceh40,well,-0.13376795508950667
1930,ceh41,well,-0.13935570840582695
1930,ceh42,well,-0.12843379192483237
1930,ceh5,well,-0.0802572729224889
1930,ceh6,well,-0.09070829407462822
1930,ceh9,well,-0.07488024165335566
1930,d10,well,-0.08548020086038514
1930,d15,well,-0.08540436096852623
1930,d17,well,-0.08494016078538878
1930,d25,well,-0.08308065191059748
1930,d38,well,-0.07005688897366859
1930,d41,well,-0.08562041493586241
1930,d43,well,-0.07445470136832129
1930,d44,well,-0.0716908215386859
1930,d5,well,-0.07843686753873719
1930,d6,well,-0.07842944318071818
1930,d7,well,-0.08344635224590712
1930,d8,well,-0.08800547947851335
1930,d9,well,-0.08086045972713009
1930,l7,well,-0.0410732024921346
1930,nw1,well,-0.028325081898493382
1930,nw13,well,-0.11067735719321482
1930,nw2,well,-0.04580387730174093
1930,nw3,well,-0.05348502099013789
1930,nw4,well,-0.0638673686232697
1930,nw4b,well,-0.08124585201641228
1930,nw5,well,-0.04979544316994593
1930,nw6,well,-0.0606712248532109
1930,nw7,well,-0.036324384384997556
1930,t41a,well,-0.07573188683840028
1930,t41b,well,-0.0886622504168342
1930,t41c,well,-0.08490633023957107
1930,t41d,well,-0.07880968322080298
1930,wmc1,well,-0.09085547279964841
1930,wmc2,well,-0.09063555631017842
1930,wmc4,well,-0.10943907386608438
1940,ceh1,well,-0.2948384795368321
1940,ceh10,well,-0.24339659203058
1940,ceh11,well,-0.27257797380284376
1940,ceh18,well,-0.25220963565272786
1940,ceh21,well,-0.210648816605618
1940,ceh23,well,-0.2744733564477645
1940,ceh24,well,-0.30078599534519707
1940,ceh25,well,-0.28829815281530624
1940,ceh26,well,-0.27175568085839624
1940,ceh27,well,-0.29007630709778626
1940,ceh28,well,-0.2836738933486595
1940,ceh36,well,-0.2482467894757968
1940,ceh39,well,-0.2846613258193674
1940,ceh4,well,-0.24733129063308
1940,ceh40,well,-0.2975415872483447
1940,ceh41,well,-0.3252983003942033
1940,ceh42,well,-0.30583273788168086
1940,ceh5,well,-0.2996512145409985
1940,ceh6,well,-0.28327022095483784
1940,ceh9,well,-0.2524401871201611
1940,d10,well,-0.30313307860598077
1940,d15,well,-0.31123573043370956
1940,d17,well,-0.29571895659518804
1940,d25,well,-0.2783084503562587
1940,d38,well,-0.28234982487839944
1940,d41,well,-0.2852617269027768
1940,d43,well,-0.2910035963208075
1940,d44,well,-0.2753510608658541
1940,d5,well,-0.2899898620665136
1940,d6,well,-0.2990636426021354
1940,d7,well,-0.2949017865201091
1940,d8,well,-0.29012046122817153
1940,d9,well,-0.3041854798760186
1940,l7,well,-0.2371971930129489
1940,nw1,well,-0.20659541679174626
1940,nw13,well,-0.32274302146734507
1940,nw2,well,-0.255292201385808
1940,nw3,well,-0.25824035904536735
1940,nw4,well,-0.24520135155192607
1940,nw4b,well,-0.2681163677062783
1940,nw5,well,-0.24575212890668144
1940,nw6,well,-0.2366078931586908
1940,nw7,well,-0.1953945352302785
