frame,imagery_date,constellation_group,seed,n_control_points,residual_median_m,residual_p95_m
aerial 1-1-2006.png,2006-01-01,0,base control affine,30,5.731302821983962,16.01823702290278
site1-1-2006m.png,2006-01-01,1,well-constellation vote,86,4.418507092278294,19.7270100368299
seabed1-1-2006.png,2006-01-01,2,well-constellation vote,69,2.7016346019099577,12.993582691497387
site 20-4-2009m.png,2009-04-20,3,"chained from group 1 (+2,-12) px, 20 tips coincide",87,3.9327019555806637,19.02894622504585
aerial20-4-2009.png,2009-04-20,0,base control affine,30,5.731302821983962,16.01823702290278
site27-5-2010m.png,2011-06-19,1,well-constellation vote,86,4.418507092278294,19.7270100368299
site19-6-2011m.png,2011-06-19,3,"chained from group 1 (+2,-12) px, 20 tips coincide",87,3.9327019555806637,19.02894622504585
aerial26-5-2012.png,2012-05-26,0,base control affine,30,5.731302821983962,16.01823702290278
site26-5-2012m.png,2012-05-26,3,"chained from group 1 (+2,-12) px, 20 tips coincide",87,3.9327019555806637,19.02894622504585
aerial24-3-2017.png,2017-03-24,0,base control affine,30,5.731302821983962,16.01823702290278
site24-3-2017m.png,2017-03-24,3,"chained from group 1 (+2,-12) px, 20 tips coincide",87,3.9327019555806637,19.02894622504585
site22-4-2017m.png,2017-04-22,3,"chained from group 1 (+2,-12) px, 20 tips coincide",87,3.9327019555806637,19.02894622504585
seabed22-4-2017.png,2017-04-22,2,well-constellation vote,69,2.7016346019099577,12.993582691497387
aerial22-4-2017.png,2017-04-22,0,base control affine,30,5.731302821983962,16.01823702290278
site28-6-2018m.png,2018-06-28,3,"chained from group 1 (+2,-12) px, 20 tips coincide",87,3.9327019555806637,19.02894622504585
aerial28-6-2018.png,2018-06-28,0,base control affine,30,5.731302821983962,16.01823702290278
site8-7-2018m.png,2018-07-08,3,"chained from group 1 (+2,-12) px, 20 tips coincide",87,3.9327019555806637,19.02894622504585
aerial8-7-2018.png,2018-07-08,0,base control affine,30,5.731302821983962,16.01823702290278
aerial29-7-2019.png,2019-07-29,0,base control affine,30,5.731302821983962,16.01823702290278
site29-7-2019m.png,2019-07-29,3,"chained from group 1 (+2,-12) px, 20 tips coincide",87,3.9327019555806637,19.02894622504585
aerial11-9-2019.png,2019-09-11,0,base control affine,30,5.731302821983962,16.01823702290278
site11-9-2019m.png,2019-09-11,3,"chained from group 1 (+2,-12) px, 20 tips coincide",87,3.9327019555806637,19.02894622504585
aerial31-3-2020.png,2020-03-31,0,base control affine,30,5.731302821983962,16.01823702290278
site31-3-2020m.png,2020-03-31,3,"chained from group 1 (+2,-12) px, 20 tips coincide",87,3.9327019555806637,19.02894622504585
aerial24-4-2020.png,2020-04-24,0,base control affine,30,5.731302821983962,16.01823702290278
site24-3-2021m.png,2021-03-24,3,"chained from group 1 (+2,-12) px, 20 tips coincide",87,3.9327019555806637,19.02894622504585
site4-4-2021m.png,2021-04-04,3,"chained from group 1 (+2,-12) px, 20 tips coincide",87,3.9327019555806637,19.02894622504585
aerial31-3-2026.png,2026-03-31,4,own control outline,32,5.357405038000473,19.165661434766566
site31-3-2026m.png,2026-03-31,3,"chained from group 1 (+2,-12) px, 20 tips coincide",87,3.9327019555806637,19.02894622504585
