site_no,sketch_slack,easting,northing,georef_easting,georef_northing,hand_move_m,height_m_od,dem_m,resid_m,resid_after_offset_m,refined_easting,refined_northing,refined_move_m,refined_resid_m,slope,matching_cells_within_R,resolvability,basin_id,basin_shared_with_group,basin_adjacent_to_group,basin_consistent,dist_to_slack_floor_m,routeA_easting,routeA_northing,routeA_error_m,nearest_well,nearest_well_dist_m,nearest_well_same_basin,source
1,PL,242586.8,364583.2,242681.2,364647.8,114.38758673912737,9.11,9.589374780654907,0.4793747806549078,0.31749977350235037,242595.0,364581.0,8.246211251235321,0.08062495470047004,0.04931338751433297,1132,flat_floor,1,True,False,True,8.246211251235321,242598.81073377794,364675.761121402,93.33712509545026,ceh25,92.60119537563357,True,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)"
2,BS,242141.1,364125.0,242044.5,364160.8,103.02038633202795,10.89,11.091875076293945,0.20187507629394474,0.04000006914138732,242143.0,364127.0,2.8284271247461903,0.003125298023222811,0.02090222936967201,915,flat_floor,20,True,False,True,0.0,,,,D6,106.42490782235151,True,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)"
3,AS,241718.0,363247.0,241725.1,363244.9,7.404052944164086,7.42,7.696249961853027,0.2762499618530274,0.11437495470046999,241717.0,363249.0,2.8284271247461903,0.013124783039092591,0.01584285350764499,953,flat_floor,14,True,True,True,2.8284271247461903,,,,ceh39,188.0026595556563,False,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)"
4,CG,241874.1,364311.0,241713.9,364529.4,270.8553119287379,11.62,11.616874933242798,-0.003125066757201367,-0.1650000739097588,241881.0,364311.0,6.0,0.005625374317169474,0.007113495687753895,2569,flat_floor,4,True,True,True,0.0,241932.98724834417,364212.6555475439,114.6269573287136,ceh27,132.68373953878918,True,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)"
5,BS,242079.6,364010.3,241990.9,364015.6,88.85820164735466,11.21,11.254889965057373,0.044889965057372194,-0.11698504209518523,242075.0,364007.0,5.656854249492381,0.004685204029081902,0.10557200087691904,738,flank,20,True,False,True,0.0,242133.95759171655,363840.42352025415,178.36133591129578,D6,37.13993006185478,True,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)"
6,BS,242083.2,363818.5,242022.2,363859.2,73.33137118587752,10.56,10.333750009536743,-0.22624999046325733,-0.38812499761581476,242081.0,363825.0,6.324555320336759,-0.0043752741813669616,0.033945729137809535,2639,flat_floor,20,True,False,True,0.0,242165.41381937484,363712.85104141774,133.86864661193712,D5,83.21225746847588,True,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)"
7,AS,241797.7,363241.8,241763.1,363244.9,34.73859525082469,6.75,6.895625114440918,0.14562511444091797,-0.016249892711639458,241799.0,363243.0,2.8284271247461903,-0.00437521696090748,0.008944242297932848,1274,flat_floor,14,True,True,True,0.0,,,,ceh39,208.61430919284115,False,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)"
8,AS,241648.0,363123.1,241720.6,363151.1,77.81233835325118,6.85,7.802499771118164,0.9524997711181644,0.790624763965607,241643.0,363121.0,6.324555320336759,0.010625030994415141,0.10514862452080433,1000,flank,14,True,True,True,0.0,241987.16186264454,362928.1929181638,391.177120525237,nw5,118.09280866335517,True,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)"
9,AS,241615.6,362979.3,241669.2,362990.3,54.717090565934,6.18,6.408124923706055,0.22812492370605497,0.06624991655349755,241617.0,362981.0,2.8284271247461903,0.0031247830390928044,0.007935911576241295,1396,flat_floor,14,True,True,True,0.0,241959.20077139273,362765.6690752626,404.5981489154642,nw5,105.9115775446717,True,"R9.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)"
10,AS,241484.5,362942.6,241586.6,362854.0,135.18272818669203,4.38,4.558124899864197,0.17812489986419688,0.016249892711639458,241485.0,362945.0,2.0,-0.001875045299529532,0.011894926759482059,201,sparse_match,13,False,True,True,0.0,241898.03588427938,362634.6014600197,515.6307091482286,ceh21,14.836899305436315,True,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)"
11,CG,242120.5,364239.3,242049.0,364346.2,128.60738703513488,11.08,11.000625133514404,-0.07937486648559577,-0.2412498736381532,242129.0,364227.0,14.422205101855956,-0.021874740123749348,0.00626215504603244,2470,flat_floor,1,False,True,True,0.0,242191.62734242342,364172.46147886943,97.60372301884303,ceh26,133.39114978889364,True,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)"
