site_no,well,headline,month,obs_level_m_od,model_level_m_od,n_readings
1,ceh25,True,1951-02,9.001000000000001,9.01020592660075,2
1,ceh25,True,1951-03,8.970333333333334,9.108235635995646,3
1,ceh25,True,1951-04,8.864,9.057401335052388,4
1,ceh25,True,1951-05,8.46275,8.86692303496041,4
1,ceh25,True,1951-06,8.289333333333333,8.627383316886569,3
1,ceh25,True,1951-09,8.34,8.738769370361528,2
1,ceh25,True,1951-10,8.389,8.68039026400869,2
1,ceh25,True,1951-11,8.65475,8.787025352100665,4
1,ceh25,True,1951-12,9.048,9.248211794709126,1
1,ceh25,True,1952-01,9.113,9.445515591134972,1
1,ceh25,True,1952-03,8.73,8.942196663045491,4
1,ceh25,True,1952-04,8.567499999999999,8.769447030844328,2
1,ceh25,True,1952-05,8.681,8.639605273150506,1
1,ceh25,True,1952-10,8.21,8.47729014141132,1
1,ceh25,True,1952-11,8.498,8.569296868611922,1
1,ceh25,True,1952-12,8.606,8.623875717673396,1
1,ceh25,True,1953-01,8.791,8.580751090442561,2
1,ceh25,True,1953-02,8.752,8.491158231861542,1
1,ceh25,True,1953-03,8.6106,8.353065925390093,5
1,ceh25,True,1953-04,8.668333333333333,8.235374872574607,3
1,ceh25,True,1953-05,8.543999999999999,8.276149404569178,3
1,ceh25,True,1953-06,8.303999999999998,8.14246919800454,2
1,ceh25,True,1953-07,8.225999999999999,7.96755726099048,2
1,ceh25,True,1953-08,8.028,7.988659465655831,1
1,ceh5,False,1951-02,9.001000000000001,9.49152863963494,2
1,ceh5,False,1951-03,8.970333333333334,9.618472312157708,3
1,ceh5,False,1951-04,8.864,9.607513872641059,4
1,ceh5,False,1951-05,8.46275,9.451411684060952,4
1,ceh5,False,1951-06,8.289333333333333,9.21914901346243,3
1,ceh5,False,1951-09,8.34,9.17344126722467,2
1,ceh5,False,1951-10,8.389,9.126788237681247,2
1,ceh5,False,1951-11,8.65475,9.239373653951706,4
1,ceh5,False,1951-12,9.048,9.667561219101424,1
1,ceh5,False,1952-01,9.113,9.890254367417608,1
1,ceh5,False,1952-03,8.73,9.55730451635859,4
1,ceh5,False,1952-04,8.567499999999999,9.419390020087125,2
1,ceh5,False,1952-05,8.681,9.288706547124672,1
1,ceh5,False,1952-10,8.21,8.967857657074402,1
1,ceh5,False,1952-11,8.498,9.069426729339344,1
1,ceh5,False,1952-12,8.606,9.152382969758264,1
1,ceh5,False,1953-01,8.791,9.151652951285568,2
1,ceh5,False,1953-02,8.752,9.105195415080134,1
1,ceh5,False,1953-03,8.6106,9.006283691142439,5
1,ceh5,False,1953-04,8.668333333333333,8.907467048751798,3
