row,site_no,sketch_slack,ranwell_basis,ranwell_n,ranwell_mean_m_od,modern_idw_m_od,modern_idw_refined_m_od,contributing_wells,n_contributing,nearest_well_m,contributing_min_m_od,contributing_max_m_od,sigma_loo_m,surface_gradient,position_sigma_m,sigma_position_m,sigma_sampling_m,sigma_datum_m,sigma_total_m,climate_expectation_m,climate_expectation_source,delta_m,z,resolved,interval_years,rate_mm_per_year,dist_coast_2006_m,shoreline_retreat_1899_2026_m,surface_constrained,chi2_per_dof,sites
site,1.0,PL,fig4_readings,55,8.608872727272727,8.687196500925737,8.688741640030404,"ceh25 (93 m, 8.65); ceh5 (135 m, 9.19); ceh6 (146 m, 8.20); llyn rhos (239 m, 7.76); l7 (293 m, 9.27); ceh23 (304 m, 9.58)",6,92.60119537563357,7.7577161605303235,9.583565195501453,0.30892069266635835,0.00364457683581877,40.0,0.14578307343275082,0.05,0.1396875143051144,0.3724208647614994,-0.04849464590690794,headline_hindcast,0.1268184195599173,0.3405244752898917,False,66.20833333333326,1.9154449776198983,2200.8452199449043,126.922893015752,True,,
site,4.0,CG,fig4_readings,63,11.277015873015873,10.955109315829839,10.933248834871039,"ceh27 (133 m, 10.54); wmc4 (173 m, 11.32); nw13 (173 m, 11.36); nw11 (199 m, 11.12); nw1 (228 m, 10.81); nw2 (262 m, 10.73)",6,132.68373953878918,10.536556089606043,11.360894434541493,0.11146787482424421,0.0033369972238643983,40.0,0.13347988895457594,0.05,0.1396875143051144,0.22859258414458863,-0.02697055968697698,headline_hindcast,-0.29493599749905747,-1.2902255714144493,False,66.20833333333326,-4.4546657897906785,1529.7531570480878,126.922893015752,True,,
site,8.0,AS,fig4_readings,28,6.390464285714286,5.107083545218735,5.0878563092409905,"nw5 (118 m, 5.11); ceh21 (257 m, 3.10); nw6 (281 m, 5.93); ceh39 (320 m, 7.32); ceh9 (342 m, 7.26); ceh22 (348 m, 2.67)",6,118.09280866335517,2.666657328512445,7.317641522911532,0.651656657486016,0.009336721264683849,6.324555320336759,0.05905061014905759,0.05,0.1396875143051144,0.6709366404196184,0.0134702277927774,headline_hindcast,-1.2968509682883278,-1.9328963275537447,False,66.20833333333326,-19.587428092460605,496.3993317007113,126.922893015752,False,,
site,11.0,CG,fig7_midrange,12,10.653291666666666,10.190739438439667,10.180672527304697,"ceh26 (133 m, 10.04); ceh27 (147 m, 10.54); d6 (218 m, 10.29); ceh28 (241 m, 10.08); ceh23 (279 m, 9.58); nw3 (301 m, 10.20)",6,133.39114978889364,9.583565195501453,10.536556089606043,0.16262320625751459,0.001684189619045061,40.0,0.06736758476180245,0.05,0.1396875143051144,0.23021142530911515,-0.032142591141950894,hindcast_at_ceh26,-0.4304096370850478,-1.8696276108239094,False,66.20833333333326,-6.500837816262529,1633.9606877156614,126.922893015752,True,,
site,12.0,CG,fig7_midrange,12,10.703000000000001,10.904232394716198,11.058585022916901,"nw2 (51 m, 10.73); nw1 (53 m, 10.81); nw13 (88 m, 11.36); wmc4 (89 m, 11.32); nw11 (157 m, 11.12); ceh1 (211 m, 10.00)",6,50.87038812512201,10.003871986499517,11.360894434541493,0.2167371123168422,0.0031859218408254513,40.0,0.12743687363301806,0.05,0.1396875143051144,0.29193789454187485,0.025704743793046214,hindcast_at_nw2,0.17552765092315048,0.6012499720140758,False,66.20833333333326,2.6511413607020873,1280.7781657050355,126.922893015752,True,,
site,13.0,CG,fig7_midrange,12,10.720833333333333,10.755781010871738,10.750599108352958,"nw2 (12 m, 10.73); nw1 (42 m, 10.81); wmc4 (96 m, 11.32); nw13 (96 m, 11.36); nw11 (124 m, 11.12); ceh1 (191 m, 10.00)",6,11.595032902068542,10.003871986499517,11.360894434541493,0.2167371123168422,0.0018502031980921184,2.8284271247461903,0.005233164911775896,0.05,0.1396875143051144,0.262706991766833,0.025704743793046214,hindcast_at_nw2,0.009242933745358561,0.035183432626575,False,66.20833333333326,0.1396037821828859,1262.668310758757,126.922893015752,True,,
site,16.0,PL,fig7_midrange,12,9.381625,9.583768133182366,9.589389284297436,"ceh23 (1 m, 9.58); ceh26 (167 m, 10.04); ceh5 (199 m, 9.19); ceh25 (281 m, 8.65); ceh28 (307 m, 10.08); ceh27 (335 m, 10.54)",6,0.828068233921827,8.645418504849369,10.536556089606043,0.17240775188659122,0.00025344412055084174,40.0,0.010137764822033669,0.05,0.1396875143051144,0.22768357173699819,-0.03120585127417136,hindcast_at_ceh23,0.23334898445653735,1.0248828348761296,False,66.20833333333326,3.52446546693323,1911.9436167662802,126.922893015752,True,,
site,18.0,AS,fig7_midrange,12,6.826291666666666,6.899905952235064,6.921300172796677,"ceh39 (145 m, 7.32); ceh9 (170 m, 7.26); nw5 (271 m, 5.11); nw6 (301 m, 5.93); ceh40 (333 m, 7.17)",5,144.70055286697155,5.1072727343539635,7.317641522911532,0.720172164768215,0.005138990185774368,40.0,0.2055596074309747,0.05,0.1396875143051144,0.7634889002250491,-0.08194592554606295,hindcast_at_ceh39,0.1555602111144604,0.20374914562426097,False,66.20833333333326,2.349556366738234,685.220019352184,126.922893015752,False,,
COMBINED_ALL,,,,206,,,,,8,,,,,,,,,,0.10277869185079294,,,-0.09264629610898431,-0.9014154046977155,False,66.20833333333326,-1.3993147304063096,,,,1.3791889671639128,1; 4; 8; 11; 12; 13; 16; 18
COMBINED_CONSTRAINED,,,,166,,,,,6,,,,,,,,,,0.10498493006270798,,,-0.06785508912923965,-0.6463317076908991,False,66.20833333333326,-1.0248723342364716,,,,1.2543051796387465,1; 4; 11; 12; 13; 16
