month,median_level_modelled_m,median_level_calibrated_m,n_wells_run,median_level_observed_m,n_wells_observed,above_fitted_range,spin_up,climate_flagged,open_water_ha,wet_floor_ha,open_water_ha_raw_level,wet_floor_ha_raw_level
1930-12,-0.713,-0.586,66,,,False,True,False,1.858,32.073,1.057,28.408
1931-01,-0.682,-0.52,66,,,False,True,False,2.487,34.153,1.215,29.272
1931-02,-0.673,-0.511,66,,,False,True,False,2.592,34.457,1.264,29.522
1931-03,-0.775,-0.64,66,,,False,True,False,1.461,30.458,0.803,26.774
1931-04,-0.85,-0.715,66,,,False,True,False,1.048,28.354,0.575,24.918
1931-05,-0.829,-0.688,66,,,False,True,False,1.182,29.099,0.631,25.425
1931-06,-0.775,-0.64,66,,,False,True,False,1.461,30.458,0.805,26.789
1931-07,-0.963,-0.816,66,,,False,True,False,0.669,25.74,0.349,22.373
1931-08,-1.032,-0.846,66,,,False,True,False,0.587,25.029,0.257,20.951
1931-09,-1.013,-0.834,66,,,False,True,False,0.619,25.319,0.279,21.333
1931-10,-1.071,-0.88,66,,,False,True,False,0.504,24.224,0.217,20.197
1931-11,-0.716,-0.588,66,,,False,True,False,1.839,32.004,1.044,28.334
1931-12,-0.724,-0.59,66,,,False,True,False,1.824,31.946,1.005,28.101
1932-01,-0.502,-0.294,66,,,False,True,False,6.776,42.376,2.689,34.732
1932-02,-0.7,-0.564,66,,,False,True,False,2.043,32.736,1.118,28.75
1932-03,-0.789,-0.645,66,,,False,True,False,1.429,30.313,0.755,26.423
1932-04,-0.866,-0.72,66,,,False,True,False,1.027,28.231,0.538,24.561
1932-05,-0.916,-0.76,66,,,False,True,False,0.858,27.163,0.431,23.416
1932-06,-1.119,-0.939,66,,,False,True,False,0.388,22.901,0.175,19.289
1932-07,-1.124,-0.943,66,,,False,True,False,0.382,22.818,0.171,19.195
1932-08,-1.307,-1.14,66,,,False,True,False,0.159,18.902,0.076,16.118
1932-09,-1.321,-1.151,66,,,False,True,False,0.152,18.706,0.071,15.907
1932-10,-1.06,-0.85,66,,,False,True,False,0.576,24.928,0.227,20.403
1932-11,-0.941,-0.79,66,,,False,True,False,0.75,26.388,0.385,22.861
1932-12,-0.738,-0.595,66,,,False,False,False,1.784,31.794,0.945,27.733
1933-01,-0.578,-0.378,66,,,False,False,False,4.675,39.122,1.922,32.31
1933-02,-0.604,-0.4,66,,,False,False,False,4.234,38.296,1.713,31.52
1933-03,-0.651,-0.48,66,,,False,False,False,2.97,35.482,1.395,30.154
1933-04,-0.829,-0.688,66,,,False,False,False,1.182,29.1,0.632,25.427
1933-05,-0.987,-0.829,66,,,False,False,False,0.632,25.426,0.314,21.881
1933-06,-1.186,-1.04,66,,,False,False,False,0.249,20.803,0.13,18.095
1933-07,-1.397,-1.21,66,,,False,False,False,0.117,17.681,0.051,14.798
1933-08,-1.58,-1.278,66,,,False,False,False,0.086,16.566,0.023,12.42
1933-09,-1.752,-1.378,66,,,False,False,False,0.056,15.068,0.011,10.538
1933-10,-1.631,-1.299,66,,,False,False,False,0.079,16.239,0.018,11.829
1933-11,-1.626,-1.296,66,,,False,False,False,0.08,16.291,0.018,11.888
1933-12,-1.552,-1.27,66,,,False,False,False,0.09,16.705,0.026,12.758
1934-01,-1.389,-1.199,66,,,False,False,False,0.122,17.863,0.053,14.9
1934-02,-1.532,-1.263,66,,,False,False,False,0.092,16.805,0.028,13.006
1934-03,-1.526,-1.262,66,,,False,False,False,0.093,16.833,0.029,13.075
1934-04,-1.613,-1.288,66,,,False,False,False,0.083,16.407,0.02,12.04
1934-05,-1.496,-1.246,66,,,False,False,False,0.1,17.086,0.033,13.452
1934-06,-1.643,-1.307,66,,,False,False,False,0.076,16.117,0.017,11.693
1934-07,-1.927,-1.491,66,,,False,False,False,0.034,13.527,0.005,8.919
1934-08,-1.939,-1.498,66,,,False,False,False,0.033,13.431,0.005,8.823
1934-09,-1.836,-1.432,66,,,False,False,False,0.044,14.307,0.007,9.727
1934-10,-1.593,-1.282,66,,,False,False,False,0.085,16.504,0.021,12.27
1934-11,-1.511,-1.254,66,,,False,False,False,0.096,16.952,0.031,13.267
1934-12,-0.825,-0.686,66,,,False,False,False,1.194,29.161,0.644,25.534
1935-01,-0.861,-0.717,66,,,False,False,False,1.039,28.303,0.55,24.679
1935-02,-0.761,-0.63,66,,,False,False,False,1.527,30.75,0.855,27.141
1935-03,-0.905,-0.74,66,,,False,False,False,0.938,27.686,0.451,23.653
1935-04,-0.937,-0.788,66,,,False,False,False,0.757,26.441,0.392,22.948
1935-05,-1.078,-0.896,66,,,False,False,False,0.47,23.863,0.21,20.053
1935-06,-1.086,-0.908,66,,,False,False,False,0.446,23.59,0.202,19.892
1935-07,-1.391,-1.21,66,,,False,False,False,0.117,17.682,0.052,14.873
1935-08,-1.525,-1.261,66,,,False,False,False,0.093,16.838,0.029,13.089
1935-09,-1.228,-1.074,66,,,False,False,False,0.214,20.136,0.108,17.375
1935-10,-1.022,-0.838,66,,,False,False,False,0.608,25.223,0.268,21.146
1935-11,-0.676,-0.52,66,,,False,False,False,2.487,34.153,1.246,29.43
1935-12,-0.561,-0.36,66,,,False,False,False,5.055,39.786,2.07,32.831
1936-01,-0.331,-0.103,66,,,False,False,False,15.827,50.865,5.742,40.893
1936-02,-0.331,-0.102,66,,,False,False,False,15.861,50.889,5.749,40.902
1936-03,-0.338,-0.126,66,,,False,False,False,14.245,49.725,5.581,40.642
1936-04,-0.472,-0.24,66,,,False,False,False,8.605,44.612,3.084,35.77
1936-05,-0.67,-0.504,66,,,False,False,False,2.669,34.675,1.277,29.585
1936-06,-0.552,-0.36,66,,,False,False,False,5.055,39.786,2.159,33.129
1936-07,-0.578,-0.378,66,,,False,False,False,4.677,39.126,1.923,32.311
1936-08,-0.737,-0.59,66,,,False,False,False,1.824,31.946,0.95,27.765
1936-09,-0.721,-0.59,66,,,False,False,False,1.824,31.946,1.019,28.184
1936-10,-0.795,-0.66,66,,,False,False,False,1.337,29.882,0.734,26.265
1936-11,-0.698,-0.557,66,,,False,False,False,2.112,32.973,1.129,28.811
1936-12,-0.399,-0.156,66,,,False,False,False,12.49,48.338,4.255,38.337
1937-01,-0.329,-0.099,66,,,False,False,False,16.091,51.047,5.789,40.964
1937-02,-0.146,0.013,66,,,False,False,False,26.421,56.797,13.076,48.818
1937-03,-0.246,-0.028,66,,,False,False,False,21.989,54.596,8.371,44.349
1937-04,-0.356,-0.143,66,,,False,False,False,13.235,48.944,5.135,39.92
1937-05,-0.61,-0.4,66,,,False,False,False,4.234,38.296,1.668,31.337
1937-06,-0.731,-0.59,66,,,False,False,False,1.824,31.946,0.978,27.938
1937-07,-0.881,-0.72,66,,,False,False,False,1.025,28.22,0.502,24.204
1937-08,-1.068,-0.88,66,,,False,False,False,0.504,24.224,0.219,20.249
1937-09,-1.084,-0.907,66,,,False,False,False,0.448,23.614,0.204,19.934
1937-10,-0.737,-0.59,66,,,False,False,False,1.824,31.946,0.95,27.763
1937-11,-0.786,-0.644,66,,,False,False,False,1.433,30.33,0.764,26.492
1937-12,-0.617,-0.404,66,,,False,False,False,4.157,38.145,1.617,31.129
1938-01,-0.492,-0.261,66,,,False,False,False,7.826,43.711,2.812,35.067
1938-02,-0.63,-0.431,66,,,False,False,False,3.698,37.197,1.527,30.749
1938-03,-0.746,-0.599,66,,,False,False,False,1.754,31.681,0.913,27.525
1938-04,-0.974,-0.822,66,,,False,False,False,0.653,25.611,0.332,22.141
1938-05,-1.025,-0.84,66,,,False,False,False,0.602,25.167,0.265,21.088
1938-06,-0.961,-0.815,66,,,False,False,False,0.672,25.769,0.352,22.416
1938-07,-0.915,-0.76,66,,,False,False,False,0.858,27.163,0.433,23.438
1938-08,-1.051,-0.85,66,,,False,False,False,0.576,24.928,0.236,20.58
1938-09,-1.152,-0.986,66,,,False,False,False,0.316,21.899,0.151,18.685
1938-10,-0.787,-0.645,66,,,False,False,False,1.43,30.315,0.763,26.484
1938-11,-0.473,-0.24,66,,,False,False,False,8.605,44.612,3.059,35.709
1938-12,-0.297,-0.041,66,,,False,False,False,20.809,53.952,6.689,42.258
1939-01,0.026,0.053,66,,,True,False,False,31.55,59.009,28.025,57.523
1939-02,0.05,0.062,66,,,True,False,False,32.767,59.491,31.13,58.839
1939-03,0.015,0.049,66,,,True,False,False,31.004,58.787,26.698,56.925
1939-04,-0.106,0.03,66,,,False,False,False,28.479,57.722,15.559,50.679
1939-05,-0.377,-0.152,66,,,False,False,False,12.709,48.519,4.683,39.136
1939-06,-0.58,-0.38,66,,,False,False,False,4.626,39.034,1.906,32.251
1939-07,-0.505,-0.298,66,,,False,False,False,6.657,42.214,2.654,34.634
1939-08,-0.679,-0.52,66,,,False,False,False,2.487,34.153,1.231,29.353
1939-09,-0.867,-0.72,66,,,False,False,False,1.025,28.22,0.535,24.537
